Time_min	DMSO	Drug
-3	0.089386512	0.124547152
-2	0.045780473	0.069411753
-1	0.066283655	0.076179892
0	0.43122392	0.350183229
1	0.607619703	0.573599847
2	0.739331706	0.803528959
3	0.88702483	0.885957521
4	1.014317633	1.004211363
5	1.060245133	1.133142357
6	1.064423656	1.124974573
7	1.072829337	1.140186967
8	1.106730163	1.175592426
9	1.126723786	1.166642484
10	1.108009299	1.112837139
11	1.085571417	1.10458631
12	1.066023628	1.142927348
13	1.045055495	1.107931526
14	1.023929435	1.118677572
15	0.996381769	1.030114384
16	0.952436343	1.054182797
17	0.9535011	1.029615079
18	0.916793461	1.027513413
19	0.89020964	1.012930145
20	0.875024394	0.967930926
21	0.832101043	0.965417193
22	0.772579717	0.990222433
23	0.749722499	0.975768954
24	0.725198861	0.969271424
25	0.715117859	0.954987583
26	0.707337325	1.027440671
27	0.731438219	1.061671656
28	0.773885358	1.049200246
29	0.748209226	1.037357158
30	0.735862617	1.029864099
31	0.814700819	1.024410557
32	0.778463553	1.067790107
33	0.80446167	1.07961847
34	0.788754384	1.060245404
35	0.784119733	1.041531441
36	0.758844611	1.076605753
37	0.784321073	1.047525587
38	0.788507561	1.052708164
39	0.788671284	1.067238848
40	0.799206499	1.081611025
41	0.777883743	1.105488843
42	0.769847167	1.082594266
43	0.797453797	1.087182706
44	0.812935609	1.050255921
45	0.792310935	1.050818778
46	0.819769836	1.038306305
47	0.818904754	1.031413415
48	0.846261423	1.032329953
49	0.839825286	1.089972808
50	0.837432437	1.088139414
51	0.851198325	1.110957095
52	0.877701012	1.146574637
53	0.876796507	1.158030009
54	0.851782724	1.157323923
55	0.846961418	1.181749479
56	0.857534904	1.159260627
57	0.862382079	1.220947287
58	0.880873116	1.192749218
59	0.881330107	1.204573797
60	0.895061984	1.165083144
