Time_min	DMSO	Drug
-3	0.099945661	0.1414808
-2	0.068805786	0.072564413
-1	0.095258611	0.095141245
0	0.512784646	0.588735167
1	0.799481766	0.801836226
2	0.856058148	1.028080347
3	1.146216354	1.164786057
4	1.156373599	1.206551194
5	1.118199137	1.197849315
6	1.127023594	1.255803181
7	1.141012155	1.255291922
8	1.106371298	1.208313924
9	1.034754908	1.075841247
10	0.973507052	1.103961676
11	0.949403839	1.006764516
12	0.892092175	0.973828101
13	0.842992485	0.925278809
14	0.827232469	0.887862195
15	0.80685111	0.84894327
16	0.769760009	0.865326123
17	0.778852304	0.820049878
18	0.723694981	0.825410451
19	0.696762591	0.803310639
20	0.652381943	0.756868662
21	0.66504074	0.757415137
22	0.634638974	0.769572901
23	0.660525783	0.718696049
24	0.628831378	0.739947729
25	0.634892729	0.780810192
26	0.637175353	0.753652024
27	0.699439544	0.798358021
28	0.662101661	0.757675364
29	0.611866582	0.789863229
30	0.616529408	0.795208726
31	0.620218345	0.819668086
32	0.681111025	0.795875503
33	0.640850162	0.789519541
34	0.665796537	0.795447786
35	0.68188238	0.794363814
36	0.693667878	0.773277428
37	0.689050842	0.744055747
38	0.752189218	0.757001594
39	0.727291046	0.753227624
40	0.782801375	0.759228149
41	0.798803237	0.755991053
42	0.81399712	0.760219758
43	0.828042036	0.753976389
44	0.809967863	0.763675105
45	0.809673441	0.716260703
46	0.825360463	0.730576367
47	0.844225394	0.732234583
48	0.876649499	0.719094981
49	0.861644522	0.705747128
50	0.868374777	0.71745422
51	0.878990395	0.708931003
52	0.897411769	0.715723334
53	0.869867097	0.695474584
54	0.916237862	0.730182551
55	0.901529455	0.732825609
56	0.901417781	0.733332042
57	0.911639324	0.709491982
58	0.971142665	0.728015655
59	0.958759468	0.723635495
60	1.001421164	0.762146127
