Time_min	DMSO	DMSO_err	Drug	Drug_err
-3	666.7464477	160.0267454	620.3635698	145.3020356
-2	489.10735	65.67951701	719.4138048	141.8348758
-1	846.7209702	204.7690737	1953.470978	948.3255508
0	8.195707652	0.1610126332	8.607241659	0.1923702781
1	7.685943764	0.192998336	7.796668767	0.2026838667
2	7.844539677	0.2328661522	7.408398429	0.2804753521
3	8.12830446	0.3015686983	6.503609448	0.2457565329
4	9.948887162	0.5429255356	6.164660995	0.2656737982
5	14.9728637	1.435474984	6.489211424	0.294131511
6	31.11715647	5.775573867	7.539261508	0.4236117974
7	134.8006657	37.18387452	9.342260598	0.7403558894
8	34.11971604	6.564998431	13.12630477	1.338446295
9	18.89267216	1.999398185	22.12412934	3.367818535
10	14.03148366	1.116953202	42.35937436	9.926029004
11	11.83399111	0.8633535209	51.8081367	12.49423556
12	10.76059479	0.6468486646	32.43744543	5.826811905
13	10.05710078	0.6262225477	23.93633092	3.247093027
14	9.727766409	0.5768531186	19.63864977	2.226816987
15	9.657521434	0.5699183422	17.51010798	1.83115322
16	9.503004435	0.4860423616	16.21661525	1.401173536
17	9.736530557	0.5214478486	15.78689783	1.338183551
18	9.886965553	0.5921479136	15.18230662	1.174357602
19	10.00668371	0.5837635088	15.52332773	1.313606539
20	10.14495083	0.5612173136	15.39542853	1.237665251
21	10.21836324	0.5391465778	15.79663875	1.267266003
22	10.42886411	0.5970616313	16.13726198	1.35308146
23	10.49053312	0.5037956333	16.68970495	1.387451741
24	10.69392345	0.5900501185	17.16316195	1.375723729
25	10.89201531	0.5909398407	17.40822184	1.383228885
26	10.93211809	0.6244029461	17.5287872	1.507903781
27	11.07023678	0.6611449406	18.19671368	1.643306334
28	11.25006319	0.637331268	18.57841451	1.54309267
29	11.40697619	0.6308318389	18.81346162	1.558066244
30	11.40683678	0.6279676284	19.08903569	1.776659984
31	11.3911516	0.6122833775	19.24004194	1.803086995
32	11.59046877	0.7279557505	19.07550704	1.60241966
33	11.5742795	0.5917458836	19.21727812	1.856110333
34	11.68189207	0.6430534392	19.61215207	1.688309282
35	11.75605707	0.6628537381	19.27712952	1.782238585
36	11.72069987	0.6560937316	19.52800954	1.811409793
37	11.86659321	0.6274869743	19.736508	1.925637363
38	11.92196634	0.6243066026	19.73851489	1.779856934
39	11.95024895	0.6219993911	19.21829066	1.80580118
40	11.91316919	0.6285158183	18.87426816	1.715456142
41	11.70746449	0.6185180891	18.40878202	1.740175774
42	11.64454447	0.6350363483	17.56721354	1.61229648
43	11.71988879	0.6570008058	17.5981816	1.466821955
44	11.68117928	0.6092709772	17.36334561	1.405344999
45	11.59695695	0.5920616165	17.11080897	1.42269166
46	11.62521996	0.6157672994	17.00097966	1.416612846
47	11.50783574	0.6089228291	16.7268529	1.413510911
48	11.54118111	0.6636229045	16.84622169	1.232890736
49	11.237463	0.6110071132	16.50724879	1.339902954
50	11.26888143	0.5990969844	16.57119781	1.383342915
51	11.21050816	0.5483775457	16.09655557	1.226593568
52	11.23774745	0.5587002202	15.79087257	1.276604128
53	11.13479383	0.5804358884	15.31614692	1.14373668
54	11.19529635	0.5904651421	15.36229691	1.178274413
55	11.45890104	0.6338129659	14.96995824	1.104941171
56	11.35960084	0.5580519368	14.70022565	1.05987543
57	11.33857162	0.5293656601	14.60295455	0.9931837683
58	11.43869356	0.5978366153	14.24948094	0.9934109686
59	11.3458123	0.570024797	14.2496724	1.014557844
60	11.18031157	0.5778958448	14.15373596	1.018038625
