Time_min	SOS	RAF
-3	-0.003565873902	-0.002924702395
-2	-0.000377257078	-0.0008529524503
-1	0.003853219629	0.003707189167
0	0.1234461001	0.006612911765
1	0.2459222932	0.1198175763
2	0.3268676037	0.2021858237
3	0.3769571524	0.2572874804
4	0.3959395809	0.2992275915
5	0.3926727241	0.3292700122
6	0.3784168512	0.3495065486
7	0.3582984196	0.3610582376
8	0.3352543685	0.3645616425
9	0.3102165233	0.3624225658
10	0.2859737123	0.3556243477
11	0.2642077459	0.3457677655
12	0.2461620269	0.3345357636
13	0.2281896177	0.3221879009
14	0.2136015333	0.3097243186
15	0.2019429088	0.2980512277
16	0.1893811803	0.2861719492
17	0.180762293	0.2747136519
18	0.1733594219	0.2657355552
19	0.167488509	0.2582124683
20	0.1625561185	0.2517668216
21	0.1589519808	0.2475553679
22	0.1568554602	0.2440369562
23	0.1549970644	0.2408407963
24	0.1517934271	0.2364564655
25	0.1513746947	0.2341719315
26	0.1484426247	0.2306140722
27	0.1474442947	0.2288629602
28	0.144886095	0.2253746133
29	0.1428288524	0.2224609493
30	0.1437646142	0.2230111979
31	0.1441925931	0.2233788961
32	0.1429897882	0.2217337654
33	0.1430187145	0.2219712251
34	0.1422401326	0.220606568
35	0.1417363348	0.2201896137
36	0.1406626279	0.2192970085
37	0.1406468602	0.2186748494
38	0.14115189	0.2190260525
39	0.1421935253	0.2198884199
40	0.1422276253	0.2200855333
41	0.1408138664	0.2202626582
42	0.1407505799	0.2208839878
43	0.141342764	0.2211933339
44	0.1410831858	0.2205989843
45	0.14070478	0.2208648158
46	0.140205466	0.2199960582
47	0.1396703823	0.2200614221
48	0.1405289072	0.2207575498
49	0.1399150021	0.2222428866
50	0.1393604149	0.2212222771
51	0.1403468884	0.2232383849
52	0.1396893363	0.2222667175
53	0.1402202532	0.2232737003
54	0.1400714213	0.2231231321
55	0.1402382379	0.2217606811
56	0.1386064996	0.2207548457
57	0.1386162883	0.2208957439
58	0.1373029432	0.2198628757
59	0.1372145863	0.2199571641
60	0.1360912224	0.2203034655
