Time_min	SOS	RAF
-3	-0.00448149652	-0.002964761496
-2	0.0004213505595	-0.0005401992238
-1	0.003940949368	0.00342935404
0	0.104493832	-0.004022842146
1	0.2181193172	0.09491340025
2	0.2957856964	0.1658275664
3	0.3564947849	0.2092542489
4	0.3942501984	0.2405567428
5	0.4090899479	0.2651837992
6	0.4053075803	0.2843105631
7	0.3921899379	0.2973434955
8	0.3702495186	0.3058693333
9	0.3441470911	0.3107693481
10	0.3214064794	0.31377263
11	0.2994832739	0.3121799008
12	0.2792161066	0.3092832484
13	0.2606417191	0.3023812977
14	0.2445355753	0.2953277803
15	0.2321112778	0.2887073548
16	0.2204218796	0.2812592132
17	0.2118998184	0.2743569603
18	0.203283515	0.2678828777
19	0.1977877573	0.2606795085
20	0.1912853703	0.2540891316
21	0.1862687231	0.2474470809
22	0.1828443166	0.2426239029
23	0.1792122551	0.2369358113
24	0.1777336549	0.233655528
25	0.1758915028	0.2308930895
26	0.1734627995	0.2282198906
27	0.1725709139	0.225382843
28	0.1716805699	0.2233738453
29	0.1714767225	0.2222601338
30	0.1706335484	0.2210020057
31	0.1713428373	0.2215291806
32	0.1724069181	0.2229049043
33	0.1730473586	0.223172013
34	0.1734385801	0.2226696289
35	0.1730582999	0.2229105088
36	0.1736081142	0.2226605902
37	0.1743190074	0.2229028927
38	0.1745590922	0.2234537127
39	0.174506156	0.2246722206
40	0.1758305437	0.2266309842
41	0.1764912395	0.2281185
42	0.1761147173	0.2298902149
43	0.1771324273	0.230632254
44	0.1769801702	0.2310796801
45	0.1779718174	0.2332019341
46	0.1798169488	0.234948929
47	0.1792658249	0.2350756304
48	0.1791420841	0.2349614818
49	0.1769788212	0.233662613
50	0.1776822918	0.2343321699
51	0.1784851451	0.236436002
52	0.1797417882	0.2384888399
53	0.180432151	0.240101826
54	0.1823490019	0.2423374844
55	0.1816067693	0.2428428011
56	0.1823354622	0.2446635572
57	0.1839919817	0.246163211
58	0.1822786753	0.2461319542
59	0.1832412803	0.2472088872
60	0.183457979	0.2481483187
