Time_min	DMSO	Drug
-3	0.5846046257	0.6218606672
-2	0.36211897	0.4376847811
-1	0.6186275311	0.5197290243
0	0.5661139358	0.5456480939
1	0.6616996888	0.6535577464
2	0.6403113263	0.6145578655
3	0.5811732846	0.5418040234
4	0.5441904242	0.4923819119
5	0.5270471716	0.4643797472
6	0.5160275452	0.4624236608
7	0.5215610185	0.448743132
8	0.5169980249	0.4403582879
9	0.5086567263	0.4444823417
10	0.5127566864	0.447073419
11	0.5128480723	0.4501217655
12	0.5209194485	0.4514890996
13	0.5093362861	0.4640861922
14	0.5135319918	0.4636107519
15	0.511671345	0.4685117002
16	0.5116132832	0.4808174182
17	0.5060604137	0.4843816939
18	0.5108372802	0.4964805698
19	0.5081924033	0.4892504837
20	0.512816767	0.4859206448
21	0.5206521346	0.4809393458
22	0.5096438634	0.4912042117
23	0.508748062	0.479732788
24	0.5219629144	0.4877676578
25	0.5176274448	0.4853275108
26	0.5369443394	0.4972529458
27	0.5267381209	0.5011468466
28	0.5168172514	0.5126647856
29	0.5106665049	0.5283085868
30	0.5109557531	0.5311632807
31	0.5340584562	0.5370173314
32	0.518296478	0.5416911412
33	0.5282356569	0.5515539856
34	0.5224553951	0.5430752797
35	0.5245208394	0.5521399224
36	0.5312925564	0.5583973463
37	0.5344482276	0.5655948913
38	0.5408193244	0.5495399059
39	0.5394563318	0.5658093026
40	0.5481302555	0.5597698992
41	0.5523716973	0.5591257615
42	0.5507799774	0.5678942658
43	0.5659376561	0.5704501608
44	0.567711069	0.5808396007
45	0.5776294747	0.5833420452
46	0.5789272336	0.5875771803
47	0.5850552304	0.5880410071
48	0.5808490446	0.5953527677
49	0.5840057264	0.5868975734
50	0.5885611656	0.5960776324
51	0.5986633675	0.6013359092
52	0.5888949949	0.5981432069
53	0.5890066902	0.5958549093
54	0.5968431339	0.5900240436
55	0.5862908351	0.5905746699
56	0.5844462607	0.596594366
57	0.5866295131	0.5981286267
58	0.5929586778	0.6009694091
59	0.592487172	0.6056883122
60	0.5855690446	0.6135707224
