Time_min	SOS	RAF
-3	0.01129599277	0.009940131171
-2	0.00782548799	0.005837056057
-1	0.01048218818	0.009310224455
0	0.07954979049	0.04436899894
1	0.112984692	0.08095972939
2	0.1399128793	0.1133630812
3	0.1636963983	0.1351519646
4	0.1773745831	0.1499919991
5	0.1802767679	0.1592847437
6	0.1785135667	0.1644794559
7	0.1758602447	0.1689743544
8	0.1703626019	0.1700872454
9	0.1616581591	0.1703859823
10	0.1544320545	0.1695303889
11	0.1471083901	0.1692129037
12	0.1397636652	0.1685104424
13	0.1335464092	0.1659669574
14	0.1285273535	0.1649683479
15	0.1239904662	0.1625263476
16	0.1175533717	0.1588434957
17	0.1133491461	0.1548420651
18	0.1110672646	0.1522571969
19	0.107399	0.1493013766
20	0.1057795884	0.1477049075
21	0.1050971356	0.1466496646
22	0.1039260493	0.1438489949
23	0.1025577648	0.1440008138
24	0.1026114753	0.1423164651
25	0.1022576309	0.1419283048
26	0.1011404165	0.141330831
27	0.1010807426	0.1402077942
28	0.1005008505	0.1382201325
29	0.09877200915	0.1354325547
30	0.09888397139	0.1363730804
31	0.1000988007	0.137995548
32	0.1000179887	0.1352776347
33	0.1006639946	0.1357523986
34	0.1008791755	0.1353248141
35	0.1013987526	0.1342730231
36	0.09991201866	0.1330177486
37	0.1011744717	0.1330036551
38	0.1012650346	0.1324301537
39	0.1021004879	0.1331792607
40	0.1032166251	0.1345884382
41	0.1040563507	0.1354205451
42	0.104438478	0.1353175569
43	0.1053127554	0.1353834927
44	0.1040022504	0.1357186868
45	0.1053720881	0.1371509854
46	0.1050508969	0.1371893592
47	0.1045378695	0.137529136
48	0.1066828788	0.1394080462
49	0.106675739	0.1404543379
50	0.1062260864	0.1404812268
51	0.1082188849	0.1411734084
52	0.1076263171	0.1407842655
53	0.1077921802	0.1419638879
54	0.1074209864	0.1403003454
55	0.1075867056	0.1387293695
56	0.106373949	0.1380149406
57	0.1055983983	0.1373531836
58	0.1087447862	0.1374948031
59	0.1071432753	0.1375079966
60	0.1087865571	0.138925214
