Time_min	SOS	RAF
-3	0.01209923088	0.01155340733
-2	0.007984204805	0.006980422336
-1	0.009627263286	0.009645190096
0	0.07939492496	0.03789538622
1	0.1104643211	0.07481456079
2	0.1410823208	0.1045993267
3	0.1697380042	0.1254367727
4	0.1925011133	0.1406166022
5	0.206358289	0.1512363789
6	0.2125499627	0.1582100845
7	0.2122710805	0.1626543961
8	0.2046830206	0.1639518725
9	0.1952606817	0.1647824473
10	0.1871637138	0.1648245197
11	0.1773315943	0.1627932869
12	0.1674117182	0.1606023423
13	0.1596331477	0.1578535806
14	0.1520639673	0.1556692514
15	0.1458133302	0.1534567184
16	0.1411821129	0.1512523402
17	0.1374817614	0.1480423283
18	0.1334454659	0.1463012554
19	0.1304257271	0.1443705477
20	0.1261716549	0.1427473811
21	0.1246262824	0.1408953251
22	0.1228684284	0.1391926837
23	0.1206634377	0.1367276562
24	0.1206838164	0.1370384903
25	0.1185893741	0.1351620167
26	0.1187760617	0.1347838975
27	0.1190088462	0.1342058773
28	0.119033972	0.1340350877
29	0.1205177766	0.1362127494
30	0.1208149818	0.1352136363
31	0.122129189	0.1356467777
32	0.1221212046	0.1361977852
33	0.1224068051	0.1363823887
34	0.1222953308	0.1355678982
35	0.1215840254	0.1359286064
36	0.1213770099	0.1360795492
37	0.121299652	0.1356803376
38	0.1220314181	0.1352976197
39	0.1221188589	0.1359347398
40	0.1226327111	0.1376802146
41	0.1230599766	0.139956565
42	0.1219089033	0.1405787494
43	0.1220221372	0.1411726336
44	0.1227724842	0.1425246777
45	0.1235018675	0.1426113044
46	0.1237194293	0.1442200051
47	0.1233125329	0.1447462755
48	0.1238364704	0.1440320838
49	0.1219545346	0.1433278149
50	0.1236758237	0.1444698361
51	0.1236373836	0.1460254446
52	0.1230888793	0.1467359592
53	0.1224382003	0.1489408177
54	0.1233532048	0.148625069
55	0.1230354627	0.149727203
56	0.1235387412	0.1507925102
57	0.1230799468	0.1517879909
58	0.1230429648	0.1521584199
59	0.1243071231	0.1531682369
60	0.1253104806	0.1537176515
