# q	x_q
0.000000e+00	0.000000e+00
1.001001e-03	0.000000e+00
2.002002e-03	0.000000e+00
3.003003e-03	0.000000e+00
4.004004e-03	5.490377e-04
5.005005e-03	1.136058e-03
6.006006e-03	1.723078e-03
7.007007e-03	2.393385e-03
8.008008e-03	3.213107e-03
9.009009e-03	4.032830e-03
1.001001e-02	4.852552e-03
1.101101e-02	6.781801e-03
1.201201e-02	9.527317e-03
1.301301e-02	1.227283e-02
1.401401e-02	1.305469e-02
1.501502e-02	1.312909e-02
1.601602e-02	1.320349e-02
1.701702e-02	1.327789e-02
1.801802e-02	1.335229e-02
1.901902e-02	1.342669e-02
2.002002e-02	1.350109e-02
2.102102e-02	1.357549e-02
2.202202e-02	1.364989e-02
2.302302e-02	1.372429e-02
2.402402e-02	1.379869e-02
2.502503e-02	1.387309e-02
2.602603e-02	1.394749e-02
2.702703e-02	1.402189e-02
2.802803e-02	1.409629e-02
2.902903e-02	1.417069e-02
3.003003e-02	1.424509e-02
3.103103e-02	1.431949e-02
3.203203e-02	1.439389e-02
3.303303e-02	1.446829e-02
3.403403e-02	1.454269e-02
3.503504e-02	1.461709e-02
3.603604e-02	1.469149e-02
3.703704e-02	1.476589e-02
3.803804e-02	1.484029e-02
3.903904e-02	1.491469e-02
4.004004e-02	1.498909e-02
4.104104e-02	1.506349e-02
4.204204e-02	1.513789e-02
4.304304e-02	1.521229e-02
4.404404e-02	1.528669e-02
4.504505e-02	1.536109e-02
4.604605e-02	1.543549e-02
4.704705e-02	1.550988e-02
4.804805e-02	1.558428e-02
4.904905e-02	1.565868e-02
5.005005e-02	1.573308e-02
5.105105e-02	1.580748e-02
5.205205e-02	1.588188e-02
5.305305e-02	1.595628e-02
5.405405e-02	1.603068e-02
5.505506e-02	1.610508e-02
5.605606e-02	1.617948e-02
5.705706e-02	1.625388e-02
5.805806e-02	1.632828e-02
5.905906e-02	1.640268e-02
6.006006e-02	1.647708e-02
6.106106e-02	1.655148e-02
6.206206e-02	1.662588e-02
6.306306e-02	1.670028e-02
6.406406e-02	1.677468e-02
6.506507e-02	1.684908e-02
6.606607e-02	1.692348e-02
6.706707e-02	1.699788e-02
6.806807e-02	1.707228e-02
6.906907e-02	1.714668e-02
7.007007e-02	1.722108e-02
7.107107e-02	1.729548e-02
7.207207e-02	1.736988e-02
7.307307e-02	1.744428e-02
7.407407e-02	1.751868e-02
7.507508e-02	1.759308e-02
7.607608e-02	1.766748e-02
7.707708e-02	1.774188e-02
7.807808e-02	1.781628e-02
7.907908e-02	1.789068e-02
8.008008e-02	1.796508e-02
8.108108e-02	1.803947e-02
8.208208e-02	1.811387e-02
8.308308e-02	1.818827e-02
8.408408e-02	1.826267e-02
8.508509e-02	1.833707e-02
8.608609e-02	1.841147e-02
8.708709e-02	1.848587e-02
8.808809e-02	1.856027e-02
8.908909e-02	1.863467e-02
9.009009e-02	1.870907e-02
9.109109e-02	1.878347e-02
9.209209e-02	1.885787e-02
9.309309e-02	1.893227e-02
9.409409e-02	1.900667e-02
9.509510e-02	1.908107e-02
