# q	y_q
0.000000e+00	3.274649e+02
1.001001e-03	4.950594e+02
2.002002e-03	8.544288e+02
3.003003e-03	1.078680e+03
4.004004e-03	1.228211e+03
5.005005e-03	1.377741e+03
6.006006e-03	1.527272e+03
7.007007e-03	1.656363e+03
8.008008e-03	1.728476e+03
9.009009e-03	1.800589e+03
1.001001e-02	1.872702e+03
1.101101e-02	1.944815e+03
1.201201e-02	2.016928e+03
1.301301e-02	2.089041e+03
1.401401e-02	2.161154e+03
1.501502e-02	2.233267e+03
1.601602e-02	2.299256e+03
1.701702e-02	2.337722e+03
1.801802e-02	2.376188e+03
1.901902e-02	2.414654e+03
2.002002e-02	2.453119e+03
2.102102e-02	2.491585e+03
2.202202e-02	2.530051e+03
2.302302e-02	2.568517e+03
2.402402e-02	2.606983e+03
2.502503e-02	2.645449e+03
2.602603e-02	2.683915e+03
2.702703e-02	2.722381e+03
2.802803e-02	2.760847e+03
2.902903e-02	2.799313e+03
3.003003e-02	2.837779e+03
3.103103e-02	2.876245e+03
3.203203e-02	2.914711e+03
3.303303e-02	2.950624e+03
3.403403e-02	2.972703e+03
3.503504e-02	2.994783e+03
3.603604e-02	3.016862e+03
3.703704e-02	3.038941e+03
3.803804e-02	3.061021e+03
3.903904e-02	3.083100e+03
4.004004e-02	3.105180e+03
4.104104e-02	3.127259e+03
4.204204e-02	3.149338e+03
4.304304e-02	3.171418e+03
4.404404e-02	3.193497e+03
4.504505e-02	3.215576e+03
4.604605e-02	3.237656e+03
4.704705e-02	3.259735e+03
4.804805e-02	3.281815e+03
4.904905e-02	3.303894e+03
5.005005e-02	3.325973e+03
5.105105e-02	3.348053e+03
5.205205e-02	3.370132e+03
5.305305e-02	3.392212e+03
5.405405e-02	3.414291e+03
5.505506e-02	3.436370e+03
5.605606e-02	3.458450e+03
5.705706e-02	3.480529e+03
5.805806e-02	3.502608e+03
5.905906e-02	3.524688e+03
6.006006e-02	3.546767e+03
6.106106e-02	3.568847e+03
6.206206e-02	3.590926e+03
6.306306e-02	3.609155e+03
6.406406e-02	3.623429e+03
6.506507e-02	3.637703e+03
6.606607e-02	3.651977e+03
6.706707e-02	3.666250e+03
6.806807e-02	3.680524e+03
6.906907e-02	3.694798e+03
7.007007e-02	3.709072e+03
7.107107e-02	3.723346e+03
7.207207e-02	3.737620e+03
7.307307e-02	3.751893e+03
7.407407e-02	3.766167e+03
7.507508e-02	3.780441e+03
7.607608e-02	3.794715e+03
7.707708e-02	3.808989e+03
7.807808e-02	3.823263e+03
7.907908e-02	3.837537e+03
8.008008e-02	3.851810e+03
8.108108e-02	3.866084e+03
8.208208e-02	3.880358e+03
8.308308e-02	3.894632e+03
8.408408e-02	3.908906e+03
8.508509e-02	3.923180e+03
8.608609e-02	3.937453e+03
8.708709e-02	3.951727e+03
8.808809e-02	3.966001e+03
8.908909e-02	3.980275e+03
9.009009e-02	3.994549e+03
9.109109e-02	4.008823e+03
9.209209e-02	4.023096e+03
9.309309e-02	4.037370e+03
9.409409e-02	4.051644e+03
9.509510e-02	4.065918e+03
9.609610e-02	4.080192e+03
9.709710e-02	4.094466e+03
9.809810e-02	4.108739e+03
9.909910e-02	4.123013e+03
1.001001e-01	4.137287e+03
1.011011e-01	4.151561e+03
1.021021e-01	4.165835e+03
1.031031e-01	4.180109e+03
1.041041e-01	4.194382e+03
1.051051e-01	4.208656e+03
1.061061e-01	4.222930e+03
1.071071e-01	4.237204e+03
1.081081e-01	4.251478e+03
1.091091e-01	4.263010e+03
1.101101e-01	4.272790e+03
1.111111e-01	4.282570e+03
1.121121e-01	4.292350e+03
1.131131e-01	4.302130e+03
1.141141e-01	4.311909e+03
1.151151e-01	4.321689e+03
1.161161e-01	4.331469e+03
1.171171e-01	4.341249e+03
1.181181e-01	4.351029e+03
1.191191e-01	4.360809e+03
1.201201e-01	4.370589e+03
1.211211e-01	4.380368e+03
1.221221e-01	4.390148e+03
1.231231e-01	4.399928e+03
1.241241e-01	4.409708e+03
1.251251e-01	4.419488e+03
1.261261e-01	4.429268e+03
1.271271e-01	4.439048e+03
1.281281e-01	4.448828e+03
1.291291e-01	4.458607e+03
1.301301e-01	4.468387e+03
1.311311e-01	4.478167e+03
1.321321e-01	4.487947e+03
1.331331e-01	4.497727e+03
1.341341e-01	4.507507e+03
1.351351e-01	4.517287e+03
1.361361e-01	4.527066e+03
1.371371e-01	4.536846e+03
1.381381e-01	4.546626e+03
1.391391e-01	4.556406e+03
1.401401e-01	4.566186e+03
1.411411e-01	4.575966e+03
1.421421e-01	4.585746e+03
1.431431e-01	4.595525e+03
1.441441e-01	4.605305e+03
1.451451e-01	4.615085e+03
1.461461e-01	4.624865e+03
1.471471e-01	4.634645e+03
1.481481e-01	4.644425e+03
1.491491e-01	4.654205e+03
1.501502e-01	4.663985e+03
1.511512e-01	4.673764e+03
1.521522e-01	4.683544e+03
1.531532e-01	4.693324e+03
1.541542e-01	4.703104e+03
1.551552e-01	4.712884e+03
1.561562e-01	4.722664e+03
1.571572e-01	4.732444e+03
1.581582e-01	4.742223e+03
1.591592e-01	4.752003e+03
1.601602e-01	4.761783e+03
1.611612e-01	4.771563e+03
1.621622e-01	4.781343e+03
1.631632e-01	4.791123e+03
1.641642e-01	4.800903e+03
1.651652e-01	4.810682e+03
1.661662e-01	4.820462e+03
1.671672e-01	4.830242e+03
1.681682e-01	4.840022e+03
1.691692e-01	4.849802e+03
1.701702e-01	4.859582e+03
1.711712e-01	4.869362e+03
1.721722e-01	4.879142e+03
1.731732e-01	4.888921e+03
1.741742e-01	4.898701e+03
1.751752e-01	4.908481e+03
1.761762e-01	4.916822e+03
1.771772e-01	4.924364e+03
1.781782e-01	4.931905e+03
1.791792e-01	4.939447e+03
1.801802e-01	4.946988e+03
1.811812e-01	4.954530e+03
1.821822e-01	4.962071e+03
1.831832e-01	4.969613e+03
1.841842e-01	4.977154e+03
1.851852e-01	4.984696e+03
1.861862e-01	4.992238e+03
1.871872e-01	4.999779e+03
1.881882e-01	5.007321e+03
1.891892e-01	5.014862e+03
1.901902e-01	5.022404e+03
1.911912e-01	5.029945e+03
1.921922e-01	5.037487e+03
1.931932e-01	5.045028e+03
1.941942e-01	5.052570e+03
1.951952e-01	5.060112e+03
1.961962e-01	5.067653e+03
1.971972e-01	5.075195e+03
1.981982e-01	5.082736e+03
1.991992e-01	5.090278e+03
2.002002e-01	5.097819e+03
2.012012e-01	5.105361e+03
2.022022e-01	5.112902e+03
2.032032e-01	5.120444e+03
2.042042e-01	5.127985e+03
2.052052e-01	5.135527e+03
2.062062e-01	5.143069e+03
2.072072e-01	5.150610e+03
2.082082e-01	5.158152e+03
2.092092e-01	5.165693e+03
2.102102e-01	5.173235e+03
2.112112e-01	5.180776e+03
2.122122e-01	5.188318e+03
2.132132e-01	5.195859e+03
2.142142e-01	5.203401e+03
2.152152e-01	5.210943e+03
2.162162e-01	5.218484e+03
2.172172e-01	5.226026e+03
2.182182e-01	5.233567e+03
2.192192e-01	5.241109e+03
2.202202e-01	5.248650e+03
2.212212e-01	5.256192e+03
2.222222e-01	5.263733e+03
2.232232e-01	5.271275e+03
2.242242e-01	5.278816e+03
2.252252e-01	5.286358e+03
2.262262e-01	5.293900e+03
2.272272e-01	5.301441e+03
2.282282e-01	5.308983e+03
2.292292e-01	5.316524e+03
2.302302e-01	5.324066e+03
