# y_val	CDF(y)
3.274649e+02	5.341773e-04
9.823948e+02	2.358443e-03
1.637325e+03	6.742728e-03
2.292254e+03	1.583382e-02
2.947184e+03	3.287710e-02
3.602114e+03	6.256929e-02
4.257044e+03	1.084985e-01
4.911974e+03	1.755327e-01
5.566904e+03	2.624625e-01
6.221834e+03	3.672116e-01
6.876763e+03	4.847104e-01
7.531693e+03	6.019371e-01
8.186623e+03	7.106573e-01
8.841553e+03	8.043399e-01
9.496483e+03	8.760608e-01
1.015141e+04	9.278357e-01
1.080634e+04	9.610151e-01
1.146127e+04	9.808099e-01
1.211620e+04	9.916850e-01
1.277113e+04	9.969058e-01
1.342606e+04	9.991534e-01
1.408099e+04	1.000000e+00
1.473592e+04	1.000000e+00
1.539085e+04	1.000000e+00
1.604578e+04	1.000000e+00
1.670071e+04	1.000000e+00
1.735564e+04	1.000000e+00
1.801057e+04	1.000000e+00
1.866550e+04	1.000000e+00
