# q	y_q
0.000000e+00	1.966521e+02
1.001001e-03	9.227648e+02
2.002002e-03	1.105987e+03
3.003003e-03	1.252050e+03
4.004004e-03	1.386090e+03
5.005005e-03	1.450658e+03
6.006006e-03	1.515226e+03
7.007007e-03	1.579794e+03
8.008008e-03	1.644361e+03
9.009009e-03	1.708929e+03
1.001001e-02	1.771642e+03
1.101101e-02	1.803194e+03
1.201201e-02	1.834747e+03
1.301301e-02	1.866299e+03
1.401401e-02	1.897852e+03
1.501502e-02	1.929404e+03
1.601602e-02	1.960957e+03
1.701702e-02	1.992510e+03
1.801802e-02	2.024062e+03
1.901902e-02	2.055615e+03
2.002002e-02	2.087167e+03
2.102102e-02	2.118720e+03
2.202202e-02	2.150272e+03
2.302302e-02	2.173067e+03
2.402402e-02	2.189805e+03
2.502503e-02	2.206543e+03
2.602603e-02	2.223281e+03
2.702703e-02	2.240018e+03
2.802803e-02	2.256756e+03
2.902903e-02	2.273494e+03
3.003003e-02	2.290231e+03
3.103103e-02	2.306969e+03
3.203203e-02	2.323707e+03
3.303303e-02	2.340445e+03
3.403403e-02	2.357182e+03
3.503504e-02	2.373920e+03
3.603604e-02	2.390658e+03
3.703704e-02	2.407396e+03
3.803804e-02	2.424133e+03
3.903904e-02	2.440871e+03
4.004004e-02	2.457609e+03
4.104104e-02	2.474347e+03
4.204204e-02	2.491084e+03
4.304304e-02	2.507822e+03
4.404404e-02	2.524560e+03
4.504505e-02	2.541298e+03
4.604605e-02	2.557375e+03
4.704705e-02	2.567013e+03
4.804805e-02	2.576652e+03
4.904905e-02	2.586291e+03
5.005005e-02	2.595930e+03
5.105105e-02	2.605569e+03
5.205205e-02	2.615208e+03
5.305305e-02	2.624847e+03
5.405405e-02	2.634486e+03
5.505506e-02	2.644124e+03
5.605606e-02	2.653763e+03
5.705706e-02	2.663402e+03
5.805806e-02	2.673041e+03
5.905906e-02	2.682680e+03
6.006006e-02	2.692319e+03
6.106106e-02	2.701958e+03
6.206206e-02	2.711597e+03
6.306306e-02	2.721236e+03
6.406406e-02	2.730874e+03
6.506507e-02	2.740513e+03
6.606607e-02	2.750152e+03
6.706707e-02	2.759791e+03
6.806807e-02	2.769430e+03
6.906907e-02	2.779069e+03
7.007007e-02	2.788708e+03
7.107107e-02	2.798347e+03
7.207207e-02	2.807986e+03
7.307307e-02	2.817624e+03
7.407407e-02	2.827263e+03
7.507508e-02	2.836902e+03
7.607608e-02	2.846541e+03
7.707708e-02	2.856180e+03
7.807808e-02	2.865819e+03
7.907908e-02	2.875458e+03
8.008008e-02	2.885097e+03
8.108108e-02	2.894735e+03
8.208208e-02	2.904374e+03
8.308308e-02	2.914013e+03
8.408408e-02	2.923652e+03
8.508509e-02	2.933291e+03
8.608609e-02	2.942930e+03
8.708709e-02	2.951541e+03
8.808809e-02	2.957627e+03
8.908909e-02	2.963713e+03
9.009009e-02	2.969799e+03
9.109109e-02	2.975885e+03
9.209209e-02	2.981971e+03
9.309309e-02	2.988057e+03
9.409409e-02	2.994143e+03
9.509510e-02	3.000229e+03
9.609610e-02	3.006315e+03
9.709710e-02	3.012401e+03
9.809810e-02	3.018487e+03
9.909910e-02	3.024573e+03
1.001001e-01	3.030659e+03
1.011011e-01	3.036745e+03
1.021021e-01	3.042831e+03
1.031031e-01	3.048917e+03
1.041041e-01	3.055003e+03
1.051051e-01	3.061089e+03
1.061061e-01	3.067175e+03
1.071071e-01	3.073261e+03
1.081081e-01	3.079347e+03
1.091091e-01	3.085433e+03
1.101101e-01	3.091519e+03
1.111111e-01	3.097605e+03
1.121121e-01	3.103691e+03
1.131131e-01	3.109777e+03
1.141141e-01	3.115863e+03
1.151151e-01	3.121949e+03
1.161161e-01	3.128035e+03
1.171171e-01	3.134121e+03
1.181181e-01	3.140207e+03
1.191191e-01	3.146293e+03
1.201201e-01	3.152379e+03
1.211211e-01	3.158465e+03
1.221221e-01	3.164551e+03
1.231231e-01	3.170636e+03
1.241241e-01	3.176722e+03
1.251251e-01	3.182808e+03
1.261261e-01	3.188894e+03
1.271271e-01	3.194980e+03
1.281281e-01	3.201066e+03
1.291291e-01	3.207152e+03
1.301301e-01	3.213238e+03
1.311311e-01	3.219324e+03
1.321321e-01	3.225410e+03
1.331331e-01	3.231496e+03
1.341341e-01	3.237582e+03
1.351351e-01	3.243668e+03
1.361361e-01	3.249754e+03
1.371371e-01	3.255840e+03
1.381381e-01	3.261926e+03
1.391391e-01	3.268012e+03
1.401401e-01	3.274098e+03
1.411411e-01	3.280184e+03
1.421421e-01	3.286270e+03
1.431431e-01	3.292356e+03
1.441441e-01	3.298442e+03
1.451451e-01	3.304528e+03
1.461461e-01	3.310614e+03
1.471471e-01	3.316700e+03
1.481481e-01	3.322786e+03
1.491491e-01	3.328872e+03
1.501502e-01	3.334958e+03
1.511512e-01	3.341044e+03
1.521522e-01	3.345916e+03
1.531532e-01	3.350175e+03
1.541542e-01	3.354435e+03
1.551552e-01	3.358694e+03
1.561562e-01	3.362954e+03
1.571572e-01	3.367213e+03
1.581582e-01	3.371472e+03
1.591592e-01	3.375732e+03
1.601602e-01	3.379991e+03
1.611612e-01	3.384251e+03
1.621622e-01	3.388510e+03
1.631632e-01	3.392769e+03
1.641642e-01	3.397029e+03
1.651652e-01	3.401288e+03
1.661662e-01	3.405547e+03
1.671672e-01	3.409807e+03
1.681682e-01	3.414066e+03
1.691692e-01	3.418326e+03
1.701702e-01	3.422585e+03
1.711712e-01	3.426844e+03
1.721722e-01	3.431104e+03
1.731732e-01	3.435363e+03
1.741742e-01	3.439623e+03
1.751752e-01	3.443882e+03
1.761762e-01	3.448141e+03
1.771772e-01	3.452401e+03
1.781782e-01	3.456660e+03
1.791792e-01	3.460919e+03
1.801802e-01	3.465179e+03
1.811812e-01	3.469438e+03
1.821822e-01	3.473698e+03
1.831832e-01	3.477957e+03
1.841842e-01	3.482216e+03
1.851852e-01	3.486476e+03
1.861862e-01	3.490735e+03
1.871872e-01	3.494995e+03
1.881882e-01	3.499254e+03
1.891892e-01	3.503513e+03
1.901902e-01	3.507773e+03
1.911912e-01	3.512032e+03
1.921922e-01	3.516291e+03
1.931932e-01	3.520551e+03
1.941942e-01	3.524810e+03
1.951952e-01	3.529070e+03
1.961962e-01	3.533329e+03
1.971972e-01	3.537588e+03
1.981982e-01	3.541848e+03
1.991992e-01	3.546107e+03
2.002002e-01	3.550367e+03
2.012012e-01	3.554626e+03
2.022022e-01	3.558885e+03
2.032032e-01	3.563145e+03
2.042042e-01	3.567404e+03
2.052052e-01	3.571663e+03
2.062062e-01	3.575923e+03
2.072072e-01	3.580182e+03
2.082082e-01	3.584442e+03
2.092092e-01	3.588701e+03
2.102102e-01	3.592960e+03
2.112112e-01	3.597220e+03
2.122122e-01	3.601479e+03
2.132132e-01	3.605739e+03
2.142142e-01	3.609998e+03
2.152152e-01	3.614257e+03
2.162162e-01	3.618517e+03
