# y_val	CDF(y)
1.966521e+02	1.009510e-20
5.899563e+02	1.211411e-04
9.832605e+02	1.160936e-03
1.376565e+03	3.856327e-03
1.769869e+03	9.953764e-03
2.163173e+03	2.243130e-02
2.556477e+03	4.595288e-02
2.949782e+03	8.679763e-02
3.343086e+03	1.514870e-01
3.736390e+03	2.439177e-01
4.129694e+03	3.619496e-01
4.522998e+03	4.958206e-01
4.916303e+03	6.302166e-01
5.309607e+03	7.495811e-01
5.702911e+03	8.436673e-01
6.096215e+03	9.098609e-01
6.489519e+03	9.518363e-01
6.882824e+03	9.761756e-01
7.276128e+03	9.892083e-01
7.669432e+03	9.956995e-01
8.062736e+03	9.986372e-01
8.456040e+03	9.997779e-01
8.849345e+03	1.000000e+00
9.242649e+03	1.000000e+00
9.635953e+03	1.000000e+00
1.002926e+04	1.000000e+00
1.042256e+04	1.000000e+00
1.081587e+04	1.000000e+00
1.120917e+04	1.000000e+00
