# q	x_q
0.000000e+00	0.000000e+00
1.001001e-03	0.000000e+00
2.002002e-03	0.000000e+00
3.003003e-03	9.801180e-04
4.004004e-03	1.329439e-02
5.005005e-03	2.455716e-02
6.006006e-03	3.309725e-02
7.007007e-03	3.348568e-02
8.008008e-03	3.387411e-02
9.009009e-03	3.426254e-02
1.001001e-02	3.465097e-02
1.101101e-02	3.503940e-02
1.201201e-02	3.542783e-02
1.301301e-02	3.581626e-02
1.401401e-02	3.620469e-02
1.501502e-02	3.659312e-02
1.601602e-02	3.698155e-02
1.701702e-02	3.736997e-02
1.801802e-02	3.775840e-02
1.901902e-02	3.814683e-02
2.002002e-02	3.853526e-02
2.102102e-02	3.892369e-02
2.202202e-02	3.931212e-02
2.302302e-02	3.970055e-02
2.402402e-02	4.008898e-02
2.502503e-02	4.047741e-02
2.602603e-02	4.086584e-02
2.702703e-02	4.125427e-02
2.802803e-02	4.164270e-02
2.902903e-02	4.203113e-02
3.003003e-02	4.241955e-02
3.103103e-02	4.280798e-02
3.203203e-02	4.319641e-02
3.303303e-02	4.358484e-02
3.403403e-02	4.397327e-02
3.503504e-02	4.436170e-02
3.603604e-02	4.475013e-02
3.703704e-02	4.513856e-02
3.803804e-02	4.552699e-02
3.903904e-02	4.591542e-02
4.004004e-02	4.630385e-02
4.104104e-02	4.669228e-02
4.204204e-02	4.708071e-02
4.304304e-02	4.746913e-02
4.404404e-02	4.785756e-02
4.504505e-02	4.824599e-02
4.604605e-02	4.863442e-02
4.704705e-02	4.902285e-02
4.804805e-02	4.941128e-02
4.904905e-02	4.979971e-02
5.005005e-02	5.018814e-02
5.105105e-02	5.057657e-02
5.205205e-02	5.096500e-02
5.305305e-02	5.135343e-02
5.405405e-02	5.174186e-02
5.505506e-02	5.213029e-02
5.605606e-02	5.251871e-02
5.705706e-02	5.290714e-02
5.805806e-02	5.329557e-02
5.905906e-02	5.368400e-02
6.006006e-02	5.407243e-02
6.106106e-02	5.446086e-02
6.206206e-02	5.484929e-02
6.306306e-02	5.523772e-02
6.406406e-02	5.562615e-02
6.506507e-02	5.601458e-02
6.606607e-02	5.640301e-02
6.706707e-02	5.679144e-02
6.806807e-02	5.717987e-02
6.906907e-02	5.756829e-02
7.007007e-02	5.795672e-02
7.107107e-02	5.834515e-02
7.207207e-02	5.873358e-02
7.307307e-02	5.912201e-02
7.407407e-02	5.951044e-02
7.507508e-02	5.989887e-02
7.607608e-02	6.028730e-02
7.707708e-02	6.067573e-02
7.807808e-02	6.106416e-02
7.907908e-02	6.145259e-02
8.008008e-02	6.184102e-02
8.108108e-02	6.222945e-02
8.208208e-02	6.261787e-02
8.308308e-02	6.300630e-02
8.408408e-02	6.339473e-02
8.508509e-02	6.378316e-02
8.608609e-02	6.417159e-02
8.708709e-02	6.456002e-02
8.808809e-02	6.494845e-02
8.908909e-02	6.533688e-02
9.009009e-02	6.572531e-02
9.109109e-02	6.611374e-02
9.209209e-02	6.650217e-02
9.309309e-02	6.689060e-02
9.409409e-02	6.727903e-02
9.509510e-02	6.766745e-02
