# q	y_q
0.000000e+00	2.722952e+02
1.001001e-03	1.022665e+03
2.002002e-03	1.331729e+03
3.003003e-03	1.467592e+03
4.004004e-03	1.585009e+03
5.005005e-03	1.702426e+03
6.006006e-03	1.819844e+03
7.007007e-03	1.920856e+03
8.008008e-03	1.976526e+03
9.009009e-03	2.032196e+03
1.001001e-02	2.087866e+03
1.101101e-02	2.143536e+03
1.201201e-02	2.199206e+03
1.301301e-02	2.254876e+03
1.401401e-02	2.310545e+03
1.501502e-02	2.366215e+03
1.601602e-02	2.421885e+03
1.701702e-02	2.464895e+03
1.801802e-02	2.494361e+03
1.901902e-02	2.523828e+03
2.002002e-02	2.553295e+03
2.102102e-02	2.582762e+03
2.202202e-02	2.612229e+03
2.302302e-02	2.641696e+03
2.402402e-02	2.671163e+03
2.502503e-02	2.700630e+03
2.602603e-02	2.730097e+03
2.702703e-02	2.759564e+03
2.802803e-02	2.789030e+03
2.902903e-02	2.818497e+03
3.003003e-02	2.847964e+03
3.103103e-02	2.877431e+03
3.203203e-02	2.906898e+03
3.303303e-02	2.936365e+03
3.403403e-02	2.965832e+03
3.503504e-02	2.995278e+03
3.603604e-02	3.012852e+03
3.703704e-02	3.030427e+03
3.803804e-02	3.048001e+03
3.903904e-02	3.065575e+03
4.004004e-02	3.083149e+03
4.104104e-02	3.100723e+03
4.204204e-02	3.118298e+03
4.304304e-02	3.135872e+03
4.404404e-02	3.153446e+03
4.504505e-02	3.171020e+03
4.604605e-02	3.188594e+03
4.704705e-02	3.206169e+03
4.804805e-02	3.223743e+03
4.904905e-02	3.241317e+03
5.005005e-02	3.258891e+03
5.105105e-02	3.276465e+03
5.205205e-02	3.294040e+03
5.305305e-02	3.311614e+03
5.405405e-02	3.329188e+03
5.505506e-02	3.346762e+03
5.605606e-02	3.364336e+03
5.705706e-02	3.381911e+03
5.805806e-02	3.399485e+03
5.905906e-02	3.417059e+03
6.006006e-02	3.434633e+03
6.106106e-02	3.452208e+03
6.206206e-02	3.469782e+03
6.306306e-02	3.487356e+03
6.406406e-02	3.504930e+03
6.506507e-02	3.522504e+03
6.606607e-02	3.539992e+03
6.706707e-02	3.551262e+03
6.806807e-02	3.562531e+03
6.906907e-02	3.573800e+03
7.007007e-02	3.585070e+03
7.107107e-02	3.596339e+03
7.207207e-02	3.607608e+03
7.307307e-02	3.618877e+03
7.407407e-02	3.630147e+03
7.507508e-02	3.641416e+03
7.607608e-02	3.652685e+03
7.707708e-02	3.663955e+03
7.807808e-02	3.675224e+03
7.907908e-02	3.686493e+03
8.008008e-02	3.697762e+03
8.108108e-02	3.709032e+03
8.208208e-02	3.720301e+03
8.308308e-02	3.731570e+03
8.408408e-02	3.742840e+03
8.508509e-02	3.754109e+03
8.608609e-02	3.765378e+03
8.708709e-02	3.776648e+03
8.808809e-02	3.787917e+03
8.908909e-02	3.799186e+03
9.009009e-02	3.810455e+03
9.109109e-02	3.821725e+03
9.209209e-02	3.832994e+03
9.309309e-02	3.844263e+03
9.409409e-02	3.855533e+03
9.509510e-02	3.866802e+03
9.609610e-02	3.878071e+03
9.709710e-02	3.889341e+03
9.809810e-02	3.900610e+03
9.909910e-02	3.911879e+03
1.001001e-01	3.923148e+03
1.011011e-01	3.934418e+03
1.021021e-01	3.945687e+03
1.031031e-01	3.956956e+03
1.041041e-01	3.968226e+03
1.051051e-01	3.979495e+03
1.061061e-01	3.990764e+03
1.071071e-01	4.002033e+03
1.081081e-01	4.013303e+03
1.091091e-01	4.024572e+03
1.101101e-01	4.035841e+03
1.111111e-01	4.047111e+03
1.121121e-01	4.058380e+03
1.131131e-01	4.069649e+03
1.141141e-01	4.080919e+03
1.151151e-01	4.089954e+03
1.161161e-01	4.097979e+03
1.171171e-01	4.106005e+03
1.181181e-01	4.114030e+03
1.191191e-01	4.122055e+03
1.201201e-01	4.130080e+03
1.211211e-01	4.138106e+03
1.221221e-01	4.146131e+03
1.231231e-01	4.154156e+03
1.241241e-01	4.162181e+03
1.251251e-01	4.170207e+03
1.261261e-01	4.178232e+03
1.271271e-01	4.186257e+03
1.281281e-01	4.194282e+03
1.291291e-01	4.202307e+03
1.301301e-01	4.210333e+03
1.311311e-01	4.218358e+03
1.321321e-01	4.226383e+03
1.331331e-01	4.234408e+03
1.341341e-01	4.242434e+03
1.351351e-01	4.250459e+03
1.361361e-01	4.258484e+03
1.371371e-01	4.266509e+03
1.381381e-01	4.274535e+03
1.391391e-01	4.282560e+03
1.401401e-01	4.290585e+03
1.411411e-01	4.298610e+03
1.421421e-01	4.306635e+03
1.431431e-01	4.314661e+03
1.441441e-01	4.322686e+03
1.451451e-01	4.330711e+03
1.461461e-01	4.338736e+03
1.471471e-01	4.346762e+03
1.481481e-01	4.354787e+03
1.491491e-01	4.362812e+03
1.501502e-01	4.370837e+03
1.511512e-01	4.378863e+03
1.521522e-01	4.386888e+03
1.531532e-01	4.394913e+03
1.541542e-01	4.402938e+03
1.551552e-01	4.410964e+03
1.561562e-01	4.418989e+03
1.571572e-01	4.427014e+03
1.581582e-01	4.435039e+03
1.591592e-01	4.443064e+03
1.601602e-01	4.451090e+03
1.611612e-01	4.459115e+03
1.621622e-01	4.467140e+03
1.631632e-01	4.475165e+03
1.641642e-01	4.483191e+03
1.651652e-01	4.491216e+03
1.661662e-01	4.499241e+03
1.671672e-01	4.507266e+03
1.681682e-01	4.515292e+03
1.691692e-01	4.523317e+03
1.701702e-01	4.531342e+03
1.711712e-01	4.539367e+03
1.721722e-01	4.547392e+03
1.731732e-01	4.555418e+03
1.741742e-01	4.563443e+03
1.751752e-01	4.571468e+03
1.761762e-01	4.579493e+03
1.771772e-01	4.587519e+03
1.781782e-01	4.595544e+03
1.791792e-01	4.603569e+03
1.801802e-01	4.611594e+03
1.811812e-01	4.619620e+03
1.821822e-01	4.627645e+03
1.831832e-01	4.634152e+03
1.841842e-01	4.640345e+03
1.851852e-01	4.646539e+03
1.861862e-01	4.652732e+03
1.871872e-01	4.658925e+03
1.881882e-01	4.665119e+03
1.891892e-01	4.671312e+03
1.901902e-01	4.677505e+03
1.911912e-01	4.683699e+03
1.921922e-01	4.689892e+03
1.931932e-01	4.696086e+03
1.941942e-01	4.702279e+03
1.951952e-01	4.708472e+03
1.961962e-01	4.714666e+03
1.971972e-01	4.720859e+03
1.981982e-01	4.727052e+03
1.991992e-01	4.733246e+03
2.002002e-01	4.739439e+03
2.012012e-01	4.745633e+03
2.022022e-01	4.751826e+03
2.032032e-01	4.758019e+03
2.042042e-01	4.764213e+03
