# y_val	CDF(y)
2.722952e+02	1.013695e-20
8.168857e+02	3.345194e-04
1.361476e+03	2.098349e-03
1.906067e+03	6.741072e-03
2.450657e+03	1.653337e-02
2.995248e+03	3.503330e-02
3.539838e+03	6.605237e-02
4.084429e+03	1.144259e-01
4.629019e+03	1.823536e-01
5.173610e+03	2.703727e-01
5.718200e+03	3.758274e-01
6.262790e+03	4.894221e-01
6.807381e+03	6.028140e-01
7.351971e+03	7.080153e-01
7.896562e+03	7.966426e-01
8.441152e+03	8.671857e-01
8.985743e+03	9.184381e-01
9.530333e+03	9.534207e-01
1.007492e+04	9.757220e-01
1.061951e+04	9.886263e-01
1.116410e+04	9.954485e-01
1.170870e+04	9.986721e-01
1.225329e+04	9.999696e-01
1.279788e+04	1.000000e+00
1.334247e+04	1.000000e+00
1.388706e+04	1.000000e+00
1.443165e+04	1.000000e+00
1.497624e+04	1.000000e+00
1.552083e+04	1.000000e+00
