# q	x_q
0.000000e+00	0.000000e+00
1.001001e-03	0.000000e+00
2.002002e-03	0.000000e+00
3.003003e-03	0.000000e+00
4.004004e-03	0.000000e+00
5.005005e-03	0.000000e+00
6.006006e-03	0.000000e+00
7.007007e-03	0.000000e+00
8.008008e-03	0.000000e+00
9.009009e-03	0.000000e+00
1.001001e-02	0.000000e+00
1.101101e-02	0.000000e+00
1.201201e-02	0.000000e+00
1.301301e-02	0.000000e+00
1.401401e-02	0.000000e+00
1.501502e-02	0.000000e+00
1.601602e-02	0.000000e+00
1.701702e-02	0.000000e+00
1.801802e-02	0.000000e+00
1.901902e-02	0.000000e+00
2.002002e-02	0.000000e+00
2.102102e-02	0.000000e+00
2.202202e-02	0.000000e+00
2.302302e-02	0.000000e+00
2.402402e-02	2.165755e-03
2.502503e-02	2.338239e-03
2.602603e-02	2.510723e-03
2.702703e-02	2.683206e-03
2.802803e-02	2.855690e-03
2.902903e-02	3.028174e-03
3.003003e-02	3.200658e-03
3.103103e-02	3.373142e-03
3.203203e-02	3.545626e-03
3.303303e-02	3.718110e-03
3.403403e-02	3.890593e-03
3.503504e-02	4.063077e-03
3.603604e-02	4.235561e-03
3.703704e-02	4.408045e-03
3.803804e-02	4.580529e-03
3.903904e-02	4.753013e-03
4.004004e-02	4.925496e-03
4.104104e-02	5.097980e-03
4.204204e-02	5.344406e-03
4.304304e-02	5.697888e-03
4.404404e-02	6.051370e-03
4.504505e-02	6.404852e-03
4.604605e-02	6.758334e-03
4.704705e-02	7.111816e-03
4.804805e-02	7.465298e-03
4.904905e-02	7.818779e-03
5.005005e-02	8.172261e-03
5.105105e-02	8.525743e-03
5.205205e-02	8.879225e-03
5.305305e-02	9.232707e-03
5.405405e-02	9.586189e-03
5.505506e-02	9.939671e-03
5.605606e-02	1.029315e-02
5.705706e-02	1.064663e-02
5.805806e-02	1.100012e-02
5.905906e-02	1.135360e-02
6.006006e-02	1.170708e-02
6.106106e-02	1.206056e-02
6.206206e-02	1.241404e-02
6.306306e-02	1.276753e-02
6.406406e-02	1.369917e-02
6.506507e-02	1.574156e-02
6.606607e-02	1.778395e-02
6.706707e-02	1.982635e-02
6.806807e-02	2.186874e-02
6.906907e-02	2.391113e-02
7.007007e-02	2.595352e-02
7.107107e-02	2.799591e-02
7.207207e-02	3.003830e-02
7.307307e-02	3.208070e-02
7.407407e-02	3.305414e-02
7.507508e-02	3.315261e-02
7.607608e-02	3.325107e-02
7.707708e-02	3.334953e-02
7.807808e-02	3.344799e-02
7.907908e-02	3.354645e-02
8.008008e-02	3.364492e-02
8.108108e-02	3.374338e-02
8.208208e-02	3.384184e-02
8.308308e-02	3.394030e-02
8.408408e-02	3.403877e-02
8.508509e-02	3.413723e-02
8.608609e-02	3.423569e-02
8.708709e-02	3.433415e-02
8.808809e-02	3.443261e-02
8.908909e-02	3.453108e-02
9.009009e-02	3.462954e-02
9.109109e-02	3.472800e-02
9.209209e-02	3.482646e-02
9.309309e-02	3.492493e-02
9.409409e-02	3.502339e-02
9.509510e-02	3.512185e-02
