# q	y_q
0.000000e+00	3.505442e+02
1.001001e-03	1.314823e+03
2.002002e-03	1.460116e+03
3.003003e-03	1.605409e+03
4.004004e-03	1.677362e+03
5.005005e-03	1.719263e+03
6.006006e-03	1.761163e+03
7.007007e-03	1.803064e+03
8.008008e-03	1.844964e+03
9.009009e-03	1.886865e+03
1.001001e-02	1.928765e+03
1.101101e-02	1.970666e+03
1.201201e-02	2.012566e+03
1.301301e-02	2.054467e+03
1.401401e-02	2.086412e+03
1.501502e-02	2.102817e+03
1.601602e-02	2.119222e+03
1.701702e-02	2.135627e+03
1.801802e-02	2.152031e+03
1.901902e-02	2.168436e+03
2.002002e-02	2.184841e+03
2.102102e-02	2.201246e+03
2.202202e-02	2.217651e+03
2.302302e-02	2.234056e+03
2.402402e-02	2.250461e+03
2.502503e-02	2.266866e+03
2.602603e-02	2.283271e+03
2.702703e-02	2.299676e+03
2.802803e-02	2.316081e+03
2.902903e-02	2.332486e+03
3.003003e-02	2.348891e+03
3.103103e-02	2.365296e+03
3.203203e-02	2.381701e+03
3.303303e-02	2.398106e+03
3.403403e-02	2.414511e+03
3.503504e-02	2.430916e+03
3.603604e-02	2.447321e+03
3.703704e-02	2.463726e+03
3.803804e-02	2.480131e+03
3.903904e-02	2.496536e+03
4.004004e-02	2.512669e+03
4.104104e-02	2.521241e+03
4.204204e-02	2.529814e+03
4.304304e-02	2.538386e+03
4.404404e-02	2.546959e+03
4.504505e-02	2.555531e+03
4.604605e-02	2.564104e+03
4.704705e-02	2.572676e+03
4.804805e-02	2.581249e+03
4.904905e-02	2.589821e+03
5.005005e-02	2.598394e+03
5.105105e-02	2.606966e+03
5.205205e-02	2.615539e+03
5.305305e-02	2.624111e+03
5.405405e-02	2.632684e+03
5.505506e-02	2.641256e+03
5.605606e-02	2.649828e+03
5.705706e-02	2.658401e+03
5.805806e-02	2.666973e+03
5.905906e-02	2.675546e+03
6.006006e-02	2.684118e+03
6.106106e-02	2.692691e+03
6.206206e-02	2.701263e+03
6.306306e-02	2.709836e+03
6.406406e-02	2.718408e+03
6.506507e-02	2.726981e+03
6.606607e-02	2.735553e+03
6.706707e-02	2.744126e+03
6.806807e-02	2.752698e+03
6.906907e-02	2.761271e+03
7.007007e-02	2.769843e+03
7.107107e-02	2.778416e+03
7.207207e-02	2.786988e+03
7.307307e-02	2.795560e+03
7.407407e-02	2.804133e+03
7.507508e-02	2.812705e+03
7.607608e-02	2.821278e+03
7.707708e-02	2.829850e+03
7.807808e-02	2.838423e+03
7.907908e-02	2.846995e+03
8.008008e-02	2.855568e+03
8.108108e-02	2.864140e+03
8.208208e-02	2.872713e+03
8.308308e-02	2.881285e+03
8.408408e-02	2.889858e+03
8.508509e-02	2.898430e+03
8.608609e-02	2.907003e+03
8.708709e-02	2.915575e+03
8.808809e-02	2.924148e+03
8.908909e-02	2.932720e+03
9.009009e-02	2.941293e+03
9.109109e-02	2.948121e+03
9.209209e-02	2.953779e+03
9.309309e-02	2.959438e+03
9.409409e-02	2.965096e+03
9.509510e-02	2.970754e+03
9.609610e-02	2.976412e+03
9.709710e-02	2.982070e+03
9.809810e-02	2.987728e+03
9.909910e-02	2.993386e+03
1.001001e-01	2.999044e+03
1.011011e-01	3.004702e+03
1.021021e-01	3.010360e+03
1.031031e-01	3.016018e+03
1.041041e-01	3.021676e+03
1.051051e-01	3.027334e+03
1.061061e-01	3.032992e+03
1.071071e-01	3.038650e+03
1.081081e-01	3.044308e+03
1.091091e-01	3.049966e+03
1.101101e-01	3.055624e+03
1.111111e-01	3.061282e+03
1.121121e-01	3.066940e+03
1.131131e-01	3.072598e+03
1.141141e-01	3.078256e+03
1.151151e-01	3.083914e+03
1.161161e-01	3.089572e+03
1.171171e-01	3.095230e+03
1.181181e-01	3.100888e+03
1.191191e-01	3.106546e+03
1.201201e-01	3.112204e+03
1.211211e-01	3.117862e+03
1.221221e-01	3.123520e+03
1.231231e-01	3.129178e+03
1.241241e-01	3.134836e+03
1.251251e-01	3.140494e+03
1.261261e-01	3.146152e+03
1.271271e-01	3.151810e+03
1.281281e-01	3.157468e+03
1.291291e-01	3.163126e+03
1.301301e-01	3.168784e+03
1.311311e-01	3.174442e+03
1.321321e-01	3.180100e+03
1.331331e-01	3.185758e+03
1.341341e-01	3.191416e+03
1.351351e-01	3.197074e+03
1.361361e-01	3.202732e+03
1.371371e-01	3.208390e+03
1.381381e-01	3.214048e+03
1.391391e-01	3.219706e+03
1.401401e-01	3.225364e+03
1.411411e-01	3.231022e+03
1.421421e-01	3.236680e+03
1.431431e-01	3.242338e+03
1.441441e-01	3.247996e+03
1.451451e-01	3.253654e+03
1.461461e-01	3.259312e+03
1.471471e-01	3.264970e+03
1.481481e-01	3.270628e+03
1.491491e-01	3.276286e+03
1.501502e-01	3.281944e+03
1.511512e-01	3.287602e+03
1.521522e-01	3.293260e+03
1.531532e-01	3.298918e+03
1.541542e-01	3.304576e+03
1.551552e-01	3.310234e+03
1.561562e-01	3.315892e+03
1.571572e-01	3.321550e+03
1.581582e-01	3.327208e+03
1.591592e-01	3.332866e+03
1.601602e-01	3.338524e+03
1.611612e-01	3.344182e+03
1.621622e-01	3.349840e+03
1.631632e-01	3.355498e+03
1.641642e-01	3.361156e+03
1.651652e-01	3.366815e+03
1.661662e-01	3.372473e+03
1.671672e-01	3.377904e+03
1.681682e-01	3.382317e+03
1.691692e-01	3.386729e+03
1.701702e-01	3.391141e+03
1.711712e-01	3.395554e+03
1.721722e-01	3.399966e+03
1.731732e-01	3.404379e+03
1.741742e-01	3.408791e+03
1.751752e-01	3.413203e+03
1.761762e-01	3.417616e+03
1.771772e-01	3.422028e+03
1.781782e-01	3.426441e+03
1.791792e-01	3.430853e+03
1.801802e-01	3.435265e+03
1.811812e-01	3.439678e+03
1.821822e-01	3.444090e+03
1.831832e-01	3.448503e+03
1.841842e-01	3.452915e+03
1.851852e-01	3.457327e+03
1.861862e-01	3.461740e+03
1.871872e-01	3.466152e+03
1.881882e-01	3.470565e+03
1.891892e-01	3.474977e+03
1.901902e-01	3.479389e+03
1.911912e-01	3.483802e+03
1.921922e-01	3.488214e+03
1.931932e-01	3.492627e+03
1.941942e-01	3.497039e+03
1.951952e-01	3.501452e+03
1.961962e-01	3.505864e+03
1.971972e-01	3.510276e+03
1.981982e-01	3.514689e+03
1.991992e-01	3.519101e+03
2.002002e-01	3.523514e+03
2.012012e-01	3.527926e+03
2.022022e-01	3.532338e+03
2.032032e-01	3.536751e+03
2.042042e-01	3.541163e+03
2.052052e-01	3.545576e+03
2.062062e-01	3.549988e+03
2.072072e-01	3.554400e+03
2.082082e-01	3.558813e+03
2.092092e-01	3.563225e+03
2.102102e-01	3.567638e+03
2.112112e-01	3.572050e+03
2.122122e-01	3.576462e+03
2.132132e-01	3.580875e+03
2.142142e-01	3.585287e+03
2.152152e-01	3.589700e+03
2.162162e-01	3.594112e+03
2.172172e-01	3.598524e+03
2.182182e-01	3.602937e+03
2.192192e-01	3.607349e+03
2.202202e-01	3.611762e+03
2.212212e-01	3.616174e+03
2.222222e-01	3.620586e+03
2.232232e-01	3.624999e+03
2.242242e-01	3.629411e+03
2.252252e-01	3.633824e+03
2.262262e-01	3.638236e+03
2.272272e-01	3.642649e+03
2.282282e-01	3.647061e+03
2.292292e-01	3.651473e+03
2.302302e-01	3.655886e+03
2.312312e-01	3.660298e+03
2.322322e-01	3.664711e+03
2.332332e-01	3.669123e+03
2.342342e-01	3.673535e+03
2.352352e-01	3.677948e+03
2.362362e-01	3.682360e+03
2.372372e-01	3.686773e+03
2.382382e-01	3.691185e+03
2.392392e-01	3.695597e+03
2.402402e-01	3.700010e+03
2.412412e-01	3.704422e+03
2.422422e-01	3.708835e+03
2.432432e-01	3.713247e+03
2.442442e-01	3.717659e+03
2.452452e-01	3.722072e+03
2.462462e-01	3.726484e+03
2.472472e-01	3.730897e+03
2.482482e-01	3.735309e+03
2.492492e-01	3.739721e+03
2.502503e-01	3.744134e+03
2.512513e-01	3.748546e+03
2.522523e-01	3.752959e+03
2.532533e-01	3.757371e+03
2.542543e-01	3.761783e+03
2.552553e-01	3.766196e+03
2.562563e-01	3.770608e+03
2.572573e-01	3.775021e+03
2.582583e-01	3.779433e+03
2.592593e-01	3.783846e+03
2.602603e-01	3.788258e+03
2.612613e-01	3.792670e+03
2.622623e-01	3.797083e+03
2.632633e-01	3.801495e+03
2.642643e-01	3.805908e+03
2.652653e-01	3.810200e+03
2.662663e-01	3.813994e+03
2.672673e-01	3.817787e+03
2.682683e-01	3.821581e+03
2.692693e-01	3.825374e+03
2.702703e-01	3.829168e+03
2.712713e-01	3.832962e+03
