# y_val	CDF(y)
3.505442e+02	1.016653e-20
7.829096e+02	2.033306e-20
1.215275e+03	3.151624e-04
1.647640e+03	3.293955e-03
2.080006e+03	1.362315e-02
2.512371e+03	4.000529e-02
2.944737e+03	9.049226e-02
3.377102e+03	1.669852e-01
3.809468e+03	2.650719e-01
4.241833e+03	3.791607e-01
4.674198e+03	5.020638e-01
5.106564e+03	6.245908e-01
5.538929e+03	7.340131e-01
5.971295e+03	8.237226e-01
6.403660e+03	8.910352e-01
6.836025e+03	9.374250e-01
7.268391e+03	9.668165e-01
7.700756e+03	9.840589e-01
8.133122e+03	9.931783e-01
8.565487e+03	9.976007e-01
8.997852e+03	9.995425e-01
9.430218e+03	1.000000e+00
9.862583e+03	1.000000e+00
1.029495e+04	1.000000e+00
1.072731e+04	1.000000e+00
1.115968e+04	1.000000e+00
1.159204e+04	1.000000e+00
1.202441e+04	1.000000e+00
1.245678e+04	1.000000e+00
