# # p(y | x = 1.300000e-02)
# # y_val	p(y|x)
0.000000e+00	2.499088e-05
9.866476e+00	2.531793e-05
1.973295e+01	2.564875e-05
2.959943e+01	2.598337e-05
3.946590e+01	2.632184e-05
4.933238e+01	2.666419e-05
5.919885e+01	2.701045e-05
6.906533e+01	2.736067e-05
7.893180e+01	2.771488e-05
8.879828e+01	2.807312e-05
9.866476e+01	2.843542e-05
1.085312e+02	2.880183e-05
1.183977e+02	2.917238e-05
1.282642e+02	2.954711e-05
1.381307e+02	2.992607e-05
1.479971e+02	3.030928e-05
1.578636e+02	3.069679e-05
1.677301e+02	3.108863e-05
1.775966e+02	3.148486e-05
1.874630e+02	3.188550e-05
1.973295e+02	3.229059e-05
2.071960e+02	3.270019e-05
2.170625e+02	3.311432e-05
2.269289e+02	3.353304e-05
2.367954e+02	3.395637e-05
2.466619e+02	3.438437e-05
2.565284e+02	3.481707e-05
2.663948e+02	3.525451e-05
2.762613e+02	3.569674e-05
2.861278e+02	3.614381e-05
2.959943e+02	3.659574e-05
3.058607e+02	3.705259e-05
3.157272e+02	3.751440e-05
3.255937e+02	3.798122e-05
3.354602e+02	3.845308e-05
3.453266e+02	3.893002e-05
3.551931e+02	3.941210e-05
3.650596e+02	3.989936e-05
3.749261e+02	4.039185e-05
3.847925e+02	4.088960e-05
3.946590e+02	4.139266e-05
4.045255e+02	4.190108e-05
4.143920e+02	4.241490e-05
4.242585e+02	4.293417e-05
4.341249e+02	4.345894e-05
4.439914e+02	4.398925e-05
4.538579e+02	4.452514e-05
4.637244e+02	4.506667e-05
4.735908e+02	4.561388e-05
4.834573e+02	4.616682e-05
4.933238e+02	4.672553e-05
5.031903e+02	4.729007e-05
5.130567e+02	4.786048e-05
5.229232e+02	4.843681e-05
5.327897e+02	4.901910e-05
5.426562e+02	4.960741e-05
5.525226e+02	5.020179e-05
5.623891e+02	5.080228e-05
5.722556e+02	5.140893e-05
5.821221e+02	5.202179e-05
5.919885e+02	5.264092e-05
6.018550e+02	5.326635e-05
6.117215e+02	5.389815e-05
6.215880e+02	5.453636e-05
6.314544e+02	5.518103e-05
6.413209e+02	5.583221e-05
6.511874e+02	5.648996e-05
6.610539e+02	5.715432e-05
6.709203e+02	5.782535e-05
6.807868e+02	5.850310e-05
6.906533e+02	5.918761e-05
7.005198e+02	5.987895e-05
7.103862e+02	6.057715e-05
7.202527e+02	6.128229e-05
7.301192e+02	6.199440e-05
7.399857e+02	6.271354e-05
7.498521e+02	6.343977e-05
7.597186e+02	6.417313e-05
7.695851e+02	6.491368e-05
7.794516e+02	6.566147e-05
7.893180e+02	6.641656e-05
7.991845e+02	6.717900e-05
8.090510e+02	6.794885e-05
8.189175e+02	6.872615e-05
8.287839e+02	6.951096e-05
8.386504e+02	7.030335e-05
8.485169e+02	7.110335e-05
8.583834e+02	7.191103e-05
8.682499e+02	7.272644e-05
8.781163e+02	7.354964e-05
8.879828e+02	7.438068e-05
8.978493e+02	7.521962e-05
9.077158e+02	7.606651e-05
9.175822e+02	7.692141e-05
9.274487e+02	7.778438e-05
9.373152e+02	7.865546e-05
9.471817e+02	7.953472e-05
9.570481e+02	8.042222e-05
9.669146e+02	8.131800e-05
9.767811e+02	8.222213e-05
9.866476e+02	8.313467e-05
9.965140e+02	8.405566e-05
1.006381e+03	8.498517e-05
1.016247e+03	8.592325e-05
1.026113e+03	8.686997e-05
1.035980e+03	8.782537e-05
1.045846e+03	8.878952e-05
1.055713e+03	8.976247e-05
1.065579e+03	9.074428e-05
1.075446e+03	9.173501e-05
1.085312e+03	9.273472e-05
1.095179e+03	9.374346e-05
1.105045e+03	9.476130e-05
1.114912e+03	9.578828e-05
1.124778e+03	9.682447e-05
1.134645e+03	9.786993e-05
1.144511e+03	9.892472e-05
1.154378e+03	9.998889e-05
1.164244e+03	1.010625e-04
1.174111e+03	1.021456e-04
1.183977e+03	1.032383e-04
1.193844e+03	1.043406e-04
1.203710e+03	1.054525e-04
1.213576e+03	1.065742e-04
1.223443e+03	1.077057e-04
1.233309e+03	1.088471e-04
1.243176e+03	1.099983e-04
1.253042e+03	1.111596e-04
1.262909e+03	1.123308e-04
1.272775e+03	1.135122e-04
1.282642e+03	1.147037e-04
1.292508e+03	1.159054e-04
1.302375e+03	1.171174e-04
1.312241e+03	1.183397e-04
1.322108e+03	1.195723e-04
1.331974e+03	1.208155e-04
1.341841e+03	1.220691e-04
1.351707e+03	1.233333e-04
1.361574e+03	1.246081e-04
1.371440e+03	1.258936e-04
1.381307e+03	1.271898e-04
1.391173e+03	1.284968e-04
1.401040e+03	1.298147e-04
1.410906e+03	1.311435e-04
1.420772e+03	1.324832e-04
1.430639e+03	1.338340e-04
1.440505e+03	1.351959e-04
1.450372e+03	1.365689e-04
1.460238e+03	1.379531e-04
1.470105e+03	1.393486e-04
1.479971e+03	1.407555e-04
1.489838e+03	1.421737e-04
1.499704e+03	1.436033e-04
1.509571e+03	1.450444e-04
1.519437e+03	1.464971e-04
1.529304e+03	1.479615e-04
1.539170e+03	1.494374e-04
1.549037e+03	1.509251e-04
1.558903e+03	1.524246e-04
1.568770e+03	1.539360e-04
1.578636e+03	1.554592e-04
1.588503e+03	1.569944e-04
1.598369e+03	1.585416e-04
1.608236e+03	1.601009e-04
1.618102e+03	1.616723e-04
1.627968e+03	1.632559e-04
1.637835e+03	1.648518e-04
1.647701e+03	1.664599e-04
1.657568e+03	1.680804e-04
1.667434e+03	1.697133e-04
1.677301e+03	1.713586e-04
1.687167e+03	1.730165e-04
1.697034e+03	1.746869e-04
1.706900e+03	1.763700e-04
1.716767e+03	1.780658e-04
1.726633e+03	1.797742e-04
1.736500e+03	1.814955e-04
1.746366e+03	1.832297e-04
1.756233e+03	1.849767e-04
1.766099e+03	1.867367e-04
1.775966e+03	1.885096e-04
1.785832e+03	1.902957e-04
1.795699e+03	1.920948e-04
1.805565e+03	1.939072e-04
1.815432e+03	1.957327e-04
1.825298e+03	1.975715e-04
1.835164e+03	1.994236e-04
1.845031e+03	2.012891e-04
1.854897e+03	2.031680e-04
1.864764e+03	2.050603e-04
1.874630e+03	2.069662e-04
1.884497e+03	2.088857e-04
1.894363e+03	2.108187e-04
1.904230e+03	2.127655e-04
1.914096e+03	2.147259e-04
1.923963e+03	2.167001e-04
1.933829e+03	2.186882e-04
1.943696e+03	2.206901e-04
1.953562e+03	2.227059e-04
1.963429e+03	2.247356e-04
1.973295e+03	2.267794e-04
1.983162e+03	2.288371e-04
1.993028e+03	2.309090e-04
2.002895e+03	2.329950e-04
2.012761e+03	2.350952e-04
2.022627e+03	2.372097e-04
2.032494e+03	2.393384e-04
2.042360e+03	2.414814e-04
2.052227e+03	2.436387e-04
2.062093e+03	2.458105e-04
2.071960e+03	2.479966e-04
2.081826e+03	2.501973e-04
2.091693e+03	2.524125e-04
2.101559e+03	2.546422e-04
2.111426e+03	2.568866e-04
2.121292e+03	2.591456e-04
2.131159e+03	2.614192e-04
2.141025e+03	2.637076e-04
2.150892e+03	2.660107e-04
2.160758e+03	2.683286e-04
2.170625e+03	2.706614e-04
2.180491e+03	2.730090e-04
2.190358e+03	2.753715e-04
2.200224e+03	2.777489e-04
2.210091e+03	2.801413e-04
2.219957e+03	2.825487e-04
2.229823e+03	2.849712e-04
2.239690e+03	2.874087e-04
2.249556e+03	2.898613e-04
2.259423e+03	2.923290e-04
2.269289e+03	2.948119e-04
2.279156e+03	2.973099e-04
2.289022e+03	2.998232e-04
2.298889e+03	3.023518e-04
2.308755e+03	3.048956e-04
2.318622e+03	3.074547e-04
2.328488e+03	3.100291e-04
2.338355e+03	3.126189e-04
2.348221e+03	3.152241e-04
2.358088e+03	3.178447e-04
2.367954e+03	3.204807e-04
2.377821e+03	3.231321e-04
2.387687e+03	3.257991e-04
2.397554e+03	3.284815e-04
2.407420e+03	3.311794e-04
2.417287e+03	3.338929e-04
2.427153e+03	3.366219e-04
2.437019e+03	3.393665e-04
2.446886e+03	3.421266e-04
2.456752e+03	3.449024e-04
2.466619e+03	3.476938e-04
2.476485e+03	3.505009e-04
2.486352e+03	3.533236e-04
2.496218e+03	3.561619e-04
2.506085e+03	3.590159e-04
2.515951e+03	3.618856e-04
2.525818e+03	3.647711e-04
2.535684e+03	3.676722e-04
2.545551e+03	3.705890e-04
2.555417e+03	3.735216e-04
2.565284e+03	3.764699e-04
2.575150e+03	3.794340e-04
2.585017e+03	3.824138e-04
2.594883e+03	3.854093e-04
2.604750e+03	3.884207e-04
2.614616e+03	3.914477e-04
2.624483e+03	3.944906e-04
2.634349e+03	3.975492e-04
2.644215e+03	4.006235e-04
2.654082e+03	4.037137e-04
2.663948e+03	4.068196e-04
2.673815e+03	4.099412e-04
2.683681e+03	4.130786e-04
2.693548e+03	4.162318e-04
2.703414e+03	4.194007e-04
2.713281e+03	4.225853e-04
2.723147e+03	4.257857e-04
2.733014e+03	4.290018e-04
2.742880e+03	4.322336e-04
2.752747e+03	4.354811e-04
2.762613e+03	4.387444e-04
2.772480e+03	4.420233e-04
2.782346e+03	4.453178e-04
2.792213e+03	4.486280e-04
2.802079e+03	4.519539e-04
2.811946e+03	4.552954e-04
2.821812e+03	4.586525e-04
2.831678e+03	4.620251e-04
2.841545e+03	4.654134e-04
2.851411e+03	4.688171e-04
2.861278e+03	4.722364e-04
2.871144e+03	4.756712e-04
2.881011e+03	4.791215e-04
2.890877e+03	4.825872e-04
2.900744e+03	4.860684e-04
2.910610e+03	4.895649e-04
2.920477e+03	4.930768e-04
2.930343e+03	4.966041e-04
2.940210e+03	5.001466e-04
2.950076e+03	5.037045e-04
2.959943e+03	5.072775e-04
2.969809e+03	5.108658e-04
2.979676e+03	5.144693e-04
2.989542e+03	5.180879e-04
2.999409e+03	5.217216e-04
3.009275e+03	5.253703e-04
3.019142e+03	5.290341e-04
3.029008e+03	5.327128e-04
3.038874e+03	5.364065e-04
3.048741e+03	5.401151e-04
3.058607e+03	5.438385e-04
3.068474e+03	5.475768e-04
3.078340e+03	5.513298e-04
3.088207e+03	5.550975e-04
3.098073e+03	5.588798e-04
3.107940e+03	5.626768e-04
3.117806e+03	5.664883e-04
3.127673e+03	5.703143e-04
3.137539e+03	5.741548e-04
3.147406e+03	5.780096e-04
3.157272e+03	5.818788e-04
3.167139e+03	5.857623e-04
3.177005e+03	5.896600e-04
3.186872e+03	5.935718e-04
3.196738e+03	5.974977e-04
3.206605e+03	6.014377e-04
3.216471e+03	6.053916e-04
3.226338e+03	6.093595e-04
3.236204e+03	6.133412e-04
3.246070e+03	6.173366e-04
3.255937e+03	6.213457e-04
3.265803e+03	6.253685e-04
3.275670e+03	6.294048e-04
3.285536e+03	6.334546e-04
3.295403e+03	6.375178e-04
3.305269e+03	6.415943e-04
3.315136e+03	6.456841e-04
3.325002e+03	6.497871e-04
3.334869e+03	6.539032e-04
3.344735e+03	6.580322e-04
3.354602e+03	6.621743e-04
3.364468e+03	6.663291e-04
3.374335e+03	6.704967e-04
3.384201e+03	6.746770e-04
3.394068e+03	6.788699e-04
3.403934e+03	6.830753e-04
3.413801e+03	6.872932e-04
3.423667e+03	6.915233e-04
3.433534e+03	6.957656e-04
3.443400e+03	7.000201e-04
3.453266e+03	7.042867e-04
3.463133e+03	7.085652e-04
3.472999e+03	7.128555e-04
3.482866e+03	7.171576e-04
3.492732e+03	7.214713e-04
3.502599e+03	7.257965e-04
3.512465e+03	7.301332e-04
3.522332e+03	7.344813e-04
3.532198e+03	7.388406e-04
3.542065e+03	7.432110e-04
3.551931e+03	7.475924e-04
3.561798e+03	7.519847e-04
3.571664e+03	7.563878e-04
3.581531e+03	7.608016e-04
3.591397e+03	7.652260e-04
3.601264e+03	7.696608e-04
3.611130e+03	7.741060e-04
3.620997e+03	7.785614e-04
3.630863e+03	7.830269e-04
3.640729e+03	7.875024e-04
3.650596e+03	7.919878e-04
3.660462e+03	7.964828e-04
3.670329e+03	8.009876e-04
3.680195e+03	8.055018e-04
3.690062e+03	8.100253e-04
3.699928e+03	8.145581e-04
3.709795e+03	8.191001e-04
3.719661e+03	8.236510e-04
3.729528e+03	8.282107e-04
3.739394e+03	8.327792e-04
3.749261e+03	8.373563e-04
3.759127e+03	8.419418e-04
3.768994e+03	8.465356e-04
3.778860e+03	8.511376e-04
3.788727e+03	8.557476e-04
3.798593e+03	8.603655e-04
3.808460e+03	8.649912e-04
3.818326e+03	8.696245e-04
3.828193e+03	8.742653e-04
3.838059e+03	8.789134e-04
3.847925e+03	8.835686e-04
3.857792e+03	8.882309e-04
3.867658e+03	8.929001e-04
3.877525e+03	8.975760e-04
3.887391e+03	9.022585e-04
3.897258e+03	9.069474e-04
3.907124e+03	9.116426e-04
3.916991e+03	9.163440e-04
3.926857e+03	9.210513e-04
3.936724e+03	9.257644e-04
3.946590e+03	9.304831e-04
3.956457e+03	9.352074e-04
3.966323e+03	9.399370e-04
3.976190e+03	9.446717e-04
3.986056e+03	9.494115e-04
3.995923e+03	9.541561e-04
4.005789e+03	9.589054e-04
4.015656e+03	9.636593e-04
4.025522e+03	9.684174e-04
4.035389e+03	9.731798e-04
4.045255e+03	9.779461e-04
4.055121e+03	9.827163e-04
4.064988e+03	9.874902e-04
4.074854e+03	9.922676e-04
4.084721e+03	9.970483e-04
4.094587e+03	1.001832e-03
4.104454e+03	1.006619e-03
4.114320e+03	1.011409e-03
4.124187e+03	1.016201e-03
4.134053e+03	1.020996e-03
4.143920e+03	1.025793e-03
4.153786e+03	1.030592e-03
4.163653e+03	1.035393e-03
4.173519e+03	1.040195e-03
4.183386e+03	1.045000e-03
4.193252e+03	1.049805e-03
4.203119e+03	1.054612e-03
4.212985e+03	1.059420e-03
4.222852e+03	1.064228e-03
4.232718e+03	1.069037e-03
4.242585e+03	1.073847e-03
4.252451e+03	1.078657e-03
4.262317e+03	1.083467e-03
4.272184e+03	1.088276e-03
4.282050e+03	1.093086e-03
4.291917e+03	1.097895e-03
4.301783e+03	1.102703e-03
4.311650e+03	1.107510e-03
