# # p(y | x = 1.300000e+00)
# # y_val	p(y|x)
0.000000e+00	6.065135e-06
9.866476e+00	6.147427e-06
1.973295e+01	6.230733e-06
2.959943e+01	6.315065e-06
3.946590e+01	6.400435e-06
4.933238e+01	6.486853e-06
5.919885e+01	6.574331e-06
6.906533e+01	6.662880e-06
7.893180e+01	6.752511e-06
8.879828e+01	6.843237e-06
9.866476e+01	6.935069e-06
1.085312e+02	7.028018e-06
1.183977e+02	7.122098e-06
1.282642e+02	7.217319e-06
1.381307e+02	7.313694e-06
1.479971e+02	7.411236e-06
1.578636e+02	7.509956e-06
1.677301e+02	7.609867e-06
1.775966e+02	7.710981e-06
1.874630e+02	7.813312e-06
1.973295e+02	7.916872e-06
2.071960e+02	8.021674e-06
2.170625e+02	8.127731e-06
2.269289e+02	8.235056e-06
2.367954e+02	8.343662e-06
2.466619e+02	8.453563e-06
2.565284e+02	8.564772e-06
2.663948e+02	8.677303e-06
2.762613e+02	8.791168e-06
2.861278e+02	8.906383e-06
2.959943e+02	9.022961e-06
3.058607e+02	9.140917e-06
3.157272e+02	9.260263e-06
3.255937e+02	9.381014e-06
3.354602e+02	9.503186e-06
3.453266e+02	9.626791e-06
3.551931e+02	9.751846e-06
3.650596e+02	9.878364e-06
3.749261e+02	1.000636e-05
3.847925e+02	1.013585e-05
3.946590e+02	1.026685e-05
4.045255e+02	1.039937e-05
4.143920e+02	1.053343e-05
4.242585e+02	1.066905e-05
4.341249e+02	1.080623e-05
4.439914e+02	1.094500e-05
4.538579e+02	1.108538e-05
4.637244e+02	1.122737e-05
4.735908e+02	1.137099e-05
4.834573e+02	1.151626e-05
4.933238e+02	1.166320e-05
5.031903e+02	1.181183e-05
5.130567e+02	1.196215e-05
5.229232e+02	1.211418e-05
5.327897e+02	1.226795e-05
5.426562e+02	1.242347e-05
5.525226e+02	1.258075e-05
5.623891e+02	1.273982e-05
5.722556e+02	1.290069e-05
5.821221e+02	1.306338e-05
5.919885e+02	1.322791e-05
6.018550e+02	1.339429e-05
6.117215e+02	1.356254e-05
6.215880e+02	1.373268e-05
6.314544e+02	1.390472e-05
6.413209e+02	1.407870e-05
6.511874e+02	1.425462e-05
6.610539e+02	1.443250e-05
6.709203e+02	1.461236e-05
6.807868e+02	1.479423e-05
6.906533e+02	1.497811e-05
7.005198e+02	1.516403e-05
7.103862e+02	1.535201e-05
7.202527e+02	1.554207e-05
