# x_val	y_val	p(x,y)
0.000000e+00	0.000000e+00	6.675083e-08
0.000000e+00	9.866476e+00	6.770278e-08
0.000000e+00	1.973295e+01	6.866676e-08
0.000000e+00	2.959943e+01	6.964289e-08
0.000000e+00	3.946590e+01	7.063132e-08
0.000000e+00	4.933238e+01	7.163217e-08
0.000000e+00	5.919885e+01	7.264556e-08
0.000000e+00	6.906533e+01	7.367164e-08
0.000000e+00	7.893180e+01	7.471053e-08
0.000000e+00	8.879828e+01	7.576236e-08
0.000000e+00	9.866476e+01	7.682728e-08
0.000000e+00	1.085312e+02	7.790541e-08
0.000000e+00	1.183977e+02	7.899690e-08
0.000000e+00	1.282642e+02	8.010188e-08
0.000000e+00	1.381307e+02	8.122048e-08
0.000000e+00	1.479971e+02	8.235286e-08
0.000000e+00	1.578636e+02	8.349915e-08
0.000000e+00	1.677301e+02	8.465949e-08
0.000000e+00	1.775966e+02	8.583402e-08
0.000000e+00	1.874630e+02	8.702290e-08
0.000000e+00	1.973295e+02	8.822625e-08
0.000000e+00	2.071960e+02	8.944424e-08
0.000000e+00	2.170625e+02	9.067700e-08
0.000000e+00	2.269289e+02	9.192469e-08
0.000000e+00	2.367954e+02	9.318745e-08
0.000000e+00	2.466619e+02	9.446543e-08
0.000000e+00	2.565284e+02	9.575878e-08
0.000000e+00	2.663948e+02	9.706766e-08
0.000000e+00	2.762613e+02	9.839222e-08
0.000000e+00	2.861278e+02	9.973261e-08
0.000000e+00	2.959943e+02	1.010890e-07
0.000000e+00	3.058607e+02	1.024615e-07
0.000000e+00	3.157272e+02	1.038503e-07
0.000000e+00	3.255937e+02	1.052556e-07
0.000000e+00	3.354602e+02	1.066775e-07
0.000000e+00	3.453266e+02	1.081162e-07
0.000000e+00	3.551931e+02	1.095718e-07
0.000000e+00	3.650596e+02	1.110445e-07
0.000000e+00	3.749261e+02	1.125345e-07
0.000000e+00	3.847925e+02	1.140419e-07
0.000000e+00	3.946590e+02	1.155669e-07
0.000000e+00	4.045255e+02	1.171097e-07
0.000000e+00	4.143920e+02	1.186703e-07
0.000000e+00	4.242585e+02	1.202491e-07
0.000000e+00	4.341249e+02	1.218462e-07
0.000000e+00	4.439914e+02	1.234617e-07
0.000000e+00	4.538579e+02	1.250957e-07
0.000000e+00	4.637244e+02	1.267486e-07
0.000000e+00	4.735908e+02	1.284204e-07
0.000000e+00	4.834573e+02	1.301114e-07
0.000000e+00	4.933238e+02	1.318216e-07
0.000000e+00	5.031903e+02	1.335513e-07
0.000000e+00	5.130567e+02	1.353007e-07
0.000000e+00	5.229232e+02	1.370699e-07
0.000000e+00	5.327897e+02	1.388592e-07
0.000000e+00	5.426562e+02	1.406686e-07
0.000000e+00	5.525226e+02	1.424984e-07
0.000000e+00	5.623891e+02	1.443487e-07
0.000000e+00	5.722556e+02	1.462198e-07
0.000000e+00	5.821221e+02	1.481118e-07
0.000000e+00	5.919885e+02	1.500249e-07
0.000000e+00	6.018550e+02	1.519594e-07
0.000000e+00	6.117215e+02	1.539153e-07
0.000000e+00	6.215880e+02	1.558928e-07
0.000000e+00	6.314544e+02	1.578922e-07
0.000000e+00	6.413209e+02	1.599137e-07
0.000000e+00	6.511874e+02	1.619574e-07
0.000000e+00	6.610539e+02	1.640236e-07
0.000000e+00	6.709203e+02	1.661123e-07
0.000000e+00	6.807868e+02	1.682239e-07
0.000000e+00	6.906533e+02	1.703585e-07
0.000000e+00	7.005198e+02	1.725163e-07
0.000000e+00	7.103862e+02	1.746975e-07
0.000000e+00	7.202527e+02	1.769023e-07
0.000000e+00	7.301192e+02	1.791310e-07
0.000000e+00	7.399857e+02	1.813836e-07
0.000000e+00	7.498521e+02	1.836604e-07
0.000000e+00	7.597186e+02	1.859616e-07
0.000000e+00	7.695851e+02	1.882874e-07
0.000000e+00	7.794516e+02	1.906380e-07
0.000000e+00	7.893180e+02	1.930136e-07
0.000000e+00	7.991845e+02	1.954144e-07
0.000000e+00	8.090510e+02	1.978406e-07
0.000000e+00	8.189175e+02	2.002925e-07
0.000000e+00	8.287839e+02	2.027702e-07
0.000000e+00	8.386504e+02	2.052739e-07
0.000000e+00	8.485169e+02	2.078039e-07
0.000000e+00	8.583834e+02	2.103603e-07
0.000000e+00	8.682499e+02	2.129434e-07
0.000000e+00	8.781163e+02	2.155533e-07
0.000000e+00	8.879828e+02	2.181903e-07
0.000000e+00	8.978493e+02	2.208547e-07
0.000000e+00	9.077158e+02	2.235465e-07
0.000000e+00	9.175822e+02	2.262660e-07
0.000000e+00	9.274487e+02	2.290135e-07
0.000000e+00	9.373152e+02	2.317892e-07
0.000000e+00	9.471817e+02	2.345932e-07
