# y_val	p(y)
3.274649e+02	5.341773e-04
9.823948e+02	1.824266e-03
1.637325e+03	4.384285e-03
2.292254e+03	9.091092e-03
2.947184e+03	1.704328e-02
3.602114e+03	2.969219e-02
4.257044e+03	4.592917e-02
4.911974e+03	6.703421e-02
5.566904e+03	8.692979e-02
6.221834e+03	1.047491e-01
6.876763e+03	1.174988e-01
7.531693e+03	1.172267e-01
8.186623e+03	1.087202e-01
8.841553e+03	9.368260e-02
9.496483e+03	7.172086e-02
1.015141e+04	5.177488e-02
1.080634e+04	3.317946e-02
1.146127e+04	1.979480e-02
1.211620e+04	1.087504e-02
1.277113e+04	5.220827e-03
1.342606e+04	2.247576e-03
1.408099e+04	8.466206e-04
1.473592e+04	1.007882e-20
1.539085e+04	1.007882e-20
1.604578e+04	1.007882e-20
1.670071e+04	1.007882e-20
1.735564e+04	1.007882e-20
1.801057e+04	1.007882e-20
1.866550e+04	1.007882e-20
