# x_val	y_val	p(x,y)
0.000000e+00	0.000000e+00	1.694452e-06
0.000000e+00	5.044592e+00	1.715856e-06
0.000000e+00	1.008918e+01	1.737505e-06
0.000000e+00	1.513378e+01	1.759401e-06
0.000000e+00	2.017837e+01	1.781547e-06
0.000000e+00	2.522296e+01	1.803946e-06
0.000000e+00	3.026755e+01	1.826599e-06
0.000000e+00	3.531214e+01	1.849510e-06
0.000000e+00	4.035673e+01	1.872681e-06
0.000000e+00	4.540133e+01	1.896114e-06
0.000000e+00	5.044592e+01	1.919812e-06
0.000000e+00	5.549051e+01	1.943779e-06
0.000000e+00	6.053510e+01	1.968015e-06
0.000000e+00	6.557969e+01	1.992525e-06
0.000000e+00	7.062428e+01	2.017310e-06
0.000000e+00	7.566888e+01	2.042374e-06
0.000000e+00	8.071347e+01	2.067719e-06
0.000000e+00	8.575806e+01	2.093348e-06
0.000000e+00	9.080265e+01	2.119263e-06
0.000000e+00	9.584724e+01	2.145468e-06
0.000000e+00	1.008918e+02	2.171966e-06
0.000000e+00	1.059364e+02	2.198758e-06
0.000000e+00	1.109810e+02	2.225848e-06
0.000000e+00	1.160256e+02	2.253239e-06
0.000000e+00	1.210702e+02	2.280934e-06
0.000000e+00	1.261148e+02	2.308936e-06
0.000000e+00	1.311594e+02	2.337247e-06
0.000000e+00	1.362040e+02	2.365870e-06
0.000000e+00	1.412486e+02	2.394809e-06
0.000000e+00	1.462932e+02	2.424067e-06
0.000000e+00	1.513378e+02	2.453646e-06
0.000000e+00	1.563823e+02	2.483550e-06
0.000000e+00	1.614269e+02	2.513781e-06
0.000000e+00	1.664715e+02	2.544343e-06
0.000000e+00	1.715161e+02	2.575239e-06
0.000000e+00	1.765607e+02	2.606473e-06
0.000000e+00	1.816053e+02	2.638046e-06
0.000000e+00	1.866499e+02	2.669963e-06
0.000000e+00	1.916945e+02	2.702226e-06
0.000000e+00	1.967391e+02	2.734839e-06
0.000000e+00	2.017837e+02	2.767806e-06
0.000000e+00	2.068283e+02	2.801129e-06
0.000000e+00	2.118729e+02	2.834811e-06
0.000000e+00	2.169174e+02	2.868857e-06
0.000000e+00	2.219620e+02	2.903269e-06
0.000000e+00	2.270066e+02	2.938051e-06
0.000000e+00	2.320512e+02	2.973206e-06
0.000000e+00	2.370958e+02	3.008737e-06
0.000000e+00	2.421404e+02	3.044649e-06
0.000000e+00	2.471850e+02	3.080944e-06
0.000000e+00	2.522296e+02	3.117627e-06
0.000000e+00	2.572742e+02	3.154700e-06
0.000000e+00	2.623188e+02	3.192167e-06
0.000000e+00	2.673634e+02	3.230032e-06
0.000000e+00	2.724080e+02	3.268298e-06
0.000000e+00	2.774525e+02	3.306969e-06
0.000000e+00	2.824971e+02	3.346049e-06
0.000000e+00	2.875417e+02	3.385541e-06
0.000000e+00	2.925863e+02	3.425449e-06
0.000000e+00	2.976309e+02	3.465777e-06
0.000000e+00	3.026755e+02	3.506528e-06
0.000000e+00	3.077201e+02	3.547707e-06
0.000000e+00	3.127647e+02	3.589317e-06
0.000000e+00	3.178093e+02	3.631361e-06
0.000000e+00	3.228539e+02	3.673845e-06
0.000000e+00	3.278985e+02	3.716771e-06
0.000000e+00	3.329431e+02	3.760143e-06
0.000000e+00	3.379876e+02	3.803966e-06
0.000000e+00	3.430322e+02	3.848244e-06
0.000000e+00	3.480768e+02	3.892980e-06
0.000000e+00	3.531214e+02	3.938178e-06
0.000000e+00	3.581660e+02	3.983843e-06
0.000000e+00	3.632106e+02	4.029979e-06
0.000000e+00	3.682552e+02	4.076589e-06
0.000000e+00	3.732998e+02	4.123678e-06
0.000000e+00	3.783444e+02	4.171249e-06
0.000000e+00	3.833890e+02	4.219308e-06
0.000000e+00	3.884336e+02	4.267859e-06
0.000000e+00	3.934782e+02	4.316904e-06
0.000000e+00	3.985228e+02	4.366450e-06
0.000000e+00	4.035673e+02	4.416499e-06
0.000000e+00	4.086119e+02	4.467057e-06
0.000000e+00	4.136565e+02	4.518128e-06
0.000000e+00	4.187011e+02	4.569715e-06
0.000000e+00	4.237457e+02	4.621824e-06
0.000000e+00	4.287903e+02	4.674459e-06
0.000000e+00	4.338349e+02	4.727624e-06
0.000000e+00	4.388795e+02	4.781324e-06
0.000000e+00	4.439241e+02	4.835563e-06
0.000000e+00	4.489687e+02	4.890346e-06
0.000000e+00	4.540133e+02	4.945677e-06
0.000000e+00	4.590579e+02	5.001561e-06
0.000000e+00	4.641024e+02	5.058002e-06
0.000000e+00	4.691470e+02	5.115006e-06
0.000000e+00	4.741916e+02	5.172576e-06
0.000000e+00	4.792362e+02	5.230718e-06
0.000000e+00	4.842808e+02	5.289436e-06
0.000000e+00	4.893254e+02	5.348735e-06
0.000000e+00	4.943700e+02	5.408619e-06
0.000000e+00	4.994146e+02	5.469094e-06
0.000000e+00	5.044592e+02	5.530164e-06
0.000000e+00	5.095038e+02	5.591835e-06
0.000000e+00	5.145484e+02	5.654110e-06
0.000000e+00	5.195930e+02	5.716996e-06
0.000000e+00	5.246375e+02	5.780496e-06
0.000000e+00	5.296821e+02	5.844616e-06
0.000000e+00	5.347267e+02	5.909361e-06
0.000000e+00	5.397713e+02	5.974736e-06
0.000000e+00	5.448159e+02	6.040746e-06
0.000000e+00	5.498605e+02	6.107395e-06
0.000000e+00	5.549051e+02	6.174690e-06
0.000000e+00	5.599497e+02	6.242635e-06
0.000000e+00	5.649943e+02	6.311235e-06
0.000000e+00	5.700389e+02	6.380495e-06
0.000000e+00	5.750835e+02	6.450422e-06
0.000000e+00	5.801281e+02	6.521019e-06
0.000000e+00	5.851726e+02	6.592293e-06
0.000000e+00	5.902172e+02	6.664248e-06
0.000000e+00	5.952618e+02	6.736890e-06
