# y_val	p(y)
1.966521e+02	1.009510e-20
5.899563e+02	1.211411e-04
9.832605e+02	1.039795e-03
1.376565e+03	2.695391e-03
1.769869e+03	6.097438e-03
2.163173e+03	1.247754e-02
2.556477e+03	2.352157e-02
2.949782e+03	4.084476e-02
3.343086e+03	6.468937e-02
3.736390e+03	9.243070e-02
4.129694e+03	1.180319e-01
4.522998e+03	1.338711e-01
4.916303e+03	1.343960e-01
5.309607e+03	1.193644e-01
5.702911e+03	9.408629e-02
6.096215e+03	6.619354e-02
6.489519e+03	4.197541e-02
6.882824e+03	2.433928e-02
7.276128e+03	1.303277e-02
7.669432e+03	6.491147e-03
8.062736e+03	2.937673e-03
8.456040e+03	1.140746e-03
8.849345e+03	2.220921e-04
9.242649e+03	1.009510e-20
9.635953e+03	1.009510e-20
1.002926e+04	1.009510e-20
1.042256e+04	1.009510e-20
1.081587e+04	1.009510e-20
1.120917e+04	1.009510e-20
