# # p(y | x = 5.000000e+01)
# # y_val	p(y|x)
0.000000e+00	3.281249e-07
4.978917e+00	3.314599e-07
9.957833e+00	3.348268e-07
1.493675e+01	3.382256e-07
1.991567e+01	3.416568e-07
2.489458e+01	3.451207e-07
2.987350e+01	3.486174e-07
3.485242e+01	3.521473e-07
3.983133e+01	3.557106e-07
4.481025e+01	3.593078e-07
4.978917e+01	3.629390e-07
5.476808e+01	3.666045e-07
5.974700e+01	3.703047e-07
6.472592e+01	3.740399e-07
6.970483e+01	3.778104e-07
7.468375e+01	3.816164e-07
7.966267e+01	3.854583e-07
8.464158e+01	3.893364e-07
8.962050e+01	3.932511e-07
9.459942e+01	3.972025e-07
9.957833e+01	4.011911e-07
1.045573e+02	4.052172e-07
1.095362e+02	4.092810e-07
1.145151e+02	4.133830e-07
1.194940e+02	4.175235e-07
1.244729e+02	4.217027e-07
1.294518e+02	4.259210e-07
1.344308e+02	4.301788e-07
1.394097e+02	4.344764e-07
1.443886e+02	4.388141e-07
1.493675e+02	4.431924e-07
1.543464e+02	4.476114e-07
1.593253e+02	4.520716e-07
1.643043e+02	4.565734e-07
1.692832e+02	4.611170e-07
1.742621e+02	4.657029e-07
1.792410e+02	4.703314e-07
1.842199e+02	4.750029e-07
1.891988e+02	4.797177e-07
1.941778e+02	4.844763e-07
1.991567e+02	4.892789e-07
2.041356e+02	4.941260e-07
2.091145e+02	4.990179e-07
2.140934e+02	5.039550e-07
2.190723e+02	5.089377e-07
2.240513e+02	5.139665e-07
2.290302e+02	5.190416e-07
2.340091e+02	5.241635e-07
2.389880e+02	5.293325e-07
2.439669e+02	5.345491e-07
2.489458e+02	5.398137e-07
2.539248e+02	5.451267e-07
2.589037e+02	5.504884e-07
2.638826e+02	5.558994e-07
2.688615e+02	5.613599e-07
2.738404e+02	5.668705e-07
2.788193e+02	5.724316e-07
2.837983e+02	5.780434e-07
2.887772e+02	5.837066e-07
2.937561e+02	5.894216e-07
