# # p(y | x = 5.200000e-03)
# # y_val	p(y|x)
0.000000e+00	4.790675e-06
4.978917e+00	4.853239e-06
9.957833e+00	4.916547e-06
1.493675e+01	4.980609e-06
1.991567e+01	5.045431e-06
2.489458e+01	5.111022e-06
2.987350e+01	5.177391e-06
3.485242e+01	5.244544e-06
3.983133e+01	5.312491e-06
4.481025e+01	5.381239e-06
4.978917e+01	5.450798e-06
5.476808e+01	5.521174e-06
5.974700e+01	5.592378e-06
6.472592e+01	5.664417e-06
6.970483e+01	5.737301e-06
7.468375e+01	5.811037e-06
7.966267e+01	5.885634e-06
8.464158e+01	5.961102e-06
8.962050e+01	6.037450e-06
9.459942e+01	6.114686e-06
9.957833e+01	6.192819e-06
1.045573e+02	6.271860e-06
1.095362e+02	6.351816e-06
1.145151e+02	6.432697e-06
1.194940e+02	6.514513e-06
1.244729e+02	6.597274e-06
1.294518e+02	6.680987e-06
1.344308e+02	6.765665e-06
1.394097e+02	6.851315e-06
1.443886e+02	6.937948e-06
1.493675e+02	7.025574e-06
1.543464e+02	7.114203e-06
1.593253e+02	7.203844e-06
1.643043e+02	7.294508e-06
1.692832e+02	7.386206e-06
1.742621e+02	7.478946e-06
1.792410e+02	7.572741e-06
1.842199e+02	7.667599e-06
1.891988e+02	7.763532e-06
1.941778e+02	7.860551e-06
1.991567e+02	7.958666e-06
2.041356e+02	8.057887e-06
2.091145e+02	8.158226e-06
2.140934e+02	8.259694e-06
2.190723e+02	8.362302e-06
2.240513e+02	8.466060e-06
2.290302e+02	8.570981e-06
2.340091e+02	8.677075e-06
2.389880e+02	8.784354e-06
2.439669e+02	8.892829e-06
2.489458e+02	9.002513e-06
2.539248e+02	9.113415e-06
2.589037e+02	9.225549e-06
2.638826e+02	9.338927e-06
2.688615e+02	9.453559e-06
2.738404e+02	9.569459e-06
2.788193e+02	9.686637e-06
2.837983e+02	9.805108e-06
2.887772e+02	9.924882e-06
2.937561e+02	1.004597e-05
2.987350e+02	1.016839e-05
3.037139e+02	1.029215e-05
3.086928e+02	1.041727e-05
3.136718e+02	1.054375e-05
3.186507e+02	1.067161e-05
3.236296e+02	1.080086e-05
3.286085e+02	1.093152e-05
3.335874e+02	1.106360e-05
3.385663e+02	1.119711e-05
3.435453e+02	1.133206e-05
3.485242e+02	1.146848e-05
3.535031e+02	1.160637e-05
3.584820e+02	1.174574e-05
3.634609e+02	1.188661e-05
3.684398e+02	1.202900e-05
3.734188e+02	1.217291e-05
3.783977e+02	1.231837e-05
3.833766e+02	1.246538e-05
3.883555e+02	1.261396e-05
3.933344e+02	1.276413e-05
3.983133e+02	1.291589e-05
4.032923e+02	1.306927e-05
4.082712e+02	1.322428e-05
4.132501e+02	1.338093e-05
4.182290e+02	1.353923e-05
4.232079e+02	1.369921e-05
4.281868e+02	1.386088e-05
4.331658e+02	1.402425e-05
4.381447e+02	1.418934e-05
4.431236e+02	1.435616e-05
4.481025e+02	1.452473e-05
4.530814e+02	1.469506e-05
4.580603e+02	1.486718e-05
4.630393e+02	1.504109e-05
4.680182e+02	1.521681e-05
4.729971e+02	1.539436e-05
4.779760e+02	1.557376e-05
4.829549e+02	1.575501e-05
4.879338e+02	1.593814e-05
4.929128e+02	1.612317e-05
4.978917e+02	1.631010e-05
5.028706e+02	1.649896e-05
5.078495e+02	1.668977e-05
5.128284e+02	1.688253e-05
5.178073e+02	1.707727e-05
5.227863e+02	1.727400e-05
5.277652e+02	1.747274e-05
5.327441e+02	1.767352e-05
5.377230e+02	1.787633e-05
5.427019e+02	1.808122e-05
5.476808e+02	1.828818e-05
5.526598e+02	1.849724e-05
5.576387e+02	1.870841e-05
5.626176e+02	1.892172e-05
5.675965e+02	1.913719e-05
5.725754e+02	1.935482e-05
5.775543e+02	1.957464e-05
5.825333e+02	1.979667e-05
5.875122e+02	2.002093e-05
5.924911e+02	2.024743e-05
5.974700e+02	2.047619e-05
6.024489e+02	2.070724e-05
6.074278e+02	2.094058e-05
6.124068e+02	2.117625e-05
6.173857e+02	2.141425e-05
6.223646e+02	2.165461e-05
6.273435e+02	2.189735e-05
6.323224e+02	2.214249e-05
6.373013e+02	2.239005e-05
6.422803e+02	2.264004e-05
6.472592e+02	2.289249e-05
6.522381e+02	2.314741e-05
6.572170e+02	2.340483e-05
6.621959e+02	2.366477e-05
6.671748e+02	2.392724e-05
6.721538e+02	2.419228e-05
6.771327e+02	2.445989e-05
6.821116e+02	2.473010e-05
6.870905e+02	2.500293e-05
6.920694e+02	2.527839e-05
6.970483e+02	2.555652e-05
7.020273e+02	2.583734e-05
7.070062e+02	2.612085e-05
7.119851e+02	2.640709e-05
7.169640e+02	2.669608e-05
7.219429e+02	2.698784e-05
7.269218e+02	2.728238e-05
7.319008e+02	2.757974e-05
7.368797e+02	2.787993e-05
7.418586e+02	2.818298e-05
7.468375e+02	2.848890e-05
7.518164e+02	2.879772e-05
7.567953e+02	2.910947e-05
7.617743e+02	2.942416e-05
7.667532e+02	2.974181e-05
7.717321e+02	3.006246e-05
7.767110e+02	3.038612e-05
7.816899e+02	3.071281e-05
7.866688e+02	3.104256e-05
7.916478e+02	3.137540e-05
7.966267e+02	3.171134e-05
8.016056e+02	3.205041e-05
8.065845e+02	3.239263e-05
8.115634e+02	3.273802e-05
8.165423e+02	3.308662e-05
8.215213e+02	3.343843e-05
8.265002e+02	3.379350e-05
8.314791e+02	3.415183e-05
8.364580e+02	3.451346e-05
8.414369e+02	3.487841e-05
8.464158e+02	3.524670e-05
8.513948e+02	3.561837e-05
8.563737e+02	3.599342e-05
8.613526e+02	3.637189e-05
8.663315e+02	3.675381e-05
8.713104e+02	3.713919e-05
8.762893e+02	3.752806e-05
8.812683e+02	3.792045e-05
8.862472e+02	3.831638e-05
8.912261e+02	3.871588e-05
8.962050e+02	3.911898e-05
9.011839e+02	3.952569e-05
9.061628e+02	3.993605e-05
9.111418e+02	4.035008e-05
9.161207e+02	4.076780e-05
9.210996e+02	4.118925e-05
9.260785e+02	4.161445e-05
9.310574e+02	4.204342e-05
9.360363e+02	4.247619e-05
9.410153e+02	4.291279e-05
9.459942e+02	4.335324e-05
9.509731e+02	4.379757e-05
9.559520e+02	4.424581e-05
9.609309e+02	4.469798e-05
9.659098e+02	4.515412e-05
9.708888e+02	4.561424e-05
9.758677e+02	4.607838e-05
9.808466e+02	4.654656e-05
9.858255e+02	4.701880e-05
9.908044e+02	4.749515e-05
9.957833e+02	4.797562e-05
1.000762e+03	4.846024e-05
1.005741e+03	4.894904e-05
1.010720e+03	4.944205e-05
1.015699e+03	4.993930e-05
1.020678e+03	5.044081e-05
1.025657e+03	5.094661e-05
1.030636e+03	5.145673e-05
1.035615e+03	5.197119e-05
1.040594e+03	5.249004e-05
1.045573e+03	5.301328e-05
1.050551e+03	5.354096e-05
1.055530e+03	5.407311e-05
1.060509e+03	5.460974e-05
1.065488e+03	5.515089e-05
1.070467e+03	5.569660e-05
1.075446e+03	5.624687e-05
1.080425e+03	5.680176e-05
1.085404e+03	5.736128e-05
1.090383e+03	5.792546e-05
1.095362e+03	5.849434e-05
1.100341e+03	5.906794e-05
1.105320e+03	5.964630e-05
1.110298e+03	6.022943e-05
1.115277e+03	6.081738e-05
1.120256e+03	6.141017e-05
1.125235e+03	6.200783e-05
1.130214e+03	6.261040e-05
1.135193e+03	6.321789e-05
1.140172e+03	6.383034e-05
1.145151e+03	6.444779e-05
1.150130e+03	6.507026e-05
1.155109e+03	6.569778e-05
1.160088e+03	6.633038e-05
1.165067e+03	6.696809e-05
1.170045e+03	6.761095e-05
1.175024e+03	6.825897e-05
1.180003e+03	6.891221e-05
1.184982e+03	6.957067e-05
1.189961e+03	7.023440e-05
1.194940e+03	7.090343e-05
1.199919e+03	7.157778e-05
1.204898e+03	7.225750e-05
1.209877e+03	7.294259e-05
1.214856e+03	7.363311e-05
1.219835e+03	7.432908e-05
1.224814e+03	7.503053e-05
1.229792e+03	7.573749e-05
1.234771e+03	7.644999e-05
1.239750e+03	7.716807e-05
1.244729e+03	7.789176e-05
1.249708e+03	7.862108e-05
1.254687e+03	7.935607e-05
1.259666e+03	8.009676e-05
1.264645e+03	8.084319e-05
1.269624e+03	8.159537e-05
1.274603e+03	8.235335e-05
1.279582e+03	8.311716e-05
1.284561e+03	8.388682e-05
1.289539e+03	8.466238e-05
1.294518e+03	8.544385e-05
1.299497e+03	8.623128e-05
1.304476e+03	8.702469e-05
1.309455e+03	8.782412e-05
1.314434e+03	8.862959e-05
1.319413e+03	8.944115e-05
1.324392e+03	9.025881e-05
1.329371e+03	9.108262e-05
1.334350e+03	9.191261e-05
1.339329e+03	9.274880e-05
1.344308e+03	9.359123e-05
1.349286e+03	9.443993e-05
1.354265e+03	9.529494e-05
1.359244e+03	9.615628e-05
1.364223e+03	9.702398e-05
1.369202e+03	9.789809e-05
1.374181e+03	9.877863e-05
1.379160e+03	9.966562e-05
1.384139e+03	1.005591e-04
1.389118e+03	1.014591e-04
1.394097e+03	1.023657e-04
1.399076e+03	1.032789e-04
1.404055e+03	1.041987e-04
1.409033e+03	1.051251e-04
1.414012e+03	1.060583e-04
1.418991e+03	1.069981e-04
1.423970e+03	1.079447e-04
1.428949e+03	1.088981e-04
1.433928e+03	1.098583e-04
1.438907e+03	1.108253e-04
1.443886e+03	1.117993e-04
1.448865e+03	1.127801e-04
1.453844e+03	1.137679e-04
1.458823e+03	1.147626e-04
1.463802e+03	1.157644e-04
1.468780e+03	1.167732e-04
1.473759e+03	1.177890e-04
1.478738e+03	1.188120e-04
1.483717e+03	1.198421e-04
1.488696e+03	1.208793e-04
1.493675e+03	1.219238e-04
1.498654e+03	1.229755e-04
1.503633e+03	1.240344e-04
1.508612e+03	1.251006e-04
1.513591e+03	1.261742e-04
1.518570e+03	1.272551e-04
1.523549e+03	1.283433e-04
1.528527e+03	1.294390e-04
1.533506e+03	1.305422e-04
1.538485e+03	1.316528e-04
1.543464e+03	1.327709e-04
1.548443e+03	1.338966e-04
1.553422e+03	1.350298e-04
1.558401e+03	1.361706e-04
1.563380e+03	1.373191e-04
1.568359e+03	1.384752e-04
1.573338e+03	1.396390e-04
1.578317e+03	1.408106e-04
1.583296e+03	1.419899e-04
1.588274e+03	1.431769e-04
1.593253e+03	1.443718e-04
1.598232e+03	1.455746e-04
1.603211e+03	1.467852e-04
1.608190e+03	1.480037e-04
1.613169e+03	1.492301e-04
1.618148e+03	1.504645e-04
1.623127e+03	1.517069e-04
1.628106e+03	1.529573e-04
1.633085e+03	1.542158e-04
1.638064e+03	1.554824e-04
1.643043e+03	1.567570e-04
1.648021e+03	1.580398e-04
1.653000e+03	1.593308e-04
1.657979e+03	1.606300e-04
1.662958e+03	1.619374e-04
1.667937e+03	1.632530e-04
1.672916e+03	1.645769e-04
1.677895e+03	1.659092e-04
1.682874e+03	1.672498e-04
1.687853e+03	1.685987e-04
1.692832e+03	1.699561e-04
1.697811e+03	1.713218e-04
1.702790e+03	1.726960e-04
1.707768e+03	1.740787e-04
1.712747e+03	1.754699e-04
1.717726e+03	1.768697e-04
1.722705e+03	1.782779e-04
1.727684e+03	1.796948e-04
1.732663e+03	1.811203e-04
1.737642e+03	1.825544e-04
1.742621e+03	1.839972e-04
1.747600e+03	1.854487e-04
1.752579e+03	1.869089e-04
1.757558e+03	1.883779e-04
1.762537e+03	1.898556e-04
1.767515e+03	1.913421e-04
1.772494e+03	1.928374e-04
1.777473e+03	1.943416e-04
1.782452e+03	1.958546e-04
1.787431e+03	1.973766e-04
1.792410e+03	1.989074e-04
1.797389e+03	2.004472e-04
1.802368e+03	2.019960e-04
1.807347e+03	2.035537e-04
1.812326e+03	2.051205e-04
1.817305e+03	2.066963e-04
1.822284e+03	2.082812e-04
1.827262e+03	2.098751e-04
1.832241e+03	2.114782e-04
1.837220e+03	2.130904e-04
1.842199e+03	2.147117e-04
1.847178e+03	2.163422e-04
1.852157e+03	2.179819e-04
1.857136e+03	2.196308e-04
1.862115e+03	2.212890e-04
1.867094e+03	2.229564e-04
1.872073e+03	2.246331e-04
1.877052e+03	2.263191e-04
1.882031e+03	2.280144e-04
1.887009e+03	2.297191e-04
1.891988e+03	2.314331e-04
1.896967e+03	2.331565e-04
1.901946e+03	2.348893e-04
1.906925e+03	2.366315e-04
1.911904e+03	2.383832e-04
1.916883e+03	2.401443e-04
1.921862e+03	2.419149e-04
1.926841e+03	2.436949e-04
1.931820e+03	2.454845e-04
1.936799e+03	2.472836e-04
1.941778e+03	2.490923e-04
1.946756e+03	2.509105e-04
1.951735e+03	2.527383e-04
1.956714e+03	2.545757e-04
1.961693e+03	2.564227e-04
1.966672e+03	2.582793e-04
1.971651e+03	2.601455e-04
1.976630e+03	2.620215e-04
1.981609e+03	2.639070e-04
1.986588e+03	2.658023e-04
1.991567e+03	2.677073e-04
1.996546e+03	2.696219e-04
2.001525e+03	2.715463e-04
2.006503e+03	2.734804e-04
2.011482e+03	2.754243e-04
2.016461e+03	2.773780e-04
2.021440e+03	2.793414e-04
2.026419e+03	2.813146e-04
2.031398e+03	2.832976e-04
2.036377e+03	2.852904e-04
2.041356e+03	2.872930e-04
2.046335e+03	2.893054e-04
2.051314e+03	2.913277e-04
2.056293e+03	2.933599e-04
2.061272e+03	2.954018e-04
2.066250e+03	2.974537e-04
2.071229e+03	2.995154e-04
2.076208e+03	3.015870e-04
2.081187e+03	3.036685e-04
2.086166e+03	3.057599e-04
2.091145e+03	3.078612e-04
2.096124e+03	3.099724e-04
2.101103e+03	3.120935e-04
2.106082e+03	3.142246e-04
2.111061e+03	3.163655e-04
2.116040e+03	3.185164e-04
2.121019e+03	3.206772e-04
2.125997e+03	3.228480e-04
2.130976e+03	3.250287e-04
2.135955e+03	3.272194e-04
2.140934e+03	3.294200e-04
2.145913e+03	3.316305e-04
2.150892e+03	3.338510e-04
2.155871e+03	3.360815e-04
2.160850e+03	3.383219e-04
2.165829e+03	3.405723e-04
2.170808e+03	3.428326e-04
2.175787e+03	3.451029e-04
2.180766e+03	3.473831e-04
2.185744e+03	3.496733e-04
2.190723e+03	3.519735e-04
2.195702e+03	3.542836e-04
2.200681e+03	3.566036e-04
2.205660e+03	3.589336e-04
2.210639e+03	3.612735e-04
2.215618e+03	3.636234e-04
2.220597e+03	3.659832e-04
2.225576e+03	3.683529e-04
2.230555e+03	3.707326e-04
2.235534e+03	3.731222e-04
2.240513e+03	3.755216e-04
2.245491e+03	3.779310e-04
2.250470e+03	3.803503e-04
2.255449e+03	3.827795e-04
2.260428e+03	3.852186e-04
2.265407e+03	3.876675e-04
2.270386e+03	3.901263e-04
2.275365e+03	3.925950e-04
2.280344e+03	3.950734e-04
2.285323e+03	3.975618e-04
2.290302e+03	4.000599e-04
2.295281e+03	4.025679e-04
2.300260e+03	4.050857e-04
2.305238e+03	4.076132e-04
2.310217e+03	4.101506e-04
2.315196e+03	4.126977e-04
2.320175e+03	4.152545e-04
2.325154e+03	4.178211e-04
2.330133e+03	4.203973e-04
2.335112e+03	4.229833e-04
2.340091e+03	4.255790e-04
2.345070e+03	4.281843e-04
2.350049e+03	4.307993e-04
2.355028e+03	4.334240e-04
2.360007e+03	4.360582e-04
2.364985e+03	4.387020e-04
2.369964e+03	4.413554e-04
2.374943e+03	4.440184e-04
2.379922e+03	4.466909e-04
2.384901e+03	4.493729e-04
2.389880e+03	4.520644e-04
2.394859e+03	4.547654e-04
2.399838e+03	4.574759e-04
2.404817e+03	4.601957e-04
2.409796e+03	4.629250e-04
2.414775e+03	4.656636e-04
2.419754e+03	4.684116e-04
2.424732e+03	4.711690e-04
2.429711e+03	4.739356e-04
2.434690e+03	4.767115e-04
2.439669e+03	4.794966e-04
