# x_val	y_val	p(x,y)
0.000000e+00	0.000000e+00	3.386788e-08
0.000000e+00	4.978917e+00	3.439857e-08
0.000000e+00	9.957833e+00	3.493670e-08
0.000000e+00	1.493675e+01	3.548236e-08
0.000000e+00	1.991567e+01	3.603564e-08
0.000000e+00	2.489458e+01	3.659664e-08
0.000000e+00	2.987350e+01	3.716544e-08
0.000000e+00	3.485242e+01	3.774214e-08
0.000000e+00	3.983133e+01	3.832683e-08
0.000000e+00	4.481025e+01	3.891960e-08
0.000000e+00	4.978917e+01	3.952055e-08
0.000000e+00	5.476808e+01	4.012978e-08
0.000000e+00	5.974700e+01	4.074738e-08
0.000000e+00	6.472592e+01	4.137345e-08
0.000000e+00	6.970483e+01	4.200809e-08
0.000000e+00	7.468375e+01	4.265140e-08
0.000000e+00	7.966267e+01	4.330348e-08
0.000000e+00	8.464158e+01	4.396443e-08
0.000000e+00	8.962050e+01	4.463435e-08
0.000000e+00	9.459942e+01	4.531334e-08
0.000000e+00	9.957833e+01	4.600152e-08
0.000000e+00	1.045573e+02	4.669898e-08
0.000000e+00	1.095362e+02	4.740582e-08
0.000000e+00	1.145151e+02	4.812217e-08
0.000000e+00	1.194940e+02	4.884811e-08
0.000000e+00	1.244729e+02	4.958377e-08
0.000000e+00	1.294518e+02	5.032925e-08
0.000000e+00	1.344308e+02	5.108466e-08
0.000000e+00	1.394097e+02	5.185011e-08
0.000000e+00	1.443886e+02	5.262572e-08
0.000000e+00	1.493675e+02	5.341159e-08
0.000000e+00	1.543464e+02	5.420784e-08
0.000000e+00	1.593253e+02	5.501459e-08
0.000000e+00	1.643043e+02	5.583195e-08
0.000000e+00	1.692832e+02	5.666003e-08
0.000000e+00	1.742621e+02	5.749896e-08
0.000000e+00	1.792410e+02	5.834885e-08
0.000000e+00	1.842199e+02	5.920983e-08
0.000000e+00	1.891988e+02	6.008200e-08
0.000000e+00	1.941778e+02	6.096550e-08
0.000000e+00	1.991567e+02	6.186044e-08
0.000000e+00	2.041356e+02	6.276696e-08
0.000000e+00	2.091145e+02	6.368516e-08
0.000000e+00	2.140934e+02	6.461518e-08
0.000000e+00	2.190723e+02	6.555714e-08
0.000000e+00	2.240513e+02	6.651117e-08
