# y_val	p(y)
2.722952e+02	1.013695e-20
8.168857e+02	3.345194e-04
1.361476e+03	1.763829e-03
1.906067e+03	4.642723e-03
2.450657e+03	9.792294e-03
2.995248e+03	1.849993e-02
3.539838e+03	3.101907e-02
4.084429e+03	4.837353e-02
4.629019e+03	6.792770e-02
5.173610e+03	8.801914e-02
5.718200e+03	1.054547e-01
6.262790e+03	1.135947e-01
6.807381e+03	1.133919e-01
7.351971e+03	1.052013e-01
7.896562e+03	8.862736e-02
8.441152e+03	7.054304e-02
8.985743e+03	5.125242e-02
9.530333e+03	3.498262e-02
1.007492e+04	2.230129e-02
1.061951e+04	1.290434e-02
1.116410e+04	6.822167e-03
1.170870e+04	3.223550e-03
1.225329e+04	1.297530e-03
1.279788e+04	3.041085e-05
1.334247e+04	1.013695e-20
1.388706e+04	1.013695e-20
1.443165e+04	1.013695e-20
1.497624e+04	1.013695e-20
1.552083e+04	1.013695e-20
