# y_val	p(y)
3.505442e+02	1.016653e-20
7.829096e+02	1.016653e-20
1.215275e+03	3.151624e-04
1.647640e+03	2.978793e-03
2.080006e+03	1.032919e-02
2.512371e+03	2.638214e-02
2.944737e+03	5.048698e-02
3.377102e+03	7.649295e-02
3.809468e+03	9.808666e-02
4.241833e+03	1.140888e-01
4.674198e+03	1.229032e-01
5.106564e+03	1.225270e-01
5.538929e+03	1.094223e-01
5.971295e+03	8.970944e-02
6.403660e+03	6.731258e-02
6.836025e+03	4.638987e-02
7.268391e+03	2.939143e-02
7.700756e+03	1.724243e-02
8.133122e+03	9.119375e-03
8.565487e+03	4.422440e-03
8.997852e+03	1.941807e-03
9.430218e+03	4.574937e-04
9.862583e+03	1.016653e-20
1.029495e+04	1.016653e-20
1.072731e+04	1.016653e-20
1.115968e+04	1.016653e-20
1.159204e+04	1.016653e-20
1.202441e+04	1.016653e-20
1.245678e+04	1.016653e-20
