# points_per_std	n_y	MI
1.000000e+01	9.700000e+01	1.358431e-01
2.000000e+01	1.930000e+02	1.362528e-01
3.000000e+01	2.890000e+02	1.365139e-01
4.000000e+01	3.860000e+02	1.359614e-01
5.000000e+01	4.820000e+02	1.360026e-01
6.000000e+01	5.780000e+02	1.360014e-01
7.000000e+01	6.750000e+02	1.360015e-01
8.000000e+01	7.710000e+02	1.360012e-01
9.000000e+01	8.670000e+02	1.353341e-01
1.000000e+02	9.630000e+02	1.362344e-01
1.100000e+02	1.060000e+03	1.359659e-01
1.200000e+02	1.156000e+03	1.360202e-01
1.300000e+02	1.252000e+03	1.356090e-01
1.400000e+02	1.349000e+03	1.372798e-01
1.500000e+02	1.445000e+03	1.358899e-01
1.600000e+02	1.541000e+03	1.360722e-01
1.700000e+02	1.638000e+03	1.360950e-01
1.800000e+02	1.734000e+03	1.360755e-01
1.900000e+02	1.830000e+03	1.360366e-01
2.000000e+02	1.926000e+03	1.359955e-01
2.100000e+02	2.023000e+03	1.359691e-01
2.200000e+02	2.119000e+03	1.359735e-01
2.300000e+02	2.215000e+03	1.361848e-01
2.400000e+02	2.312000e+03	1.359717e-01
2.500000e+02	2.408000e+03	1.359442e-01
2.600000e+02	2.504000e+03	1.359200e-01
2.700000e+02	2.601000e+03	1.359674e-01
2.800000e+02	2.697000e+03	1.359810e-01
2.900000e+02	2.793000e+03	1.362293e-01
3.000000e+02	2.889000e+03	1.357364e-01
3.100000e+02	2.986000e+03	1.355629e-01
3.200000e+02	3.082000e+03	1.356721e-01
3.300000e+02	3.178000e+03	1.358794e-01
3.400000e+02	3.275000e+03	1.364305e-01
3.500000e+02	3.371000e+03	1.370904e-01
3.600000e+02	3.467000e+03	1.372683e-01
3.700000e+02	3.563000e+03	1.360552e-01
3.800000e+02	3.660000e+03	1.359762e-01
3.900000e+02	3.756000e+03	1.359653e-01
4.000000e+02	3.852000e+03	1.361560e-01
4.100000e+02	3.949000e+03	1.360626e-01
4.200000e+02	4.045000e+03	1.358771e-01
4.300000e+02	4.141000e+03	1.358198e-01
4.400000e+02	4.238000e+03	1.364011e-01
4.500000e+02	4.334000e+03	1.359645e-01
4.600000e+02	4.430000e+03	1.359490e-01
4.700000e+02	4.526000e+03	1.364739e-01
4.800000e+02	4.623000e+03	1.363765e-01
4.900000e+02	4.719000e+03	1.356527e-01
5.000000e+02	4.815000e+03	1.364130e-01
