# points_per_std	n_y	W2
1.000000e+01	9.700000e+01	3.824516e+01
2.000000e+01	1.930000e+02	3.825430e+01
3.000000e+01	2.890000e+02	3.819448e+01
4.000000e+01	3.860000e+02	3.819325e+01
5.000000e+01	4.820000e+02	3.818573e+01
6.000000e+01	5.780000e+02	3.816730e+01
7.000000e+01	6.750000e+02	3.814219e+01
8.000000e+01	7.710000e+02	3.811425e+01
9.000000e+01	8.670000e+02	3.813904e+01
1.000000e+02	9.630000e+02	3.818868e+01
1.100000e+02	1.060000e+03	3.821047e+01
1.200000e+02	1.156000e+03	3.828404e+01
1.300000e+02	1.252000e+03	3.823875e+01
1.400000e+02	1.349000e+03	3.829437e+01
1.500000e+02	1.445000e+03	3.823231e+01
1.600000e+02	1.541000e+03	3.821879e+01
1.700000e+02	1.638000e+03	3.821250e+01
1.800000e+02	1.734000e+03	3.824870e+01
1.900000e+02	1.830000e+03	3.818698e+01
2.000000e+02	1.926000e+03	3.816367e+01
2.100000e+02	2.023000e+03	3.814592e+01
2.200000e+02	2.119000e+03	3.809743e+01
2.300000e+02	2.215000e+03	3.810531e+01
2.400000e+02	2.312000e+03	3.763915e+01
2.500000e+02	2.408000e+03	3.700014e+01
2.600000e+02	2.504000e+03	3.643700e+01
2.700000e+02	2.601000e+03	3.602793e+01
2.800000e+02	2.697000e+03	3.566564e+01
2.900000e+02	2.793000e+03	3.533112e+01
3.000000e+02	2.889000e+03	3.508940e+01
3.100000e+02	2.986000e+03	3.489579e+01
3.200000e+02	3.082000e+03	3.469908e+01
3.300000e+02	3.178000e+03	3.453873e+01
3.400000e+02	3.275000e+03	3.438534e+01
3.500000e+02	3.371000e+03	3.422902e+01
3.600000e+02	3.467000e+03	3.408288e+01
3.700000e+02	3.563000e+03	3.400867e+01
3.800000e+02	3.660000e+03	3.397522e+01
3.900000e+02	3.756000e+03	3.394462e+01
4.000000e+02	3.852000e+03	3.385003e+01
4.100000e+02	3.949000e+03	3.381745e+01
4.200000e+02	4.045000e+03	3.381898e+01
4.300000e+02	4.141000e+03	3.381502e+01
4.400000e+02	4.238000e+03	3.380607e+01
4.500000e+02	4.334000e+03	3.376821e+01
4.600000e+02	4.430000e+03	3.371645e+01
4.700000e+02	4.526000e+03	3.369614e+01
4.800000e+02	4.623000e+03	3.366726e+01
4.900000e+02	4.719000e+03	3.363725e+01
5.000000e+02	4.815000e+03	3.363391e+01
