# points_per_std	n_y	MI
1.000000e+01	1.140000e+02	4.226742e-01
2.000000e+01	2.270000e+02	4.226971e-01
3.000000e+01	3.400000e+02	4.229230e-01
4.000000e+01	4.530000e+02	4.230978e-01
5.000000e+01	5.660000e+02	4.231684e-01
6.000000e+01	6.790000e+02	4.232706e-01
7.000000e+01	7.920000e+02	4.226975e-01
8.000000e+01	9.050000e+02	4.230710e-01
9.000000e+01	1.018000e+03	4.230328e-01
1.000000e+02	1.131000e+03	4.230481e-01
1.100000e+02	1.245000e+03	4.225138e-01
1.200000e+02	1.358000e+03	4.225791e-01
1.300000e+02	1.471000e+03	4.224818e-01
1.400000e+02	1.584000e+03	4.230074e-01
1.500000e+02	1.697000e+03	4.231479e-01
1.600000e+02	1.810000e+03	4.234296e-01
1.700000e+02	1.923000e+03	4.225849e-01
1.800000e+02	2.036000e+03	4.234863e-01
1.900000e+02	2.149000e+03	4.235416e-01
2.000000e+02	2.262000e+03	4.230515e-01
2.100000e+02	2.376000e+03	4.234632e-01
2.200000e+02	2.489000e+03	4.230054e-01
2.300000e+02	2.602000e+03	4.230651e-01
2.400000e+02	2.715000e+03	4.230371e-01
2.500000e+02	2.828000e+03	4.225722e-01
2.600000e+02	2.941000e+03	4.229715e-01
2.700000e+02	3.054000e+03	4.230108e-01
2.800000e+02	3.167000e+03	4.229931e-01
2.900000e+02	3.280000e+03	4.227306e-01
3.000000e+02	3.393000e+03	4.228052e-01
3.100000e+02	3.507000e+03	4.229857e-01
3.200000e+02	3.620000e+03	4.230834e-01
3.300000e+02	3.733000e+03	4.231361e-01
3.400000e+02	3.846000e+03	4.227654e-01
3.500000e+02	3.959000e+03	4.235295e-01
3.600000e+02	4.072000e+03	4.232470e-01
3.700000e+02	4.185000e+03	4.230973e-01
3.800000e+02	4.298000e+03	4.230483e-01
3.900000e+02	4.411000e+03	4.230079e-01
4.000000e+02	4.524000e+03	4.231850e-01
4.100000e+02	4.638000e+03	4.229142e-01
4.200000e+02	4.751000e+03	4.236308e-01
4.300000e+02	4.864000e+03	4.233869e-01
4.400000e+02	4.977000e+03	4.232402e-01
4.500000e+02	5.090000e+03	4.231384e-01
4.600000e+02	5.203000e+03	4.230473e-01
4.700000e+02	5.316000e+03	4.233024e-01
4.800000e+02	5.429000e+03	4.231116e-01
4.900000e+02	5.542000e+03	4.230296e-01
5.000000e+02	5.655000e+03	4.233651e-01
