# points_per_std	n_y	W2
1.000000e+01	1.140000e+02	4.919948e+00
2.000000e+01	2.270000e+02	4.993549e+00
3.000000e+01	3.400000e+02	5.036223e+00
4.000000e+01	4.530000e+02	4.900664e+00
5.000000e+01	5.660000e+02	4.894055e+00
6.000000e+01	6.790000e+02	4.927680e+00
7.000000e+01	7.920000e+02	4.927946e+00
8.000000e+01	9.050000e+02	4.932763e+00
9.000000e+01	1.018000e+03	4.923028e+00
1.000000e+02	1.131000e+03	4.903904e+00
1.100000e+02	1.245000e+03	4.854299e+00
1.200000e+02	1.358000e+03	4.859186e+00
1.300000e+02	1.471000e+03	4.954807e+00
1.400000e+02	1.584000e+03	5.061704e+00
1.500000e+02	1.697000e+03	5.094482e+00
1.600000e+02	1.810000e+03	4.781855e+00
1.700000e+02	1.923000e+03	5.306821e+00
1.800000e+02	2.036000e+03	5.197627e+00
1.900000e+02	2.149000e+03	4.813099e+00
2.000000e+02	2.262000e+03	4.544241e+00
2.100000e+02	2.376000e+03	4.527983e+00
2.200000e+02	2.489000e+03	4.543608e+00
2.300000e+02	2.602000e+03	4.543778e+00
2.400000e+02	2.715000e+03	4.558979e+00
2.500000e+02	2.828000e+03	4.582517e+00
2.600000e+02	2.941000e+03	4.515767e+00
2.700000e+02	3.054000e+03	4.435549e+00
2.800000e+02	3.167000e+03	4.377384e+00
2.900000e+02	3.280000e+03	4.345070e+00
3.000000e+02	3.393000e+03	4.338066e+00
3.100000e+02	3.507000e+03	4.277115e+00
3.200000e+02	3.620000e+03	4.271041e+00
3.300000e+02	3.733000e+03	4.502722e+00
3.400000e+02	3.846000e+03	4.453047e+00
3.500000e+02	3.959000e+03	5.332592e+00
3.600000e+02	4.072000e+03	5.592966e+00
3.700000e+02	4.185000e+03	5.328386e+00
3.800000e+02	4.298000e+03	5.536910e+00
3.900000e+02	4.411000e+03	4.975335e+00
4.000000e+02	4.524000e+03	4.633719e+00
4.100000e+02	4.638000e+03	4.580336e+00
4.200000e+02	4.751000e+03	4.736378e+00
4.300000e+02	4.864000e+03	4.824600e+00
4.400000e+02	4.977000e+03	4.872139e+00
4.500000e+02	5.090000e+03	4.910397e+00
4.600000e+02	5.203000e+03	4.952232e+00
4.700000e+02	5.316000e+03	5.586221e+00
4.800000e+02	5.429000e+03	5.969072e+00
4.900000e+02	5.542000e+03	6.342509e+00
5.000000e+02	5.655000e+03	6.716682e+00
