# points_per_std	n_y	MI
1.000000e+01	1.590000e+02	8.542343e-01
2.000000e+01	3.180000e+02	8.545924e-01
3.000000e+01	4.760000e+02	8.552844e-01
4.000000e+01	6.350000e+02	8.545916e-01
5.000000e+01	7.940000e+02	8.629113e-01
6.000000e+01	9.520000e+02	8.537348e-01
7.000000e+01	1.111000e+03	8.537397e-01
8.000000e+01	1.269000e+03	8.539921e-01
9.000000e+01	1.428000e+03	8.540212e-01
1.000000e+02	1.587000e+03	8.541745e-01
1.100000e+02	1.745000e+03	8.542318e-01
1.200000e+02	1.904000e+03	8.540169e-01
1.300000e+02	2.062000e+03	8.540841e-01
1.400000e+02	2.221000e+03	8.540269e-01
1.500000e+02	2.380000e+03	8.540103e-01
1.600000e+02	2.538000e+03	8.538846e-01
1.700000e+02	2.697000e+03	8.540033e-01
1.800000e+02	2.855000e+03	8.541239e-01
1.900000e+02	3.014000e+03	8.540619e-01
2.000000e+02	3.173000e+03	8.540136e-01
2.100000e+02	3.331000e+03	8.539581e-01
2.200000e+02	3.490000e+03	8.540573e-01
2.300000e+02	3.648000e+03	8.543179e-01
2.400000e+02	3.807000e+03	8.543471e-01
2.500000e+02	3.966000e+03	8.539420e-01
2.600000e+02	4.124000e+03	8.539926e-01
2.700000e+02	4.283000e+03	8.539784e-01
2.800000e+02	4.441000e+03	8.540036e-01
2.900000e+02	4.600000e+03	8.540489e-01
3.000000e+02	4.759000e+03	8.543437e-01
3.100000e+02	4.917000e+03	8.541358e-01
3.200000e+02	5.076000e+03	8.542416e-01
3.300000e+02	5.235000e+03	8.539850e-01
3.400000e+02	5.393000e+03	8.540865e-01
3.500000e+02	5.552000e+03	8.539094e-01
3.600000e+02	5.710000e+03	8.539899e-01
3.700000e+02	5.869000e+03	8.542764e-01
3.800000e+02	6.028000e+03	8.533190e-01
3.900000e+02	6.186000e+03	8.540773e-01
4.000000e+02	6.345000e+03	8.541632e-01
4.100000e+02	6.503000e+03	8.543000e-01
4.200000e+02	6.662000e+03	8.541909e-01
4.300000e+02	6.821000e+03	8.541743e-01
4.400000e+02	6.979000e+03	8.544957e-01
4.500000e+02	7.138000e+03	8.540019e-01
4.600000e+02	7.296000e+03	8.540576e-01
4.700000e+02	7.455000e+03	8.540972e-01
4.800000e+02	7.614000e+03	8.540889e-01
4.900000e+02	7.772000e+03	8.540657e-01
5.000000e+02	7.931000e+03	8.540457e-01
