# points_per_std	n_y	W2
1.000000e+01	1.590000e+02	3.266474e+01
2.000000e+01	3.180000e+02	3.250014e+01
3.000000e+01	4.760000e+02	3.247736e+01
4.000000e+01	6.350000e+02	3.228238e+01
5.000000e+01	7.940000e+02	3.218747e+01
6.000000e+01	9.520000e+02	3.192044e+01
7.000000e+01	1.111000e+03	3.168819e+01
8.000000e+01	1.269000e+03	2.872003e+01
9.000000e+01	1.428000e+03	3.144581e+01
1.000000e+02	1.587000e+03	3.106682e+01
1.100000e+02	1.745000e+03	3.124805e+01
1.200000e+02	1.904000e+03	3.099307e+01
1.300000e+02	2.062000e+03	3.093569e+01
1.400000e+02	2.221000e+03	3.102174e+01
1.500000e+02	2.380000e+03	3.073435e+01
1.600000e+02	2.538000e+03	3.109657e+01
1.700000e+02	2.697000e+03	3.180234e+01
1.800000e+02	2.855000e+03	3.191949e+01
1.900000e+02	3.014000e+03	3.488253e+01
2.000000e+02	3.173000e+03	3.471873e+01
2.100000e+02	3.331000e+03	3.451921e+01
2.200000e+02	3.490000e+03	3.428189e+01
2.300000e+02	3.648000e+03	3.405134e+01
2.400000e+02	3.807000e+03	3.393834e+01
2.500000e+02	3.966000e+03	3.367572e+01
2.600000e+02	4.124000e+03	3.313011e+01
2.700000e+02	4.283000e+03	3.296484e+01
2.800000e+02	4.441000e+03	3.250025e+01
2.900000e+02	4.600000e+03	3.207847e+01
3.000000e+02	4.759000e+03	3.169884e+01
3.100000e+02	4.917000e+03	3.235604e+01
3.200000e+02	5.076000e+03	3.221081e+01
3.300000e+02	5.235000e+03	3.207353e+01
3.400000e+02	5.393000e+03	3.205027e+01
3.500000e+02	5.552000e+03	3.173407e+01
3.600000e+02	5.710000e+03	3.148611e+01
3.700000e+02	5.869000e+03	3.225547e+01
3.800000e+02	6.028000e+03	3.323982e+01
3.900000e+02	6.186000e+03	3.299541e+01
4.000000e+02	6.345000e+03	3.153604e+01
4.100000e+02	6.503000e+03	3.148535e+01
4.200000e+02	6.662000e+03	3.154303e+01
4.300000e+02	6.821000e+03	3.310583e+01
4.400000e+02	6.979000e+03	3.259167e+01
4.500000e+02	7.138000e+03	3.198748e+01
4.600000e+02	7.296000e+03	3.018218e+01
4.700000e+02	7.455000e+03	3.013989e+01
4.800000e+02	7.614000e+03	3.009303e+01
4.900000e+02	7.772000e+03	3.002078e+01
5.000000e+02	7.931000e+03	2.996224e+01
