# points_per_std	n_y	MI
1.000000e+01	2.110000e+02	9.201407e-01
2.000000e+01	4.220000e+02	9.725648e-01
3.000000e+01	6.320000e+02	9.186983e-01
4.000000e+01	8.430000e+02	9.180013e-01
5.000000e+01	1.053000e+03	9.177380e-01
6.000000e+01	1.264000e+03	9.174986e-01
7.000000e+01	1.474000e+03	9.180066e-01
8.000000e+01	1.685000e+03	9.180375e-01
9.000000e+01	1.895000e+03	9.181504e-01
1.000000e+02	2.106000e+03	9.180237e-01
1.100000e+02	2.316000e+03	9.180941e-01
1.200000e+02	2.527000e+03	9.178724e-01
1.300000e+02	2.737000e+03	9.179944e-01
1.400000e+02	2.948000e+03	9.186034e-01
1.500000e+02	3.158000e+03	9.180934e-01
1.600000e+02	3.369000e+03	9.183819e-01
1.700000e+02	3.579000e+03	9.176674e-01
1.800000e+02	3.790000e+03	9.174631e-01
1.900000e+02	4.000000e+03	9.185093e-01
2.000000e+02	4.211000e+03	9.181353e-01
2.100000e+02	4.421000e+03	9.179949e-01
2.200000e+02	4.632000e+03	9.178430e-01
2.300000e+02	4.842000e+03	9.179710e-01
2.400000e+02	5.053000e+03	9.180864e-01
2.500000e+02	5.263000e+03	9.178606e-01
2.600000e+02	5.474000e+03	9.180140e-01
2.700000e+02	5.684000e+03	9.181407e-01
2.800000e+02	5.895000e+03	9.180740e-01
2.900000e+02	6.105000e+03	9.181080e-01
3.000000e+02	6.316000e+03	9.176615e-01
3.100000e+02	6.526000e+03	9.173906e-01
3.200000e+02	6.737000e+03	9.180873e-01
3.300000e+02	6.947000e+03	9.181973e-01
3.400000e+02	7.158000e+03	9.182502e-01
3.500000e+02	7.368000e+03	9.182234e-01
3.600000e+02	7.579000e+03	9.182623e-01
3.700000e+02	7.789000e+03	9.180990e-01
3.800000e+02	8.000000e+03	9.180197e-01
3.900000e+02	8.210000e+03	9.182156e-01
4.000000e+02	8.421000e+03	9.181130e-01
4.100000e+02	8.631000e+03	9.186447e-01
4.200000e+02	8.842000e+03	9.181563e-01
4.300000e+02	9.052000e+03	9.182506e-01
4.400000e+02	9.263000e+03	9.182505e-01
4.500000e+02	9.473000e+03	9.181137e-01
4.600000e+02	9.684000e+03	9.180260e-01
4.700000e+02	9.894000e+03	9.180240e-01
4.800000e+02	1.010500e+04	9.181584e-01
4.900000e+02	1.031500e+04	9.181106e-01
5.000000e+02	1.052600e+04	9.173652e-01
