# points_per_std	n_y	W2
1.000000e+01	2.110000e+02	3.347878e+00
2.000000e+01	4.220000e+02	3.349745e+00
3.000000e+01	6.320000e+02	3.679985e+00
4.000000e+01	8.430000e+02	3.343305e+00
5.000000e+01	1.053000e+03	3.383927e+00
6.000000e+01	1.264000e+03	3.383665e+00
7.000000e+01	1.474000e+03	3.435311e+00
8.000000e+01	1.685000e+03	3.657244e+00
9.000000e+01	1.895000e+03	3.630432e+00
1.000000e+02	2.106000e+03	3.605708e+00
1.100000e+02	2.316000e+03	3.594512e+00
1.200000e+02	2.527000e+03	3.454043e+00
1.300000e+02	2.737000e+03	3.376670e+00
1.400000e+02	2.948000e+03	3.348461e+00
1.500000e+02	3.158000e+03	3.323000e+00
1.600000e+02	3.369000e+03	3.394234e+00
1.700000e+02	3.579000e+03	3.367553e+00
1.800000e+02	3.790000e+03	3.375721e+00
1.900000e+02	4.000000e+03	4.370915e+00
2.000000e+02	4.211000e+03	3.293499e+00
2.100000e+02	4.421000e+03	3.491361e+00
2.200000e+02	4.632000e+03	6.293236e+00
2.300000e+02	4.842000e+03	6.746289e+00
2.400000e+02	5.053000e+03	3.214992e+00
2.500000e+02	5.263000e+03	3.217055e+00
2.600000e+02	5.474000e+03	3.131491e+00
2.700000e+02	5.684000e+03	3.118667e+00
2.800000e+02	5.895000e+03	7.356293e+00
2.900000e+02	6.105000e+03	7.915263e+00
3.000000e+02	6.316000e+03	8.186696e+00
3.100000e+02	6.526000e+03	8.400182e+00
3.200000e+02	6.737000e+03	8.610364e+00
3.300000e+02	6.947000e+03	8.829457e+00
3.400000e+02	7.158000e+03	9.042381e+00
3.500000e+02	7.368000e+03	9.243069e+00
3.600000e+02	7.579000e+03	9.329354e+00
3.700000e+02	7.789000e+03	9.365572e+00
3.800000e+02	8.000000e+03	9.366265e+00
3.900000e+02	8.210000e+03	9.336355e+00
4.000000e+02	8.421000e+03	9.380304e+00
4.100000e+02	8.631000e+03	9.572844e+00
4.200000e+02	8.842000e+03	9.692951e+00
4.300000e+02	9.052000e+03	9.516071e+00
4.400000e+02	9.263000e+03	9.283414e+00
4.500000e+02	9.473000e+03	9.094090e+00
4.600000e+02	9.684000e+03	9.124040e+00
4.700000e+02	9.894000e+03	9.211022e+00
4.800000e+02	1.010500e+04	9.322948e+00
4.900000e+02	1.031500e+04	8.995348e+00
5.000000e+02	1.052600e+04	9.294308e+00
