Dose	Hill_Comparison_Response
0.002100	6468.819886
0.002209	6468.819897
0.002324	6468.819911
0.002445	6468.819926
0.002572	6468.819945
0.002705	6468.819966
0.002846	6468.819992
0.002993	6468.820022
0.003149	6468.820057
0.003313	6468.820098
0.003485	6468.820147
0.003666	6468.820204
0.003856	6468.820271
0.004056	6468.820350
0.004267	6468.820443
0.004489	6468.820553
0.004722	6468.820681
0.004967	6468.820832
0.005225	6468.821010
0.005497	6468.821219
0.005782	6468.821464
0.006083	6468.821753
0.006399	6468.822092
0.006731	6468.822492
0.007081	6468.822961
0.007448	6468.823513
0.007835	6468.824162
0.008242	6468.824924
0.008670	6468.825821
0.009121	6468.826876
0.009595	6468.828116
0.010093	6468.829574
0.010617	6468.831288
0.011169	6468.833304
0.011749	6468.835674
0.012359	6468.838461
0.013001	6468.841737
0.013677	6468.845589
0.014387	6468.850119
0.015135	6468.855444
0.015921	6468.861706
0.016748	6468.869068
0.017618	6468.877725
0.018533	6468.887903
0.019496	6468.899870
0.020509	6468.913940
0.021574	6468.930483
0.022695	6468.949934
0.023874	6468.972803
0.025114	6468.999691
0.026418	6469.031305
0.027791	6469.068474
0.029234	6469.112175
0.030753	6469.163554
0.032350	6469.223961
0.034031	6469.294980
0.035799	6469.378475
0.037658	6469.476636
0.039615	6469.592035
0.041672	6469.727699
0.043837	6469.887180
0.046114	6470.074653
0.048510	6470.295024
0.051030	6470.554053
0.053681	6470.858507
0.056469	6471.216327
0.059403	6471.636838
0.062488	6472.130979
0.065734	6472.711586
0.069149	6473.393705
0.072741	6474.194972
0.076520	6475.136043
0.080495	6476.241096
0.084676	6477.538411
0.089075	6479.061029
0.093702	6480.847517
0.098569	6482.942833
0.103690	6485.399299
0.109076	6488.277706
0.114742	6491.648526
0.120703	6495.593254
0.126973	6500.205847
0.133569	6505.594251
0.140507	6511.881958
0.147806	6519.209554
0.155484	6527.736125
0.163561	6537.640428
0.172057	6549.121612
0.180995	6562.399278
0.190397	6577.712566
0.200288	6595.317930
0.210692	6615.485178
0.221637	6638.491364
0.233150	6664.612119
0.245261	6694.110092
0.258002	6727.220388
0.271404	6764.133166
0.285503	6804.974022
0.300334	6849.783321
0.315935	6898.496241
0.332347	6950.925819
0.349611	7006.751636
0.367772	7065.516721
0.386877	7126.634680
0.406974	7189.408020
0.428115	7253.057090
0.450354	7316.757444
0.473748	7379.681985
0.498358	7441.043395
0.524246	7500.132303
0.551479	7556.347423
0.580126	7609.215236
0.610262	7658.398490
0.641963	7703.694258
0.675311	7745.023503
0.710391	7782.414681
0.747293	7815.984014
0.786113	7845.914805
0.826949	7872.437616
0.869906	7895.812552
0.915095	7916.314331
0.962631	7934.220354
1.012636	7949.801701
1.065239	7963.316720
1.120575	7975.006838
1.178785	7985.094131
1.240019	7993.780282
1.304434	8001.246529
1.372195	8007.654325
1.443476	8013.146460
1.518459	8017.848450
1.597338	8021.870071
1.680315	8025.306918
1.767601	8028.241940
1.859422	8030.746893
1.956013	8032.883692
2.057622	8034.705639
2.164508	8036.258544
2.276947	8037.581712
2.395227	8038.708822
2.519651	8039.668702
2.650539	8040.486001
2.788225	8041.181782
2.933064	8041.774026
3.085427	8042.278080
3.245705	8042.707031
3.414308	8043.072036
3.591670	8043.382606
3.778246	8043.646841
3.974513	8043.871642
4.180975	8044.062885
4.398163	8044.225573
4.626633	8044.363966
4.866971	8044.481688
5.119794	8044.581823
5.385750	8044.666999
5.665522	8044.739447
5.959827	8044.801070
6.269420	8044.853484
6.595096	8044.898064
6.937689	8044.935982
7.298079	8044.968232
7.677190	8044.995661
8.075994	8045.018991
8.495515	8045.038834
8.936829	8045.055710
9.401068	8045.070063
9.889422	8045.082271
10.403144	8045.092654
10.943553	8045.101485
11.512034	8045.108995
12.110046	8045.115383
12.739122	8045.120816
13.400877	8045.125437
14.097008	8045.129367
14.829301	8045.132709
15.599633	8045.135552
16.409982	8045.137969
17.262426	8045.140026
18.159152	8045.141774
19.102459	8045.143262
20.094768	8045.144527
21.138625	8045.145603
22.236706	8045.146518
23.391829	8045.147296
24.606956	8045.147958
25.885205	8045.148521
27.229856	8045.149000
28.644356	8045.149407
30.132335	8045.149753
31.697609	8045.150048
33.344194	8045.150298
35.076314	8045.150511
36.898412	8045.150692
38.815161	8045.150847
40.831479	8045.150978
42.952539	8045.151089
45.183780	8045.151184
47.530927	8045.151265
50.000000	8045.151333
