Dose	Hill_Comparison_Response
0.002100	4231.943241
0.002209	4231.947662
0.002324	4231.952508
0.002445	4231.957817
0.002572	4231.963636
0.002705	4231.970013
0.002846	4231.977001
0.002993	4231.984658
0.003149	4231.993050
0.003313	4232.002246
0.003485	4232.012324
0.003666	4232.023368
0.003856	4232.035470
0.004056	4232.048733
0.004267	4232.063267
0.004489	4232.079193
0.004722	4232.096647
0.004967	4232.115773
0.005225	4232.136732
0.005497	4232.159700
0.005782	4232.184870
0.006083	4232.212451
0.006399	4232.242676
0.006731	4232.275796
0.007081	4232.312091
0.007448	4232.351863
0.007835	4232.395446
0.008242	4232.443204
0.008670	4232.495538
0.009121	4232.552885
0.009595	4232.615725
0.010093	4232.684583
0.010617	4232.760036
0.011169	4232.842714
0.011749	4232.933308
0.012359	4233.032576
0.013001	4233.141345
0.013677	4233.260524
0.014387	4233.391108
0.015135	4233.534185
0.015921	4233.690949
0.016748	4233.862704
0.017618	4234.050881
0.018533	4234.257045
0.019496	4234.482910
0.020509	4234.730351
0.021574	4235.001422
0.022695	4235.298370
0.023874	4235.623652
0.025114	4235.979959
0.026418	4236.370233
0.027791	4236.797691
0.029234	4237.265853
0.030753	4237.778564
0.032350	4238.340029
0.034031	4238.954843
0.035799	4239.628024
0.037658	4240.365052
0.039615	4241.171913
0.041672	4242.055134
0.043837	4243.021840
0.046114	4244.079798
0.048510	4245.237473
0.051030	4246.504085
0.053681	4247.889673
0.056469	4249.405157
0.059403	4251.062411
0.062488	4252.874332
0.065734	4254.854919
0.069149	4257.019353
0.072741	4259.384079
0.076520	4261.966890
0.080495	4264.787014
0.084676	4267.865204
0.089075	4271.223819
0.093702	4274.886915
0.098569	4278.880320
0.103690	4283.231710
0.109076	4287.970673
0.114742	4293.128765
0.120703	4298.739544
0.126973	4304.838586
0.133569	4311.463479
0.140507	4318.653780
0.147806	4326.450944
0.155484	4334.898196
0.163561	4344.040369
0.172057	4353.923667
0.180995	4364.595375
0.190397	4376.103482
0.200288	4388.496240
0.210692	4401.821614
0.221637	4416.126661
0.233150	4431.456798
0.245261	4447.854979
0.258002	4465.360784
0.271404	4484.009418
0.285503	4503.830639
0.300334	4524.847630
0.315935	4547.075846
0.332347	4570.521856
0.349611	4595.182224
0.367772	4621.042469
0.386877	4648.076148
0.406974	4676.244113
0.428115	4705.493988
0.450354	4735.759915
0.473748	4766.962603
0.498358	4799.009717
0.524246	4831.796621
0.551479	4865.207479
0.580126	4899.116700
0.610262	4933.390705
0.641963	4967.889948
0.675311	5002.471155
0.710391	5036.989686
0.747293	5071.301944
0.786113	5105.267755
0.826949	5138.752619
0.869906	5171.629770
0.915095	5203.781980
0.962631	5235.103044
1.012636	5265.498935
1.065239	5294.888590
1.120575	5323.204346
1.178785	5350.392036
1.240019	5376.410771
1.304434	5401.232450
1.372195	5424.841044
1.443476	5447.231700
1.518459	5468.409715
1.597338	5488.389423
1.680315	5507.193044
1.767601	5524.849524
1.859422	5541.393402
1.956013	5556.863734
2.057622	5571.303079
2.164508	5584.756576
2.276947	5597.271104
2.395227	5608.894549
2.519651	5619.675154
2.650539	5629.660974
2.788225	5638.899410
2.933064	5647.436830
3.085427	5655.318262
3.245705	5662.587159
3.414308	5669.285221
3.591670	5675.452262
3.778246	5681.126136
3.974513	5686.342691
4.180975	5691.135752
4.398163	5695.537140
4.626633	5699.576704
4.866971	5703.282373
5.119794	5706.680217
5.385750	5709.794522
5.665522	5712.647871
5.959827	5715.261225
6.269420	5717.654012
6.595096	5719.844212
6.937689	5721.848443
7.298079	5723.682051
7.677190	5725.359189
8.075994	5726.892895
8.495515	5728.295176
8.936829	5729.577076
9.401068	5730.748746
9.889422	5731.819514
10.403144	5732.797941
10.943553	5733.691885
11.512034	5734.508551
12.110046	5735.254547
12.739122	5735.935926
13.400877	5736.558233
14.097008	5737.126547
14.829301	5737.645517
15.599633	5738.119397
16.409982	5738.552080
17.262426	5738.947127
18.159152	5739.307793
19.102459	5739.637058
20.094768	5739.937642
21.138625	5740.212034
22.236706	5740.462508
23.391829	5740.691142
24.606956	5740.899834
25.885205	5741.090319
27.229856	5741.264181
28.644356	5741.422868
30.132335	5741.567702
31.697609	5741.699889
33.344194	5741.820531
35.076314	5741.930636
36.898412	5742.031123
38.815161	5742.122830
40.831479	5742.206524
42.952539	5742.282903
45.183780	5742.352608
47.530927	5742.416220
50.000000	5742.474272
