Dose	Fit_Response
0.002100	3308.301445
0.002209	3320.478252
0.002324	3332.915229
0.002445	3345.616443
0.002572	3358.585952
0.002705	3371.827804
0.002846	3385.346028
0.002993	3399.144630
0.003149	3413.227592
0.003313	3427.598864
0.003485	3442.262358
0.003666	3457.221947
0.003856	3472.481453
0.004056	3488.044649
0.004267	3503.915247
0.004489	3520.096895
0.004722	3536.593168
0.004967	3553.407568
0.005225	3570.543507
0.005497	3588.004312
0.005782	3605.793208
0.006083	3623.913319
0.006399	3642.367655
0.006731	3661.159106
0.007081	3680.290439
0.007448	3699.764283
0.007835	3719.583128
0.008242	3739.749314
0.008670	3760.265021
0.009121	3781.132268
0.009595	3802.352897
0.010093	3823.928573
0.010617	3845.860768
0.011169	3868.150758
0.011749	3890.799617
0.012359	3913.808202
0.013001	3937.177151
0.013677	3960.906875
0.014387	3984.997547
0.015135	4009.449096
0.015921	4034.261202
0.016748	4059.433287
0.017618	4084.964506
0.018533	4110.853744
0.019496	4137.099608
0.020509	4163.700420
0.021574	4190.654213
0.022695	4217.958723
0.023874	4245.611388
0.025114	4273.609337
0.026418	4301.949393
0.027791	4330.628064
0.029234	4359.641543
0.030753	4388.985700
0.032350	4418.656088
0.034031	4448.647932
0.035799	4478.956136
0.037658	4509.575277
0.039615	4540.499607
0.041672	4571.723053
0.043837	4603.239220
0.046114	4635.041392
0.048510	4667.122534
0.051030	4699.475295
0.053681	4732.092015
0.056469	4764.964726
0.059403	4798.085161
0.062488	4831.444757
0.065734	4865.034663
0.069149	4898.845750
0.072741	4932.868616
0.076520	4967.093596
0.080495	5001.510771
0.084676	5036.109981
0.089075	5070.880832
0.093702	5105.812711
0.098569	5140.894796
0.103690	5176.116070
0.109076	5211.465332
0.114742	5246.931214
0.120703	5282.502191
0.126973	5318.166602
0.133569	5353.912656
0.140507	5389.728457
0.147806	5425.602013
0.155484	5461.521253
0.163561	5497.474047
0.172057	5533.448216
0.180995	5569.431555
0.190397	5605.411846
0.200288	5641.376873
0.210692	5677.314443
0.221637	5713.212400
0.233150	5749.058640
0.245261	5784.841131
0.258002	5820.547926
0.271404	5856.167179
0.285503	5891.687164
0.300334	5927.096283
0.315935	5962.383090
0.332347	5997.536297
0.349611	6032.544795
0.367772	6067.397661
0.386877	6102.084177
0.406974	6136.593836
0.428115	6170.916361
0.450354	6205.041710
0.473748	6238.960090
0.498358	6272.661967
0.524246	6306.138072
0.551479	6339.379415
0.580126	6372.377288
0.610262	6405.123275
0.641963	6437.609256
0.675311	6469.827417
0.710391	6501.770252
0.747293	6533.430567
0.786113	6564.801486
0.826949	6595.876453
0.869906	6626.649232
0.915095	6657.113913
0.962631	6687.264912
1.012636	6717.096966
1.065239	6746.605141
1.120575	6775.784826
1.178785	6804.631732
1.240019	6833.141890
1.304434	6861.311652
1.372195	6889.137682
1.443476	6916.616956
1.518459	6943.746760
1.597338	6970.524680
1.680315	6996.948600
1.767601	7023.016700
1.859422	7048.727443
1.956013	7074.079577
2.057622	7099.072121
2.164508	7123.704366
2.276947	7147.975861
2.395227	7171.886413
2.519651	7195.436074
2.650539	7218.625136
2.788225	7241.454124
2.933064	7263.923786
3.085427	7286.035090
3.245705	7307.789210
3.414308	7329.187521
3.591670	7350.231593
3.778246	7370.923180
3.974513	7391.264214
4.180975	7411.256793
4.398163	7430.903181
4.626633	7450.205792
4.866971	7469.167187
5.119794	7487.790064
5.385750	7506.077252
5.665522	7524.031704
5.959827	7541.656485
6.269420	7558.954773
6.595096	7575.929842
6.937689	7592.585064
7.298079	7608.923897
7.677190	7624.949879
8.075994	7640.666624
8.495515	7656.077811
8.936829	7671.187184
9.401068	7685.998540
9.889422	7700.515728
10.403144	7714.742642
10.943553	7728.683213
11.512034	7742.341407
12.110046	7755.721218
12.739122	7768.826667
13.400877	7781.661790
14.097008	7794.230641
14.829301	7806.537285
15.599633	7818.585791
16.409982	7830.380233
17.262426	7841.924682
18.159152	7853.223207
19.102459	7864.279867
20.094768	7875.098710
21.138625	7885.683771
22.236706	7896.039067
23.391829	7906.168595
24.606956	7916.076330
25.885205	7925.766221
27.229856	7935.242193
28.644356	7944.508139
30.132335	7953.567921
31.697609	7962.425369
33.344194	7971.084279
35.076314	7979.548407
36.898412	7987.821476
38.815161	7995.907165
40.831479	8003.809117
42.952539	8011.530931
45.183780	8019.076162
47.530927	8026.448324
50.000000	8033.650887
