Dose	Fit_Response
0.002100	3178.800233
0.002209	3180.345394
0.002324	3181.955063
0.002445	3183.631865
0.002572	3185.378527
0.002705	3187.197881
0.002846	3189.092868
0.002993	3191.066538
0.003149	3193.122057
0.003313	3195.262711
0.003485	3197.491908
0.003666	3199.813181
0.003856	3202.230194
0.004056	3204.746745
0.004267	3207.366770
0.004489	3210.094346
0.004722	3212.933696
0.004967	3215.889191
0.005225	3218.965358
0.005497	3222.166878
0.005782	3225.498595
0.006083	3228.965518
0.006399	3232.572822
0.006731	3236.325857
0.007081	3240.230145
0.007448	3244.291388
0.007835	3248.515472
0.008242	3252.908465
0.008670	3257.476622
0.009121	3262.226390
0.009595	3267.164408
0.010093	3272.297505
0.010617	3277.632711
0.011169	3283.177249
0.011749	3288.938538
0.012359	3294.924197
0.013001	3301.142041
0.013677	3307.600078
0.014387	3314.306513
0.015135	3321.269741
0.015921	3328.498346
0.016748	3336.001095
0.017618	3343.786937
0.018533	3351.864990
0.019496	3360.244544
0.020509	3368.935043
0.021574	3377.946083
0.022695	3387.287397
0.023874	3396.968847
0.025114	3407.000407
0.026418	3417.392150
0.027791	3428.154235
0.029234	3439.296884
0.030753	3450.830364
0.032350	3462.764967
0.034031	3475.110989
0.035799	3487.878700
0.037658	3501.078320
0.039615	3514.719991
0.041672	3528.813748
0.043837	3543.369480
0.046114	3558.396902
0.048510	3573.905516
0.051030	3589.904573
0.053681	3606.403032
0.056469	3623.409517
0.059403	3640.932278
0.062488	3658.979139
0.065734	3677.557455
0.069149	3696.674063
0.072741	3716.335232
0.076520	3736.546613
0.080495	3757.313187
0.084676	3778.639215
0.089075	3800.528183
0.093702	3822.982753
0.098569	3846.004713
0.103690	3869.594920
0.109076	3893.753257
0.114742	3918.478584
0.120703	3943.768690
0.126973	3969.620250
0.133569	3996.028786
0.140507	4022.988629
0.147806	4050.492887
0.155484	4078.533414
0.163561	4107.100787
0.172057	4136.184285
0.180995	4165.771878
0.190397	4195.850218
0.200288	4226.404637
0.210692	4257.419154
0.221637	4288.876483
0.233150	4320.758060
0.245261	4353.044060
0.258002	4385.713438
0.271404	4418.743967
0.285503	4452.112286
0.300334	4485.793959
0.315935	4519.763534
0.332347	4553.994615
0.349611	4588.459936
0.367772	4623.131444
0.386877	4657.980388
0.406974	4692.977410
0.428115	4728.092639
0.450354	4763.295798
0.473748	4798.556303
0.498358	4833.843368
0.524246	4869.126116
0.551479	4904.373685
0.580126	4939.555335
0.610262	4974.640556
0.641963	5009.599175
0.675311	5044.401454
0.710391	5079.018196
0.747293	5113.420835
0.786113	5147.581529
0.826949	5181.473249
0.869906	5215.069854
0.915095	5248.346171
0.962631	5281.278055
1.012636	5313.842460
1.065239	5346.017484
1.120575	5377.782418
1.178785	5409.117788
1.240019	5440.005383
1.304434	5470.428282
1.372195	5500.370870
1.443476	5529.818846
1.518459	5558.759233
1.597338	5587.180366
1.680315	5615.071889
1.767601	5642.424739
1.859422	5669.231123
1.956013	5695.484493
2.057622	5721.179516
2.164508	5746.312041
2.276947	5770.879060
2.395227	5794.878665
2.519651	5818.310005
2.650539	5841.173241
2.788225	5863.469497
2.933064	5885.200808
3.085427	5906.370073
3.245705	5926.980999
3.414308	5947.038054
3.591670	5966.546412
3.778246	5985.511900
3.974513	6003.940953
4.180975	6021.840557
4.398163	6039.218202
4.626633	6056.081837
4.866971	6072.439820
5.119794	6088.300873
5.385750	6103.674043
5.665522	6118.568652
5.959827	6132.994267
6.269420	6146.960654
6.595096	6160.477749
6.937689	6173.555617
7.298079	6186.204426
7.677190	6198.434413
8.075994	6210.255858
8.495515	6221.679057
8.936829	6232.714299
9.401068	6243.371839
9.889422	6253.661886
10.403144	6263.594573
10.943553	6273.179948
11.512034	6282.427957
12.110046	6291.348425
12.739122	6299.951049
13.400877	6308.245384
14.097008	6316.240830
14.829301	6323.946631
15.599633	6331.371859
16.409982	6338.525411
17.262426	6345.416004
18.159152	6352.052170
19.102459	6358.442251
20.094768	6364.594396
21.138625	6370.516561
22.236706	6376.216506
23.391829	6381.701793
24.606956	6386.979787
25.885205	6392.057656
27.229856	6396.942375
28.644356	6401.640719
30.132335	6406.159274
31.697609	6410.504432
33.344194	6414.682396
35.076314	6418.699183
36.898412	6422.560626
38.815161	6426.272377
40.831479	6429.839911
42.952539	6433.268528
45.183780	6436.563355
47.530927	6439.729356
50.000000	6442.771328
