# q	x_q
0.000000e+00	0.000000e+00
1.001001e-03	0.000000e+00
2.002002e-03	0.000000e+00
3.003003e-03	0.000000e+00
4.004004e-03	0.000000e+00
5.005005e-03	0.000000e+00
6.006006e-03	0.000000e+00
7.007007e-03	0.000000e+00
8.008008e-03	0.000000e+00
9.009009e-03	0.000000e+00
1.001001e-02	0.000000e+00
1.101101e-02	0.000000e+00
1.201201e-02	0.000000e+00
1.301301e-02	0.000000e+00
1.401401e-02	0.000000e+00
1.501502e-02	0.000000e+00
1.601602e-02	0.000000e+00
1.701702e-02	0.000000e+00
1.801802e-02	0.000000e+00
1.901902e-02	0.000000e+00
2.002002e-02	0.000000e+00
2.102102e-02	0.000000e+00
2.202202e-02	0.000000e+00
2.302302e-02	0.000000e+00
2.402402e-02	0.000000e+00
2.502503e-02	0.000000e+00
2.602603e-02	0.000000e+00
2.702703e-02	0.000000e+00
2.802803e-02	0.000000e+00
2.902903e-02	0.000000e+00
3.003003e-02	0.000000e+00
3.103103e-02	0.000000e+00
3.203203e-02	0.000000e+00
3.303303e-02	0.000000e+00
3.403403e-02	3.076325e-05
3.503504e-02	9.371474e-05
3.603604e-02	1.566662e-04
3.703704e-02	2.196177e-04
3.803804e-02	2.825692e-04
3.903904e-02	3.455207e-04
4.004004e-02	4.084722e-04
4.104104e-02	4.714237e-04
4.204204e-02	5.343752e-04
4.304304e-02	5.973267e-04
4.404404e-02	6.602782e-04
4.504505e-02	7.232296e-04
4.604605e-02	7.861811e-04
4.704705e-02	8.491326e-04
4.804805e-02	9.120841e-04
4.904905e-02	9.750356e-04
5.005005e-02	1.037987e-03
5.105105e-02	1.100939e-03
5.205205e-02	1.163890e-03
5.305305e-02	1.226842e-03
5.405405e-02	1.289793e-03
5.505506e-02	1.352745e-03
5.605606e-02	1.415696e-03
5.705706e-02	1.478648e-03
5.805806e-02	1.541599e-03
5.905906e-02	1.604551e-03
6.006006e-02	1.667502e-03
6.106106e-02	1.730453e-03
6.206206e-02	1.793405e-03
6.306306e-02	1.856356e-03
6.406406e-02	1.919308e-03
6.506507e-02	1.982259e-03
6.606607e-02	2.045211e-03
6.706707e-02	2.103149e-03
6.806807e-02	2.127431e-03
6.906907e-02	2.151714e-03
7.007007e-02	2.175997e-03
7.107107e-02	2.200280e-03
7.207207e-02	2.224563e-03
7.307307e-02	2.248845e-03
7.407407e-02	2.273128e-03
7.507508e-02	2.297411e-03
7.607608e-02	2.321694e-03
7.707708e-02	2.345977e-03
7.807808e-02	2.370259e-03
7.907908e-02	2.394542e-03
8.008008e-02	2.418825e-03
8.108108e-02	2.443108e-03
8.208208e-02	2.467390e-03
8.308308e-02	2.491673e-03
8.408408e-02	2.515956e-03
8.508509e-02	2.540239e-03
8.608609e-02	2.564522e-03
8.708709e-02	2.588804e-03
8.808809e-02	2.613087e-03
8.908909e-02	2.637370e-03
9.009009e-02	2.661653e-03
9.109109e-02	2.685936e-03
9.209209e-02	2.710218e-03
9.309309e-02	2.734501e-03
9.409409e-02	2.758784e-03
9.509510e-02	2.783067e-03
