# q	y_q
0.000000e+00	3.321905e+02
1.001001e-03	3.321905e+02
2.002002e-03	3.321905e+02
3.003003e-03	3.321905e+02
4.004004e-03	3.321905e+02
5.005005e-03	3.321905e+02
6.006006e-03	3.321905e+02
7.007007e-03	3.827717e+02
8.008008e-03	4.418997e+02
9.009009e-03	5.010277e+02
1.001001e-02	5.601556e+02
1.101101e-02	6.192836e+02
1.201201e-02	6.784116e+02
1.301301e-02	7.375396e+02
1.401401e-02	7.966676e+02
1.501502e-02	8.557955e+02
1.601602e-02	9.149235e+02
1.701702e-02	9.740515e+02
1.801802e-02	1.018477e+03
1.901902e-02	1.053858e+03
2.002002e-02	1.089239e+03
2.102102e-02	1.124621e+03
2.202202e-02	1.160002e+03
2.302302e-02	1.195383e+03
2.402402e-02	1.230764e+03
2.502503e-02	1.266145e+03
2.602603e-02	1.301526e+03
2.702703e-02	1.336907e+03
2.802803e-02	1.372289e+03
2.902903e-02	1.407670e+03
3.003003e-02	1.443051e+03
3.103103e-02	1.478432e+03
3.203203e-02	1.513813e+03
3.303303e-02	1.549194e+03
3.403403e-02	1.584576e+03
3.503504e-02	1.619957e+03
3.603604e-02	1.655338e+03
3.703704e-02	1.680293e+03
3.803804e-02	1.703281e+03
3.903904e-02	1.726270e+03
4.004004e-02	1.749258e+03
4.104104e-02	1.772247e+03
4.204204e-02	1.795235e+03
4.304304e-02	1.818224e+03
4.404404e-02	1.841212e+03
4.504505e-02	1.864201e+03
4.604605e-02	1.887189e+03
4.704705e-02	1.910178e+03
4.804805e-02	1.933166e+03
4.904905e-02	1.956154e+03
5.005005e-02	1.979143e+03
5.105105e-02	2.002131e+03
5.205205e-02	2.025120e+03
5.305305e-02	2.048108e+03
5.405405e-02	2.071097e+03
5.505506e-02	2.094085e+03
5.605606e-02	2.117074e+03
5.705706e-02	2.140062e+03
5.805806e-02	2.163051e+03
5.905906e-02	2.186039e+03
6.006006e-02	2.209028e+03
6.106106e-02	2.232016e+03
6.206206e-02	2.255004e+03
6.306306e-02	2.277993e+03
6.406406e-02	2.300981e+03
6.506507e-02	2.323970e+03
6.606607e-02	2.340135e+03
6.706707e-02	2.355871e+03
6.806807e-02	2.371606e+03
6.906907e-02	2.387341e+03
7.007007e-02	2.403077e+03
7.107107e-02	2.418812e+03
7.207207e-02	2.434547e+03
7.307307e-02	2.450283e+03
7.407407e-02	2.466018e+03
7.507508e-02	2.481753e+03
7.607608e-02	2.497489e+03
7.707708e-02	2.513224e+03
7.807808e-02	2.528959e+03
7.907908e-02	2.544695e+03
8.008008e-02	2.560430e+03
8.108108e-02	2.576165e+03
8.208208e-02	2.591901e+03
8.308308e-02	2.607636e+03
8.408408e-02	2.623371e+03
8.508509e-02	2.639107e+03
8.608609e-02	2.654842e+03
8.708709e-02	2.670577e+03
8.808809e-02	2.686313e+03
8.908909e-02	2.702048e+03
9.009009e-02	2.717783e+03
9.109109e-02	2.733519e+03
9.209209e-02	2.749254e+03
9.309309e-02	2.764989e+03
9.409409e-02	2.780725e+03
9.509510e-02	2.796460e+03
9.609610e-02	2.812195e+03
9.709710e-02	2.827931e+03
9.809810e-02	2.843666e+03
9.909910e-02	2.859401e+03
1.001001e-01	2.875137e+03
1.011011e-01	2.890872e+03
1.021021e-01	2.906607e+03
1.031031e-01	2.922342e+03
1.041041e-01	2.938078e+03
1.051051e-01	2.953813e+03
1.061061e-01	2.969548e+03
1.071071e-01	2.985284e+03
1.081081e-01	2.998073e+03
1.091091e-01	3.009708e+03
1.101101e-01	3.021343e+03
1.111111e-01	3.032978e+03
1.121121e-01	3.044612e+03
1.131131e-01	3.056247e+03
1.141141e-01	3.067882e+03
1.151151e-01	3.079517e+03
1.161161e-01	3.091152e+03
1.171171e-01	3.102787e+03
1.181181e-01	3.114421e+03
1.191191e-01	3.126056e+03
1.201201e-01	3.137691e+03
1.211211e-01	3.149326e+03
1.221221e-01	3.160961e+03
1.231231e-01	3.172596e+03
1.241241e-01	3.184230e+03
1.251251e-01	3.195865e+03
1.261261e-01	3.207500e+03
1.271271e-01	3.219135e+03
1.281281e-01	3.230770e+03
1.291291e-01	3.242405e+03
1.301301e-01	3.254039e+03
1.311311e-01	3.265674e+03
1.321321e-01	3.277309e+03
1.331331e-01	3.288944e+03
1.341341e-01	3.300579e+03
1.351351e-01	3.312213e+03
1.361361e-01	3.323848e+03
1.371371e-01	3.335483e+03
1.381381e-01	3.347118e+03
1.391391e-01	3.358753e+03
1.401401e-01	3.370388e+03
1.411411e-01	3.382022e+03
1.421421e-01	3.393657e+03
1.431431e-01	3.405292e+03
1.441441e-01	3.416927e+03
1.451451e-01	3.428562e+03
1.461461e-01	3.440197e+03
1.471471e-01	3.451831e+03
1.481481e-01	3.463466e+03
1.491491e-01	3.475101e+03
1.501502e-01	3.486736e+03
1.511512e-01	3.498371e+03
1.521522e-01	3.510006e+03
1.531532e-01	3.521640e+03
1.541542e-01	3.533275e+03
1.551552e-01	3.544910e+03
1.561562e-01	3.556545e+03
1.571572e-01	3.568180e+03
1.581582e-01	3.579814e+03
1.591592e-01	3.591449e+03
1.601602e-01	3.603084e+03
1.611612e-01	3.614719e+03
1.621622e-01	3.626354e+03
1.631632e-01	3.637989e+03
1.641642e-01	3.649623e+03
1.651652e-01	3.659821e+03
1.661662e-01	3.669121e+03
1.671672e-01	3.678422e+03
1.681682e-01	3.687722e+03
1.691692e-01	3.697022e+03
1.701702e-01	3.706322e+03
1.711712e-01	3.715623e+03
1.721722e-01	3.724923e+03
1.731732e-01	3.734223e+03
1.741742e-01	3.743523e+03
1.751752e-01	3.752824e+03
1.761762e-01	3.762124e+03
1.771772e-01	3.771424e+03
1.781782e-01	3.780725e+03
1.791792e-01	3.790025e+03
1.801802e-01	3.799325e+03
1.811812e-01	3.808625e+03
1.821822e-01	3.817926e+03
1.831832e-01	3.827226e+03
1.841842e-01	3.836526e+03
1.851852e-01	3.845826e+03
1.861862e-01	3.855127e+03
1.871872e-01	3.864427e+03
1.881882e-01	3.873727e+03
1.891892e-01	3.883028e+03
1.901902e-01	3.892328e+03
1.911912e-01	3.901628e+03
1.921922e-01	3.910928e+03
1.931932e-01	3.920229e+03
1.941942e-01	3.929529e+03
1.951952e-01	3.938829e+03
1.961962e-01	3.948130e+03
1.971972e-01	3.957430e+03
1.981982e-01	3.966730e+03
1.991992e-01	3.976030e+03
2.002002e-01	3.985331e+03
2.012012e-01	3.994631e+03
2.022022e-01	4.003931e+03
2.032032e-01	4.013231e+03
2.042042e-01	4.022532e+03
2.052052e-01	4.031832e+03
2.062062e-01	4.041132e+03
2.072072e-01	4.050433e+03
2.082082e-01	4.059733e+03
2.092092e-01	4.069033e+03
2.102102e-01	4.078333e+03
2.112112e-01	4.087634e+03
2.122122e-01	4.096934e+03
2.132132e-01	4.106234e+03
2.142142e-01	4.115535e+03
2.152152e-01	4.124835e+03
2.162162e-01	4.134135e+03
2.172172e-01	4.143435e+03
2.182182e-01	4.152736e+03
2.192192e-01	4.162036e+03
2.202202e-01	4.171336e+03
2.212212e-01	4.180636e+03
2.222222e-01	4.189937e+03
2.232232e-01	4.199237e+03
2.242242e-01	4.208537e+03
2.252252e-01	4.217838e+03
2.262262e-01	4.227138e+03
2.272272e-01	4.236438e+03
2.282282e-01	4.245738e+03
2.292292e-01	4.255039e+03
2.302302e-01	4.264339e+03
2.312312e-01	4.273639e+03
2.322322e-01	4.282940e+03
2.332332e-01	4.292240e+03
2.342342e-01	4.301540e+03
2.352352e-01	4.310840e+03
2.362362e-01	4.319871e+03
2.372372e-01	4.327663e+03
2.382382e-01	4.335455e+03
2.392392e-01	4.343247e+03
2.402402e-01	4.351039e+03
2.412412e-01	4.358831e+03
2.422422e-01	4.366623e+03
2.432432e-01	4.374415e+03
2.442442e-01	4.382207e+03
2.452452e-01	4.389999e+03
2.462462e-01	4.397791e+03
2.472472e-01	4.405583e+03
2.482482e-01	4.413375e+03
2.492492e-01	4.421167e+03
2.502503e-01	4.428959e+03
2.512513e-01	4.436751e+03
2.522523e-01	4.444543e+03
2.532533e-01	4.452335e+03
2.542543e-01	4.460127e+03
2.552553e-01	4.467919e+03
2.562563e-01	4.475711e+03
2.572573e-01	4.483503e+03
2.582583e-01	4.491295e+03
2.592593e-01	4.499087e+03
2.602603e-01	4.506879e+03
2.612613e-01	4.514671e+03
2.622623e-01	4.522463e+03
2.632633e-01	4.530255e+03
2.642643e-01	4.538047e+03
2.652653e-01	4.545839e+03
2.662663e-01	4.553631e+03
2.672673e-01	4.561423e+03
2.682683e-01	4.569215e+03
2.692693e-01	4.577007e+03
2.702703e-01	4.584799e+03
2.712713e-01	4.592591e+03
2.722723e-01	4.600383e+03
2.732733e-01	4.608175e+03
2.742743e-01	4.615967e+03
2.752753e-01	4.623759e+03
2.762763e-01	4.631551e+03
2.772773e-01	4.639343e+03
2.782783e-01	4.647135e+03
2.792793e-01	4.654927e+03
2.802803e-01	4.662719e+03
2.812813e-01	4.670511e+03
2.822823e-01	4.678303e+03
2.832833e-01	4.686095e+03
2.842843e-01	4.693887e+03
2.852853e-01	4.701679e+03
2.862863e-01	4.709471e+03
2.872873e-01	4.717263e+03
2.882883e-01	4.725055e+03
2.892893e-01	4.732847e+03
2.902903e-01	4.740639e+03
2.912913e-01	4.748431e+03
2.922923e-01	4.756223e+03
2.932933e-01	4.764015e+03
2.942943e-01	4.771807e+03
2.952953e-01	4.779599e+03
2.962963e-01	4.787391e+03
2.972973e-01	4.795183e+03
2.982983e-01	4.802975e+03
2.992993e-01	4.810767e+03
3.003003e-01	4.818559e+03
3.013013e-01	4.826351e+03
3.023023e-01	4.834143e+03
3.033033e-01	4.841935e+03
3.043043e-01	4.849727e+03
3.053053e-01	4.857519e+03
3.063063e-01	4.865311e+03
3.073073e-01	4.873103e+03
3.083083e-01	4.880895e+03
3.093093e-01	4.888687e+03
3.103103e-01	4.896479e+03
3.113113e-01	4.904271e+03
3.123123e-01	4.912063e+03
3.133133e-01	4.919855e+03
3.143143e-01	4.927647e+03
3.153153e-01	4.935439e+03
3.163163e-01	4.943231e+03
3.173173e-01	4.951023e+03
3.183183e-01	4.958815e+03
3.193193e-01	4.966607e+03
3.203203e-01	4.974399e+03
3.213213e-01	4.982191e+03
3.223223e-01	4.989274e+03
3.233233e-01	4.996290e+03
3.243243e-01	5.003307e+03
3.253253e-01	5.010323e+03
3.263263e-01	5.017340e+03
3.273273e-01	5.024356e+03
3.283283e-01	5.031373e+03
3.293293e-01	5.038389e+03
3.303303e-01	5.045406e+03
3.313313e-01	5.052422e+03
3.323323e-01	5.059439e+03
3.333333e-01	5.066455e+03
3.343343e-01	5.073471e+03
3.353353e-01	5.080488e+03
3.363363e-01	5.087504e+03
3.373373e-01	5.094521e+03
3.383383e-01	5.101537e+03
3.393393e-01	5.108554e+03
3.403403e-01	5.115570e+03
3.413413e-01	5.122587e+03
3.423423e-01	5.129603e+03
3.433433e-01	5.136620e+03
3.443443e-01	5.143636e+03
3.453453e-01	5.150653e+03
3.463463e-01	5.157669e+03
3.473473e-01	5.164686e+03
3.483483e-01	5.171702e+03
