# y_val	CDF(y)
3.321905e+02	6.150697e-03
9.965714e+02	1.739827e-02
1.660952e+03	3.619488e-02
2.325333e+03	6.512443e-02
2.989714e+03	1.073889e-01
3.654095e+03	1.645489e-01
4.318476e+03	2.360571e-01
4.982857e+03	3.214069e-01
5.647238e+03	4.161904e-01
6.311619e+03	5.144394e-01
6.976000e+03	6.119285e-01
7.640381e+03	7.024562e-01
8.304762e+03	7.811487e-01
8.969142e+03	8.469013e-01
9.633523e+03	8.982247e-01
1.029790e+04	9.359699e-01
1.096229e+04	9.619407e-01
1.162667e+04	9.790451e-01
1.229105e+04	9.894617e-01
1.295543e+04	9.953084e-01
1.361981e+04	9.983483e-01
1.428419e+04	9.997163e-01
1.494857e+04	1.000000e+00
1.561295e+04	1.000000e+00
1.627733e+04	1.000000e+00
1.694171e+04	1.000000e+00
1.760609e+04	1.000000e+00
1.827048e+04	1.000000e+00
1.893486e+04	1.000000e+00
