# q	y_q
0.000000e+00	2.412347e+02
1.001001e-03	7.515506e+02
2.002002e-03	9.088012e+02
3.003003e-03	1.066052e+03
4.004004e-03	1.213034e+03
5.005005e-03	1.276018e+03
6.006006e-03	1.339001e+03
7.007007e-03	1.401985e+03
8.008008e-03	1.464969e+03
9.009009e-03	1.527952e+03
1.001001e-02	1.590936e+03
1.101101e-02	1.653920e+03
1.201201e-02	1.702259e+03
1.301301e-02	1.732603e+03
1.401401e-02	1.762948e+03
1.501502e-02	1.793293e+03
1.601602e-02	1.823638e+03
1.701702e-02	1.853983e+03
1.801802e-02	1.884328e+03
1.901902e-02	1.914672e+03
2.002002e-02	1.945017e+03
2.102102e-02	1.975362e+03
2.202202e-02	2.005707e+03
2.302302e-02	2.036052e+03
2.402402e-02	2.066397e+03
2.502503e-02	2.096741e+03
2.602603e-02	2.127086e+03
2.702703e-02	2.157431e+03
2.802803e-02	2.180221e+03
2.902903e-02	2.196809e+03
3.003003e-02	2.213396e+03
3.103103e-02	2.229983e+03
3.203203e-02	2.246571e+03
3.303303e-02	2.263158e+03
3.403403e-02	2.279745e+03
3.503504e-02	2.296333e+03
3.603604e-02	2.312920e+03
3.703704e-02	2.329508e+03
3.803804e-02	2.346095e+03
3.903904e-02	2.362682e+03
4.004004e-02	2.379270e+03
4.104104e-02	2.395857e+03
4.204204e-02	2.412445e+03
4.304304e-02	2.429032e+03
4.404404e-02	2.445619e+03
4.504505e-02	2.462207e+03
4.604605e-02	2.478794e+03
4.704705e-02	2.495381e+03
4.804805e-02	2.511969e+03
4.904905e-02	2.528556e+03
5.005005e-02	2.545144e+03
5.105105e-02	2.561731e+03
5.205205e-02	2.578318e+03
5.305305e-02	2.594906e+03
5.405405e-02	2.611493e+03
5.505506e-02	2.628080e+03
5.605606e-02	2.644668e+03
5.705706e-02	2.658417e+03
5.805806e-02	2.668868e+03
5.905906e-02	2.679319e+03
6.006006e-02	2.689770e+03
6.106106e-02	2.700221e+03
6.206206e-02	2.710672e+03
6.306306e-02	2.721123e+03
6.406406e-02	2.731574e+03
6.506507e-02	2.742025e+03
6.606607e-02	2.752476e+03
6.706707e-02	2.762927e+03
6.806807e-02	2.773378e+03
6.906907e-02	2.783829e+03
7.007007e-02	2.794280e+03
7.107107e-02	2.804732e+03
7.207207e-02	2.815183e+03
7.307307e-02	2.825634e+03
7.407407e-02	2.836085e+03
7.507508e-02	2.846536e+03
7.607608e-02	2.856987e+03
7.707708e-02	2.867438e+03
7.807808e-02	2.877889e+03
7.907908e-02	2.888340e+03
8.008008e-02	2.898791e+03
8.108108e-02	2.909242e+03
8.208208e-02	2.919693e+03
8.308308e-02	2.930144e+03
8.408408e-02	2.940595e+03
8.508509e-02	2.951047e+03
8.608609e-02	2.961498e+03
8.708709e-02	2.971949e+03
8.808809e-02	2.982400e+03
8.908909e-02	2.992851e+03
9.009009e-02	3.003302e+03
9.109109e-02	3.013753e+03
9.209209e-02	3.024204e+03
9.309309e-02	3.034655e+03
9.409409e-02	3.045106e+03
9.509510e-02	3.055557e+03
9.609610e-02	3.066008e+03
9.709710e-02	3.076459e+03
9.809810e-02	3.086910e+03
9.909910e-02	3.097362e+03
1.001001e-01	3.107813e+03
1.011011e-01	3.118264e+03
1.021021e-01	3.128715e+03
1.031031e-01	3.138231e+03
1.041041e-01	3.145546e+03
1.051051e-01	3.152861e+03
1.061061e-01	3.160177e+03
1.071071e-01	3.167492e+03
1.081081e-01	3.174807e+03
1.091091e-01	3.182122e+03
1.101101e-01	3.189437e+03
1.111111e-01	3.196752e+03
1.121121e-01	3.204067e+03
1.131131e-01	3.211382e+03
1.141141e-01	3.218697e+03
1.151151e-01	3.226013e+03
1.161161e-01	3.233328e+03
1.171171e-01	3.240643e+03
1.181181e-01	3.247958e+03
1.191191e-01	3.255273e+03
1.201201e-01	3.262588e+03
1.211211e-01	3.269903e+03
1.221221e-01	3.277218e+03
1.231231e-01	3.284533e+03
1.241241e-01	3.291849e+03
1.251251e-01	3.299164e+03
1.261261e-01	3.306479e+03
1.271271e-01	3.313794e+03
1.281281e-01	3.321109e+03
1.291291e-01	3.328424e+03
1.301301e-01	3.335739e+03
1.311311e-01	3.343054e+03
1.321321e-01	3.350369e+03
1.331331e-01	3.357684e+03
1.341341e-01	3.365000e+03
1.351351e-01	3.372315e+03
1.361361e-01	3.379630e+03
1.371371e-01	3.386945e+03
1.381381e-01	3.394260e+03
1.391391e-01	3.401575e+03
1.401401e-01	3.408890e+03
1.411411e-01	3.416205e+03
1.421421e-01	3.423520e+03
1.431431e-01	3.430836e+03
1.441441e-01	3.438151e+03
1.451451e-01	3.445466e+03
1.461461e-01	3.452781e+03
1.471471e-01	3.460096e+03
1.481481e-01	3.467411e+03
1.491491e-01	3.474726e+03
1.501502e-01	3.482041e+03
1.511512e-01	3.489356e+03
1.521522e-01	3.496671e+03
1.531532e-01	3.503987e+03
1.541542e-01	3.511302e+03
1.551552e-01	3.518617e+03
1.561562e-01	3.525932e+03
1.571572e-01	3.533247e+03
1.581582e-01	3.540562e+03
1.591592e-01	3.547877e+03
1.601602e-01	3.555192e+03
1.611612e-01	3.562507e+03
1.621622e-01	3.569823e+03
1.631632e-01	3.577138e+03
1.641642e-01	3.584453e+03
1.651652e-01	3.591768e+03
1.661662e-01	3.599083e+03
1.671672e-01	3.606398e+03
1.681682e-01	3.613713e+03
1.691692e-01	3.620504e+03
1.701702e-01	3.626288e+03
1.711712e-01	3.632072e+03
1.721722e-01	3.637857e+03
1.731732e-01	3.643641e+03
1.741742e-01	3.649425e+03
1.751752e-01	3.655210e+03
1.761762e-01	3.660994e+03
1.771772e-01	3.666779e+03
1.781782e-01	3.672563e+03
1.791792e-01	3.678347e+03
1.801802e-01	3.684132e+03
1.811812e-01	3.689916e+03
1.821822e-01	3.695700e+03
1.831832e-01	3.701485e+03
1.841842e-01	3.707269e+03
1.851852e-01	3.713053e+03
1.861862e-01	3.718838e+03
1.871872e-01	3.724622e+03
1.881882e-01	3.730407e+03
1.891892e-01	3.736191e+03
1.901902e-01	3.741975e+03
1.911912e-01	3.747760e+03
1.921922e-01	3.753544e+03
1.931932e-01	3.759328e+03
1.941942e-01	3.765113e+03
1.951952e-01	3.770897e+03
1.961962e-01	3.776682e+03
1.971972e-01	3.782466e+03
1.981982e-01	3.788250e+03
1.991992e-01	3.794035e+03
2.002002e-01	3.799819e+03
2.012012e-01	3.805603e+03
2.022022e-01	3.811388e+03
2.032032e-01	3.817172e+03
2.042042e-01	3.822956e+03
2.052052e-01	3.828741e+03
2.062062e-01	3.834525e+03
2.072072e-01	3.840310e+03
2.082082e-01	3.846094e+03
2.092092e-01	3.851878e+03
2.102102e-01	3.857663e+03
2.112112e-01	3.863447e+03
2.122122e-01	3.869231e+03
2.132132e-01	3.875016e+03
2.142142e-01	3.880800e+03
2.152152e-01	3.886585e+03
2.162162e-01	3.892369e+03
2.172172e-01	3.898153e+03
2.182182e-01	3.903938e+03
2.192192e-01	3.909722e+03
2.202202e-01	3.915506e+03
2.212212e-01	3.921291e+03
2.222222e-01	3.927075e+03
