# y_val	CDF(y)
2.412347e+02	1.016963e-20
7.237041e+02	8.237400e-04
1.206174e+03	3.894968e-03
1.688643e+03	1.156287e-02
2.171112e+03	2.747834e-02
2.653582e+03	5.659399e-02
3.136051e+03	1.028048e-01
3.618521e+03	1.688260e-01
4.100990e+03	2.523187e-01
4.583459e+03	3.493573e-01
5.065929e+03	4.545316e-01
5.548398e+03	5.595025e-01
6.030868e+03	6.585954e-01
6.513337e+03	7.474678e-01
6.995807e+03	8.214722e-01
7.478276e+03	8.804255e-01
7.960745e+03	9.240532e-01
8.443215e+03	9.547045e-01
8.925684e+03	9.750336e-01
9.408154e+03	9.874303e-01
9.890623e+03	9.945084e-01
1.037309e+04	9.981491e-01
1.085556e+04	9.997559e-01
1.133803e+04	1.000000e+00
1.182050e+04	1.000000e+00
1.230297e+04	1.000000e+00
1.278544e+04	1.000000e+00
1.326791e+04	1.000000e+00
1.375038e+04	1.000000e+00
