# q	y_q
0.000000e+00	1.930043e+02
1.001001e-03	1.930043e+02
2.002002e-03	1.930043e+02
3.003003e-03	1.930043e+02
4.004004e-03	2.338761e+02
5.005005e-03	2.826455e+02
6.006006e-03	3.314148e+02
7.007007e-03	3.801842e+02
8.008008e-03	4.289536e+02
9.009009e-03	4.777230e+02
1.001001e-02	5.264924e+02
1.101101e-02	5.752617e+02
1.201201e-02	6.000916e+02
1.301301e-02	6.229266e+02
1.401401e-02	6.457617e+02
1.501502e-02	6.685967e+02
1.601602e-02	6.914318e+02
1.701702e-02	7.142669e+02
1.801802e-02	7.371019e+02
1.901902e-02	7.599370e+02
2.002002e-02	7.827721e+02
2.102102e-02	8.056071e+02
2.202202e-02	8.284422e+02
2.302302e-02	8.512773e+02
2.402402e-02	8.741123e+02
2.502503e-02	8.969474e+02
2.602603e-02	9.197824e+02
2.702703e-02	9.426175e+02
2.802803e-02	9.652515e+02
2.902903e-02	9.774360e+02
3.003003e-02	9.896206e+02
3.103103e-02	1.001805e+03
3.203203e-02	1.013990e+03
3.303303e-02	1.026174e+03
3.403403e-02	1.038359e+03
3.503504e-02	1.050543e+03
3.603604e-02	1.062728e+03
3.703704e-02	1.074912e+03
3.803804e-02	1.087097e+03
3.903904e-02	1.099281e+03
4.004004e-02	1.111466e+03
4.104104e-02	1.123651e+03
4.204204e-02	1.135835e+03
4.304304e-02	1.148020e+03
4.404404e-02	1.160204e+03
4.504505e-02	1.172389e+03
4.604605e-02	1.184573e+03
4.704705e-02	1.196758e+03
4.804805e-02	1.208942e+03
4.904905e-02	1.221127e+03
5.005005e-02	1.233311e+03
5.105105e-02	1.245496e+03
5.205205e-02	1.257681e+03
5.305305e-02	1.269865e+03
5.405405e-02	1.282050e+03
5.505506e-02	1.294234e+03
5.605606e-02	1.306419e+03
5.705706e-02	1.318603e+03
5.805806e-02	1.330788e+03
5.905906e-02	1.342972e+03
6.006006e-02	1.353482e+03
6.106106e-02	1.360720e+03
6.206206e-02	1.367959e+03
6.306306e-02	1.375197e+03
6.406406e-02	1.382436e+03
6.506507e-02	1.389674e+03
6.606607e-02	1.396913e+03
6.706707e-02	1.404151e+03
6.806807e-02	1.411390e+03
6.906907e-02	1.418628e+03
7.007007e-02	1.425867e+03
7.107107e-02	1.433105e+03
7.207207e-02	1.440343e+03
7.307307e-02	1.447582e+03
7.407407e-02	1.454820e+03
7.507508e-02	1.462059e+03
7.607608e-02	1.469297e+03
7.707708e-02	1.476536e+03
7.807808e-02	1.483774e+03
7.907908e-02	1.491013e+03
8.008008e-02	1.498251e+03
8.108108e-02	1.505490e+03
8.208208e-02	1.512728e+03
8.308308e-02	1.519967e+03
8.408408e-02	1.527205e+03
8.508509e-02	1.534444e+03
8.608609e-02	1.541682e+03
8.708709e-02	1.548921e+03
8.808809e-02	1.556159e+03
8.908909e-02	1.563398e+03
9.009009e-02	1.570636e+03
9.109109e-02	1.577875e+03
9.209209e-02	1.585113e+03
9.309309e-02	1.592352e+03
9.409409e-02	1.599590e+03
9.509510e-02	1.606829e+03
9.609610e-02	1.614067e+03
9.709710e-02	1.621305e+03
9.809810e-02	1.628544e+03
9.909910e-02	1.635782e+03
1.001001e-01	1.643021e+03
1.011011e-01	1.650259e+03
1.021021e-01	1.657498e+03
1.031031e-01	1.664736e+03
1.041041e-01	1.671975e+03
1.051051e-01	1.679213e+03
1.061061e-01	1.686452e+03
1.071071e-01	1.693690e+03
1.081081e-01	1.700929e+03
1.091091e-01	1.708167e+03
1.101101e-01	1.715406e+03
1.111111e-01	1.722644e+03
1.121121e-01	1.729883e+03
1.131131e-01	1.737095e+03
1.141141e-01	1.742005e+03
1.151151e-01	1.746915e+03
1.161161e-01	1.751825e+03
1.171171e-01	1.756736e+03
1.181181e-01	1.761646e+03
1.191191e-01	1.766556e+03
1.201201e-01	1.771466e+03
1.211211e-01	1.776377e+03
1.221221e-01	1.781287e+03
1.231231e-01	1.786197e+03
1.241241e-01	1.791107e+03
1.251251e-01	1.796018e+03
1.261261e-01	1.800928e+03
1.271271e-01	1.805838e+03
1.281281e-01	1.810749e+03
1.291291e-01	1.815659e+03
1.301301e-01	1.820569e+03
1.311311e-01	1.825479e+03
1.321321e-01	1.830390e+03
1.331331e-01	1.835300e+03
1.341341e-01	1.840210e+03
1.351351e-01	1.845120e+03
1.361361e-01	1.850031e+03
1.371371e-01	1.854941e+03
1.381381e-01	1.859851e+03
1.391391e-01	1.864761e+03
1.401401e-01	1.869672e+03
1.411411e-01	1.874582e+03
1.421421e-01	1.879492e+03
1.431431e-01	1.884402e+03
1.441441e-01	1.889313e+03
1.451451e-01	1.894223e+03
1.461461e-01	1.899133e+03
1.471471e-01	1.904043e+03
1.481481e-01	1.908954e+03
1.491491e-01	1.913864e+03
1.501502e-01	1.918774e+03
1.511512e-01	1.923684e+03
1.521522e-01	1.928595e+03
1.531532e-01	1.933505e+03
1.541542e-01	1.938415e+03
1.551552e-01	1.943326e+03
1.561562e-01	1.948236e+03
1.571572e-01	1.953146e+03
1.581582e-01	1.958056e+03
1.591592e-01	1.962967e+03
1.601602e-01	1.967877e+03
1.611612e-01	1.972787e+03
1.621622e-01	1.977697e+03
1.631632e-01	1.982608e+03
1.641642e-01	1.987518e+03
1.651652e-01	1.992428e+03
1.661662e-01	1.997338e+03
1.671672e-01	2.002249e+03
1.681682e-01	2.007159e+03
1.691692e-01	2.012069e+03
1.701702e-01	2.016979e+03
1.711712e-01	2.021890e+03
1.721722e-01	2.026800e+03
1.731732e-01	2.031710e+03
1.741742e-01	2.036620e+03
1.751752e-01	2.041531e+03
1.761762e-01	2.046441e+03
1.771772e-01	2.051351e+03
1.781782e-01	2.056262e+03
1.791792e-01	2.061172e+03
1.801802e-01	2.066082e+03
1.811812e-01	2.070992e+03
1.821822e-01	2.075903e+03
1.831832e-01	2.080813e+03
1.841842e-01	2.085723e+03
1.851852e-01	2.090633e+03
1.861862e-01	2.095544e+03
1.871872e-01	2.100454e+03
1.881882e-01	2.105364e+03
1.891892e-01	2.110274e+03
1.901902e-01	2.115185e+03
1.911912e-01	2.120095e+03
1.921922e-01	2.124533e+03
1.931932e-01	2.128259e+03
1.941942e-01	2.131985e+03
1.951952e-01	2.135712e+03
1.961962e-01	2.139438e+03
1.971972e-01	2.143164e+03
1.981982e-01	2.146890e+03
1.991992e-01	2.150616e+03
2.002002e-01	2.154342e+03
2.012012e-01	2.158069e+03
2.022022e-01	2.161795e+03
2.032032e-01	2.165521e+03
2.042042e-01	2.169247e+03
2.052052e-01	2.172973e+03
2.062062e-01	2.176699e+03
2.072072e-01	2.180426e+03
2.082082e-01	2.184152e+03
2.092092e-01	2.187878e+03
2.102102e-01	2.191604e+03
2.112112e-01	2.195330e+03
2.122122e-01	2.199056e+03
2.132132e-01	2.202783e+03
2.142142e-01	2.206509e+03
2.152152e-01	2.210235e+03
2.162162e-01	2.213961e+03
2.172172e-01	2.217687e+03
2.182182e-01	2.221413e+03
2.192192e-01	2.225140e+03
2.202202e-01	2.228866e+03
2.212212e-01	2.232592e+03
2.222222e-01	2.236318e+03
2.232232e-01	2.240044e+03
2.242242e-01	2.243770e+03
2.252252e-01	2.247497e+03
2.262262e-01	2.251223e+03
2.272272e-01	2.254949e+03
2.282282e-01	2.258675e+03
2.292292e-01	2.262401e+03
2.302302e-01	2.266127e+03
2.312312e-01	2.269854e+03
2.322322e-01	2.273580e+03
2.332332e-01	2.277306e+03
2.342342e-01	2.281032e+03
2.352352e-01	2.284758e+03
2.362362e-01	2.288484e+03
2.372372e-01	2.292211e+03
2.382382e-01	2.295937e+03
2.392392e-01	2.299663e+03
2.402402e-01	2.303389e+03
2.412412e-01	2.307115e+03
2.422422e-01	2.310841e+03
2.432432e-01	2.314568e+03
2.442442e-01	2.318294e+03
2.452452e-01	2.322020e+03
2.462462e-01	2.325746e+03
2.472472e-01	2.329472e+03
2.482482e-01	2.333198e+03
2.492492e-01	2.336925e+03
2.502503e-01	2.340651e+03
2.512513e-01	2.344377e+03
2.522523e-01	2.348103e+03
2.532533e-01	2.351829e+03
2.542543e-01	2.355555e+03
2.552553e-01	2.359282e+03
2.562563e-01	2.363008e+03
2.572573e-01	2.366734e+03
2.582583e-01	2.370460e+03
2.592593e-01	2.374186e+03
2.602603e-01	2.377912e+03
2.612613e-01	2.381639e+03
2.622623e-01	2.385365e+03
2.632633e-01	2.389091e+03
2.642643e-01	2.392817e+03
2.652653e-01	2.396543e+03
2.662663e-01	2.400269e+03
2.672673e-01	2.403996e+03
2.682683e-01	2.407722e+03
2.692693e-01	2.411448e+03
2.702703e-01	2.415174e+03
2.712713e-01	2.418900e+03
2.722723e-01	2.422626e+03
2.732733e-01	2.426353e+03
2.742743e-01	2.430079e+03
2.752753e-01	2.433805e+03
2.762763e-01	2.437531e+03
2.772773e-01	2.441257e+03
2.782783e-01	2.444983e+03
2.792793e-01	2.448710e+03
2.802803e-01	2.452436e+03
2.812813e-01	2.456162e+03
2.822823e-01	2.459888e+03
2.832833e-01	2.463614e+03
2.842843e-01	2.467340e+03
2.852853e-01	2.471067e+03
2.862863e-01	2.474793e+03
2.872873e-01	2.478519e+03
2.882883e-01	2.482245e+03
