# y_val	CDF(y)
1.930043e+02	3.165103e-03
5.790129e+02	1.108800e-02
9.650215e+02	2.800913e-02
1.351030e+03	5.972102e-02
1.737039e+03	1.131017e-01
2.123047e+03	1.917931e-01
2.509056e+03	2.954907e-01
2.895064e+03	4.172660e-01
3.281073e+03	5.451078e-01
3.667082e+03	6.668324e-01
4.053090e+03	7.702866e-01
4.439099e+03	8.513213e-01
4.825107e+03	9.098047e-01
5.211116e+03	9.488511e-01
5.597124e+03	9.732792e-01
5.983133e+03	9.872584e-01
6.369142e+03	9.946843e-01
6.755150e+03	9.983059e-01
7.141159e+03	9.998580e-01
7.527167e+03	1.000000e+00
7.913176e+03	1.000000e+00
8.299185e+03	1.000000e+00
8.685193e+03	1.000000e+00
9.071202e+03	1.000000e+00
9.457210e+03	1.000000e+00
9.843219e+03	1.000000e+00
1.022923e+04	1.000000e+00
1.061524e+04	1.000000e+00
1.100124e+04	1.000000e+00
