# q	y_q
0.000000e+00	1.588741e+02
1.001001e-03	7.966054e+02
2.002002e-03	8.875141e+02
3.003003e-03	9.784228e+02
4.004004e-03	1.069332e+03
5.005005e-03	1.132356e+03
6.006006e-03	1.170586e+03
7.007007e-03	1.208817e+03
8.008008e-03	1.247047e+03
9.009009e-03	1.285278e+03
1.001001e-02	1.323509e+03
1.101101e-02	1.361739e+03
1.201201e-02	1.399970e+03
1.301301e-02	1.433879e+03
1.401401e-02	1.452286e+03
1.501502e-02	1.470692e+03
1.601602e-02	1.489099e+03
1.701702e-02	1.507505e+03
1.801802e-02	1.525912e+03
1.901902e-02	1.544318e+03
2.002002e-02	1.562724e+03
2.102102e-02	1.581131e+03
2.202202e-02	1.599537e+03
2.302302e-02	1.617944e+03
2.402402e-02	1.636350e+03
2.502503e-02	1.654757e+03
2.602603e-02	1.673163e+03
2.702703e-02	1.691570e+03
2.802803e-02	1.709976e+03
2.902903e-02	1.728383e+03
3.003003e-02	1.746789e+03
3.103103e-02	1.757207e+03
3.203203e-02	1.767250e+03
3.303303e-02	1.777292e+03
3.403403e-02	1.787335e+03
3.503504e-02	1.797378e+03
3.603604e-02	1.807420e+03
3.703704e-02	1.817463e+03
3.803804e-02	1.827505e+03
3.903904e-02	1.837548e+03
4.004004e-02	1.847590e+03
4.104104e-02	1.857633e+03
4.204204e-02	1.867676e+03
4.304304e-02	1.877718e+03
4.404404e-02	1.887761e+03
4.504505e-02	1.897803e+03
4.604605e-02	1.907846e+03
4.704705e-02	1.917888e+03
4.804805e-02	1.927931e+03
4.904905e-02	1.937974e+03
5.005005e-02	1.948016e+03
5.105105e-02	1.958059e+03
5.205205e-02	1.968101e+03
5.305305e-02	1.978144e+03
5.405405e-02	1.988187e+03
5.505506e-02	1.998229e+03
5.605606e-02	2.008272e+03
5.705706e-02	2.018314e+03
5.805806e-02	2.028357e+03
5.905906e-02	2.038399e+03
6.006006e-02	2.048442e+03
6.106106e-02	2.058485e+03
6.206206e-02	2.067287e+03
6.306306e-02	2.073393e+03
6.406406e-02	2.079498e+03
6.506507e-02	2.085604e+03
6.606607e-02	2.091709e+03
6.706707e-02	2.097815e+03
6.806807e-02	2.103920e+03
6.906907e-02	2.110026e+03
7.007007e-02	2.116131e+03
7.107107e-02	2.122237e+03
7.207207e-02	2.128342e+03
7.307307e-02	2.134448e+03
7.407407e-02	2.140553e+03
7.507508e-02	2.146659e+03
7.607608e-02	2.152765e+03
7.707708e-02	2.158870e+03
7.807808e-02	2.164976e+03
7.907908e-02	2.171081e+03
8.008008e-02	2.177187e+03
8.108108e-02	2.183292e+03
8.208208e-02	2.189398e+03
8.308308e-02	2.195503e+03
8.408408e-02	2.201609e+03
8.508509e-02	2.207714e+03
8.608609e-02	2.213820e+03
8.708709e-02	2.219926e+03
8.808809e-02	2.226031e+03
8.908909e-02	2.232137e+03
9.009009e-02	2.238242e+03
9.109109e-02	2.244348e+03
9.209209e-02	2.250453e+03
9.309309e-02	2.256559e+03
9.409409e-02	2.262664e+03
9.509510e-02	2.268770e+03
9.609610e-02	2.274875e+03
9.709710e-02	2.280981e+03
9.809810e-02	2.287087e+03
9.909910e-02	2.293192e+03
1.001001e-01	2.299298e+03
1.011011e-01	2.305403e+03
1.021021e-01	2.311509e+03
1.031031e-01	2.317614e+03
1.041041e-01	2.323720e+03
1.051051e-01	2.329825e+03
1.061061e-01	2.335931e+03
1.071071e-01	2.342036e+03
1.081081e-01	2.348142e+03
1.091091e-01	2.354248e+03
1.101101e-01	2.360353e+03
1.111111e-01	2.366459e+03
1.121121e-01	2.372564e+03
1.131131e-01	2.378670e+03
1.141141e-01	2.384242e+03
1.151151e-01	2.388388e+03
1.161161e-01	2.392534e+03
1.171171e-01	2.396681e+03
1.181181e-01	2.400827e+03
1.191191e-01	2.404974e+03
1.201201e-01	2.409120e+03
1.211211e-01	2.413267e+03
1.221221e-01	2.417413e+03
1.231231e-01	2.421560e+03
1.241241e-01	2.425706e+03
1.251251e-01	2.429853e+03
1.261261e-01	2.433999e+03
1.271271e-01	2.438145e+03
1.281281e-01	2.442292e+03
1.291291e-01	2.446438e+03
1.301301e-01	2.450585e+03
1.311311e-01	2.454731e+03
1.321321e-01	2.458878e+03
1.331331e-01	2.463024e+03
1.341341e-01	2.467171e+03
1.351351e-01	2.471317e+03
1.361361e-01	2.475464e+03
1.371371e-01	2.479610e+03
1.381381e-01	2.483757e+03
1.391391e-01	2.487903e+03
1.401401e-01	2.492049e+03
1.411411e-01	2.496196e+03
1.421421e-01	2.500342e+03
1.431431e-01	2.504489e+03
1.441441e-01	2.508635e+03
1.451451e-01	2.512782e+03
1.461461e-01	2.516928e+03
1.471471e-01	2.521075e+03
1.481481e-01	2.525221e+03
1.491491e-01	2.529368e+03
1.501502e-01	2.533514e+03
1.511512e-01	2.537661e+03
1.521522e-01	2.541807e+03
1.531532e-01	2.545953e+03
1.541542e-01	2.550100e+03
1.551552e-01	2.554246e+03
1.561562e-01	2.558393e+03
1.571572e-01	2.562539e+03
1.581582e-01	2.566686e+03
1.591592e-01	2.570832e+03
1.601602e-01	2.574979e+03
1.611612e-01	2.579125e+03
1.621622e-01	2.583272e+03
1.631632e-01	2.587418e+03
1.641642e-01	2.591564e+03
1.651652e-01	2.595711e+03
1.661662e-01	2.599857e+03
1.671672e-01	2.604004e+03
1.681682e-01	2.608150e+03
1.691692e-01	2.612297e+03
1.701702e-01	2.616443e+03
1.711712e-01	2.620590e+03
1.721722e-01	2.624736e+03
1.731732e-01	2.628883e+03
1.741742e-01	2.633029e+03
1.751752e-01	2.637176e+03
1.761762e-01	2.641322e+03
1.771772e-01	2.645468e+03
1.781782e-01	2.649615e+03
1.791792e-01	2.653761e+03
1.801802e-01	2.657908e+03
1.811812e-01	2.662054e+03
1.821822e-01	2.666201e+03
1.831832e-01	2.670347e+03
1.841842e-01	2.674494e+03
1.851852e-01	2.678640e+03
1.861862e-01	2.682787e+03
1.871872e-01	2.686933e+03
1.881882e-01	2.691080e+03
1.891892e-01	2.695226e+03
1.901902e-01	2.699372e+03
1.911912e-01	2.702866e+03
1.921922e-01	2.705993e+03
1.931932e-01	2.709121e+03
1.941942e-01	2.712248e+03
1.951952e-01	2.715376e+03
1.961962e-01	2.718503e+03
1.971972e-01	2.721631e+03
1.981982e-01	2.724759e+03
1.991992e-01	2.727886e+03
2.002002e-01	2.731014e+03
2.012012e-01	2.734141e+03
2.022022e-01	2.737269e+03
2.032032e-01	2.740396e+03
2.042042e-01	2.743524e+03
2.052052e-01	2.746652e+03
2.062062e-01	2.749779e+03
2.072072e-01	2.752907e+03
2.082082e-01	2.756034e+03
2.092092e-01	2.759162e+03
2.102102e-01	2.762289e+03
2.112112e-01	2.765417e+03
2.122122e-01	2.768545e+03
2.132132e-01	2.771672e+03
2.142142e-01	2.774800e+03
2.152152e-01	2.777927e+03
2.162162e-01	2.781055e+03
2.172172e-01	2.784182e+03
2.182182e-01	2.787310e+03
2.192192e-01	2.790438e+03
2.202202e-01	2.793565e+03
2.212212e-01	2.796693e+03
2.222222e-01	2.799820e+03
2.232232e-01	2.802948e+03
2.242242e-01	2.806075e+03
2.252252e-01	2.809203e+03
2.262262e-01	2.812331e+03
2.272272e-01	2.815458e+03
2.282282e-01	2.818586e+03
2.292292e-01	2.821713e+03
2.302302e-01	2.824841e+03
2.312312e-01	2.827968e+03
2.322322e-01	2.831096e+03
2.332332e-01	2.834224e+03
2.342342e-01	2.837351e+03
2.352352e-01	2.840479e+03
2.362362e-01	2.843606e+03
2.372372e-01	2.846734e+03
2.382382e-01	2.849861e+03
2.392392e-01	2.852989e+03
2.402402e-01	2.856117e+03
2.412412e-01	2.859244e+03
2.422422e-01	2.862372e+03
2.432432e-01	2.865499e+03
2.442442e-01	2.868627e+03
2.452452e-01	2.871754e+03
2.462462e-01	2.874882e+03
2.472472e-01	2.878010e+03
2.482482e-01	2.881137e+03
2.492492e-01	2.884265e+03
2.502503e-01	2.887392e+03
2.512513e-01	2.890520e+03
2.522523e-01	2.893647e+03
2.532533e-01	2.896775e+03
2.542543e-01	2.899903e+03
2.552553e-01	2.903030e+03
2.562563e-01	2.906158e+03
2.572573e-01	2.909285e+03
2.582583e-01	2.912413e+03
2.592593e-01	2.915541e+03
2.602603e-01	2.918668e+03
2.612613e-01	2.921796e+03
2.622623e-01	2.924923e+03
2.632633e-01	2.928051e+03
2.642643e-01	2.931178e+03
2.652653e-01	2.934306e+03
2.662663e-01	2.937434e+03
2.672673e-01	2.940561e+03
2.682683e-01	2.943689e+03
2.692693e-01	2.946816e+03
2.702703e-01	2.949944e+03
2.712713e-01	2.953071e+03
2.722723e-01	2.956199e+03
2.732733e-01	2.959327e+03
2.742743e-01	2.962454e+03
2.752753e-01	2.965582e+03
2.762763e-01	2.968709e+03
2.772773e-01	2.971837e+03
2.782783e-01	2.974964e+03
2.792793e-01	2.978092e+03
2.802803e-01	2.981220e+03
2.812813e-01	2.984347e+03
2.822823e-01	2.987475e+03
2.832833e-01	2.990602e+03
2.842843e-01	2.993730e+03
2.852853e-01	2.996857e+03
2.862863e-01	2.999985e+03
2.872873e-01	3.003113e+03
2.882883e-01	3.006240e+03
2.892893e-01	3.009368e+03
2.902903e-01	3.012495e+03
2.912913e-01	3.015623e+03
2.922923e-01	3.018730e+03
2.932933e-01	3.021414e+03
2.942943e-01	3.024098e+03
2.952953e-01	3.026782e+03
2.962963e-01	3.029466e+03
2.972973e-01	3.032150e+03
2.982983e-01	3.034834e+03
2.992993e-01	3.037517e+03
3.003003e-01	3.040201e+03
3.013013e-01	3.042885e+03
3.023023e-01	3.045569e+03
3.033033e-01	3.048253e+03
3.043043e-01	3.050937e+03
3.053053e-01	3.053621e+03
3.063063e-01	3.056305e+03
3.073073e-01	3.058988e+03
3.083083e-01	3.061672e+03
3.093093e-01	3.064356e+03
3.103103e-01	3.067040e+03
3.113113e-01	3.069724e+03
3.123123e-01	3.072408e+03
3.133133e-01	3.075092e+03
3.143143e-01	3.077776e+03
3.153153e-01	3.080460e+03
3.163163e-01	3.083143e+03
3.173173e-01	3.085827e+03
3.183183e-01	3.088511e+03
3.193193e-01	3.091195e+03
3.203203e-01	3.093879e+03
3.213213e-01	3.096563e+03
3.223223e-01	3.099247e+03
3.233233e-01	3.101931e+03
3.243243e-01	3.104614e+03
3.253253e-01	3.107298e+03
3.263263e-01	3.109982e+03
3.273273e-01	3.112666e+03
3.283283e-01	3.115350e+03
3.293293e-01	3.118034e+03
3.303303e-01	3.120718e+03
3.313313e-01	3.123402e+03
3.323323e-01	3.126086e+03
3.333333e-01	3.128769e+03
3.343343e-01	3.131453e+03
3.353353e-01	3.134137e+03
3.363363e-01	3.136821e+03
3.373373e-01	3.139505e+03
3.383383e-01	3.142189e+03
3.393393e-01	3.144873e+03
3.403403e-01	3.147557e+03
3.413413e-01	3.150240e+03
3.423423e-01	3.152924e+03
3.433433e-01	3.155608e+03
3.443443e-01	3.158292e+03
3.453453e-01	3.160976e+03
3.463463e-01	3.163660e+03
3.473473e-01	3.166344e+03
3.483483e-01	3.169028e+03
3.493493e-01	3.171712e+03
3.503504e-01	3.174395e+03
3.513514e-01	3.177079e+03
3.523524e-01	3.179763e+03
3.533534e-01	3.182447e+03
3.543544e-01	3.185131e+03
3.553554e-01	3.187815e+03
3.563564e-01	3.190499e+03
3.573574e-01	3.193183e+03
3.583584e-01	3.195866e+03
3.593594e-01	3.198550e+03
3.603604e-01	3.201234e+03
3.613614e-01	3.203918e+03
3.623624e-01	3.206602e+03
3.633634e-01	3.209286e+03
3.643644e-01	3.211970e+03
3.653654e-01	3.214654e+03
3.663664e-01	3.217338e+03
3.673674e-01	3.220021e+03
3.683684e-01	3.222705e+03
3.693694e-01	3.225389e+03
3.703704e-01	3.228073e+03
3.713714e-01	3.230757e+03
3.723724e-01	3.233441e+03
3.733734e-01	3.236125e+03
3.743744e-01	3.238809e+03
3.753754e-01	3.241492e+03
3.763764e-01	3.244176e+03
3.773774e-01	3.246860e+03
3.783784e-01	3.249544e+03
3.793794e-01	3.252228e+03
3.803804e-01	3.254912e+03
3.813814e-01	3.257596e+03
3.823824e-01	3.260280e+03
3.833834e-01	3.262964e+03
3.843844e-01	3.265647e+03
3.853854e-01	3.268331e+03
3.863864e-01	3.271015e+03
3.873874e-01	3.273699e+03
3.883884e-01	3.276383e+03
3.893894e-01	3.279067e+03
3.903904e-01	3.281751e+03
3.913914e-01	3.284435e+03
3.923924e-01	3.287118e+03
3.933934e-01	3.289802e+03
3.943944e-01	3.292486e+03
3.953954e-01	3.295170e+03
3.963964e-01	3.297854e+03
3.973974e-01	3.300538e+03
3.983984e-01	3.303222e+03
3.993994e-01	3.305906e+03
4.004004e-01	3.308590e+03
4.014014e-01	3.311273e+03
4.024024e-01	3.313957e+03
4.034034e-01	3.316641e+03
4.044044e-01	3.319325e+03
4.054054e-01	3.322009e+03
4.064064e-01	3.324693e+03
4.074074e-01	3.327377e+03
4.084084e-01	3.330061e+03
4.094094e-01	3.332744e+03
4.104104e-01	3.335428e+03
4.114114e-01	3.338029e+03
4.124124e-01	3.340587e+03
4.134134e-01	3.343144e+03
4.144144e-01	3.345701e+03
