# y_val	CDF(y)
1.588741e+02	1.017077e-20
4.766224e+02	2.034153e-20
7.943706e+02	9.763936e-04
1.112119e+03	4.475138e-03
1.429867e+03	1.279483e-02
1.747615e+03	3.007496e-02
2.065364e+03	6.174673e-02
2.383112e+03	1.138414e-01
2.700860e+03	1.905493e-01
3.018608e+03	2.922468e-01
3.336357e+03	4.107566e-01
3.654105e+03	5.351349e-01
3.971853e+03	6.524751e-01
4.289601e+03	7.533182e-01
4.607350e+03	8.332503e-01
4.925098e+03	8.925255e-01
5.242846e+03	9.340731e-01
5.560594e+03	9.618088e-01
5.878343e+03	9.794245e-01
6.196091e+03	9.900428e-01
6.513839e+03	9.958300e-01
6.831587e+03	9.987693e-01
7.149336e+03	1.000000e+00
7.467084e+03	1.000000e+00
7.784832e+03	1.000000e+00
8.102580e+03	1.000000e+00
8.420329e+03	1.000000e+00
8.738077e+03	1.000000e+00
9.055825e+03	1.000000e+00
