# x_val	y_val	p(x,y)
0.000000e+00	0.000000e+00	2.019674e-06
0.000000e+00	6.169403e+00	2.036505e-06
0.000000e+00	1.233881e+01	2.053453e-06
0.000000e+00	1.850821e+01	2.070519e-06
0.000000e+00	2.467761e+01	2.087704e-06
0.000000e+00	3.084702e+01	2.105008e-06
0.000000e+00	3.701642e+01	2.122432e-06
0.000000e+00	4.318582e+01	2.139976e-06
0.000000e+00	4.935523e+01	2.157642e-06
0.000000e+00	5.552463e+01	2.175429e-06
0.000000e+00	6.169403e+01	2.193338e-06
0.000000e+00	6.786344e+01	2.211370e-06
0.000000e+00	7.403284e+01	2.229525e-06
0.000000e+00	8.020224e+01	2.247805e-06
0.000000e+00	8.637165e+01	2.266209e-06
0.000000e+00	9.254105e+01	2.284739e-06
0.000000e+00	9.871045e+01	2.303394e-06
0.000000e+00	1.048799e+02	2.322176e-06
0.000000e+00	1.110493e+02	2.341085e-06
0.000000e+00	1.172187e+02	2.360122e-06
0.000000e+00	1.233881e+02	2.379287e-06
0.000000e+00	1.295575e+02	2.398581e-06
0.000000e+00	1.357269e+02	2.418005e-06
0.000000e+00	1.418963e+02	2.437559e-06
0.000000e+00	1.480657e+02	2.457243e-06
0.000000e+00	1.542351e+02	2.477059e-06
0.000000e+00	1.604045e+02	2.497008e-06
0.000000e+00	1.665739e+02	2.517088e-06
0.000000e+00	1.727433e+02	2.537303e-06
0.000000e+00	1.789127e+02	2.557651e-06
0.000000e+00	1.850821e+02	2.578133e-06
0.000000e+00	1.912515e+02	2.598751e-06
0.000000e+00	1.974209e+02	2.619504e-06
0.000000e+00	2.035903e+02	2.640394e-06
0.000000e+00	2.097597e+02	2.661421e-06
0.000000e+00	2.159291e+02	2.682585e-06
0.000000e+00	2.220985e+02	2.703888e-06
0.000000e+00	2.282679e+02	2.725329e-06
0.000000e+00	2.344373e+02	2.746910e-06
0.000000e+00	2.406067e+02	2.768632e-06
0.000000e+00	2.467761e+02	2.790494e-06
0.000000e+00	2.529455e+02	2.812497e-06
0.000000e+00	2.591149e+02	2.834642e-06
0.000000e+00	2.652843e+02	2.856930e-06
0.000000e+00	2.714537e+02	2.879361e-06
0.000000e+00	2.776232e+02	2.901936e-06
0.000000e+00	2.837926e+02	2.924655e-06
0.000000e+00	2.899620e+02	2.947520e-06
0.000000e+00	2.961314e+02	2.970530e-06
0.000000e+00	3.023008e+02	2.993687e-06
0.000000e+00	3.084702e+02	3.016990e-06
0.000000e+00	3.146396e+02	3.040441e-06
0.000000e+00	3.208090e+02	3.064041e-06
0.000000e+00	3.269784e+02	3.087789e-06
0.000000e+00	3.331478e+02	3.111687e-06
0.000000e+00	3.393172e+02	3.135734e-06
0.000000e+00	3.454866e+02	3.159933e-06
0.000000e+00	3.516560e+02	3.184283e-06
0.000000e+00	3.578254e+02	3.208785e-06
0.000000e+00	3.639948e+02	3.233439e-06
0.000000e+00	3.701642e+02	3.258247e-06
0.000000e+00	3.763336e+02	3.283208e-06
0.000000e+00	3.825030e+02	3.308324e-06
