# y_val	p(y)
3.321905e+02	6.150697e-03
9.965714e+02	1.124757e-02
1.660952e+03	1.879661e-02
2.325333e+03	2.892956e-02
2.989714e+03	4.226451e-02
3.654095e+03	5.715994e-02
4.318476e+03	7.150819e-02
4.982857e+03	8.534979e-02
5.647238e+03	9.478356e-02
6.311619e+03	9.824903e-02
6.976000e+03	9.748906e-02
7.640381e+03	9.052772e-02
8.304762e+03	7.869244e-02
8.969142e+03	6.575268e-02
9.633523e+03	5.132336e-02
1.029790e+04	3.774522e-02
1.096229e+04	2.597074e-02
1.162667e+04	1.710441e-02
1.229105e+04	1.041667e-02
1.295543e+04	5.846709e-03
1.361981e+04	3.039883e-03
1.428419e+04	1.367947e-03
1.494857e+04	2.837224e-04
1.561295e+04	1.013294e-20
1.627733e+04	1.013294e-20
1.694171e+04	1.013294e-20
1.760609e+04	1.013294e-20
1.827048e+04	1.013294e-20
1.893486e+04	1.013294e-20
