# # p(y | x = 8.200000e-02)
# # y_val	p(y|x)
0.000000e+00	4.131292e-06
3.644598e+00	4.160888e-06
7.289197e+00	4.190676e-06
1.093380e+01	4.220657e-06
1.457839e+01	4.250832e-06
1.822299e+01	4.281203e-06
2.186759e+01	4.311770e-06
2.551219e+01	4.342535e-06
2.915679e+01	4.373498e-06
3.280139e+01	4.404661e-06
3.644598e+01	4.436026e-06
4.009058e+01	4.467592e-06
4.373518e+01	4.499361e-06
4.737978e+01	4.531335e-06
5.102438e+01	4.563514e-06
5.466898e+01	4.595900e-06
5.831357e+01	4.628493e-06
6.195817e+01	4.661296e-06
6.560277e+01	4.694308e-06
6.924737e+01	4.727532e-06
7.289197e+01	4.760968e-06
7.653657e+01	4.794618e-06
8.018116e+01	4.828483e-06
8.382576e+01	4.862564e-06
8.747036e+01	4.896862e-06
9.111496e+01	4.931379e-06
9.475956e+01	4.966115e-06
9.840416e+01	5.001072e-06
1.020488e+02	5.036251e-06
1.056934e+02	5.071653e-06
1.093380e+02	5.107280e-06
1.129825e+02	5.143132e-06
1.166271e+02	5.179212e-06
1.202717e+02	5.215520e-06
1.239163e+02	5.252057e-06
1.275609e+02	5.288826e-06
1.312055e+02	5.325826e-06
1.348501e+02	5.363059e-06
1.384947e+02	5.400527e-06
1.421393e+02	5.438231e-06
1.457839e+02	5.476172e-06
1.494285e+02	5.514352e-06
1.530731e+02	5.552771e-06
1.567177e+02	5.591431e-06
1.603623e+02	5.630334e-06
1.640069e+02	5.669480e-06
1.676515e+02	5.708871e-06
1.712961e+02	5.748509e-06
1.749407e+02	5.788394e-06
1.785853e+02	5.828528e-06
1.822299e+02	5.868913e-06
1.858745e+02	5.909549e-06
1.895191e+02	5.950438e-06
1.931637e+02	5.991581e-06
1.968083e+02	6.032981e-06
2.004529e+02	6.074637e-06
2.040975e+02	6.116552e-06
2.077421e+02	6.158726e-06
2.113867e+02	6.201162e-06
2.150313e+02	6.243861e-06
2.186759e+02	6.286824e-06
2.223205e+02	6.330052e-06
2.259651e+02	6.373547e-06
2.296097e+02	6.417310e-06
2.332543e+02	6.461343e-06
2.368989e+02	6.505647e-06
2.405435e+02	6.550224e-06
2.441881e+02	6.595075e-06
2.478327e+02	6.640201e-06
2.514773e+02	6.685604e-06
2.551219e+02	6.731285e-06
2.587665e+02	6.777247e-06
2.624111e+02	6.823490e-06
2.660557e+02	6.870015e-06
2.697003e+02	6.916825e-06
2.733449e+02	6.963920e-06
2.769895e+02	7.011303e-06
2.806341e+02	7.058974e-06
2.842787e+02	7.106936e-06
2.879233e+02	7.155190e-06
2.915679e+02	7.203737e-06
2.952125e+02	7.252578e-06
2.988571e+02	7.301717e-06
3.025017e+02	7.351153e-06
3.061463e+02	7.400888e-06
3.097909e+02	7.450924e-06
3.134355e+02	7.501263e-06
3.170801e+02	7.551906e-06
3.207247e+02	7.602855e-06
3.243693e+02	7.654111e-06
3.280139e+02	7.705676e-06
3.316585e+02	7.757551e-06
3.353030e+02	7.809739e-06
3.389476e+02	7.862240e-06
3.425922e+02	7.915056e-06
3.462368e+02	7.968189e-06
3.498814e+02	8.021640e-06
3.535260e+02	8.075412e-06
3.571706e+02	8.129505e-06
3.608152e+02	8.183922e-06
3.644598e+02	8.238663e-06
3.681044e+02	8.293732e-06
3.717490e+02	8.349128e-06
3.753936e+02	8.404855e-06
3.790382e+02	8.460913e-06
3.826828e+02	8.517305e-06
3.863274e+02	8.574031e-06
3.899720e+02	8.631094e-06
3.936166e+02	8.688496e-06
3.972612e+02	8.746238e-06
4.009058e+02	8.804321e-06
4.045504e+02	8.862748e-06
4.081950e+02	8.921520e-06
4.118396e+02	8.980639e-06
4.154842e+02	9.040107e-06
4.191288e+02	9.099925e-06
4.227734e+02	9.160096e-06
4.264180e+02	9.220620e-06
4.300626e+02	9.281500e-06
4.337072e+02	9.342738e-06
4.373518e+02	9.404335e-06
4.409964e+02	9.466292e-06
4.446410e+02	9.528613e-06
4.482856e+02	9.591298e-06
4.519302e+02	9.654349e-06
4.555748e+02	9.717769e-06
4.592194e+02	9.781559e-06
4.628640e+02	9.845720e-06
4.665086e+02	9.910256e-06
4.701532e+02	9.975166e-06
4.737978e+02	1.004045e-05
4.774424e+02	1.010612e-05
4.810870e+02	1.017217e-05
4.847316e+02	1.023860e-05
4.883762e+02	1.030542e-05
4.920208e+02	1.037262e-05
4.956654e+02	1.044021e-05
4.993100e+02	1.050819e-05
5.029546e+02	1.057656e-05
5.065992e+02	1.064533e-05
5.102438e+02	1.071450e-05
5.138884e+02	1.078406e-05
5.175330e+02	1.085402e-05
5.211776e+02	1.092438e-05
5.248222e+02	1.099515e-05
5.284668e+02	1.106632e-05
5.321114e+02	1.113790e-05
5.357560e+02	1.120989e-05
5.394006e+02	1.128230e-05
5.430452e+02	1.135511e-05
5.466898e+02	1.142834e-05
5.503344e+02	1.150199e-05
5.539790e+02	1.157606e-05
5.576235e+02	1.165055e-05
5.612681e+02	1.172546e-05
5.649127e+02	1.180080e-05
5.685573e+02	1.187656e-05
5.722019e+02	1.195276e-05
5.758465e+02	1.202939e-05
5.794911e+02	1.210645e-05
5.831357e+02	1.218394e-05
5.867803e+02	1.226187e-05
