# x_val	y_val	p(x,y)
0.000000e+00	0.000000e+00	2.138988e-07
0.000000e+00	3.644598e+00	2.164541e-07
0.000000e+00	7.289197e+00	2.190376e-07
0.000000e+00	1.093380e+01	2.216494e-07
0.000000e+00	1.457839e+01	2.242899e-07
0.000000e+00	1.822299e+01	2.269594e-07
0.000000e+00	2.186759e+01	2.296580e-07
0.000000e+00	2.551219e+01	2.323861e-07
0.000000e+00	2.915679e+01	2.351441e-07
0.000000e+00	3.280139e+01	2.379321e-07
0.000000e+00	3.644598e+01	2.407505e-07
0.000000e+00	4.009058e+01	2.435996e-07
0.000000e+00	4.373518e+01	2.464797e-07
0.000000e+00	4.737978e+01	2.493910e-07
0.000000e+00	5.102438e+01	2.523339e-07
0.000000e+00	5.466898e+01	2.553088e-07
0.000000e+00	5.831357e+01	2.583158e-07
0.000000e+00	6.195817e+01	2.613553e-07
0.000000e+00	6.560277e+01	2.644277e-07
0.000000e+00	6.924737e+01	2.675332e-07
0.000000e+00	7.289197e+01	2.706722e-07
0.000000e+00	7.653657e+01	2.738449e-07
0.000000e+00	8.018116e+01	2.770518e-07
0.000000e+00	8.382576e+01	2.802931e-07
0.000000e+00	8.747036e+01	2.835692e-07
0.000000e+00	9.111496e+01	2.868803e-07
0.000000e+00	9.475956e+01	2.902270e-07
0.000000e+00	9.840416e+01	2.936094e-07
0.000000e+00	1.020488e+02	2.970279e-07
0.000000e+00	1.056934e+02	3.004829e-07
0.000000e+00	1.093380e+02	3.039747e-07
0.000000e+00	1.129825e+02	3.075036e-07
0.000000e+00	1.166271e+02	3.110701e-07
0.000000e+00	1.202717e+02	3.146744e-07
0.000000e+00	1.239163e+02	3.183170e-07
0.000000e+00	1.275609e+02	3.219981e-07
0.000000e+00	1.312055e+02	3.257182e-07
0.000000e+00	1.348501e+02	3.294776e-07
0.000000e+00	1.384947e+02	3.332767e-07
0.000000e+00	1.421393e+02	3.371159e-07
0.000000e+00	1.457839e+02	3.409955e-07
0.000000e+00	1.494285e+02	3.449159e-07
0.000000e+00	1.530731e+02	3.488775e-07
0.000000e+00	1.567177e+02	3.528807e-07
0.000000e+00	1.603623e+02	3.569258e-07
0.000000e+00	1.640069e+02	3.610134e-07
0.000000e+00	1.676515e+02	3.651436e-07
0.000000e+00	1.712961e+02	3.693171e-07
0.000000e+00	1.749407e+02	3.735340e-07
0.000000e+00	1.785853e+02	3.777949e-07
0.000000e+00	1.822299e+02	3.821002e-07
0.000000e+00	1.858745e+02	3.864503e-07
0.000000e+00	1.895191e+02	3.908455e-07
0.000000e+00	1.931637e+02	3.952863e-07
