# y_val	p(y)
2.412347e+02	1.016963e-20
7.237041e+02	8.237400e-04
1.206174e+03	3.071228e-03
1.688643e+03	7.667901e-03
2.171112e+03	1.591547e-02
2.653582e+03	2.911565e-02
3.136051e+03	4.621080e-02
3.618521e+03	6.602123e-02
4.100990e+03	8.349266e-02
4.583459e+03	9.703860e-02
5.065929e+03	1.051743e-01
5.548398e+03	1.049709e-01
6.030868e+03	9.909287e-02
6.513337e+03	8.887239e-02
6.995807e+03	7.400439e-02
7.478276e+03	5.895334e-02
7.960745e+03	4.362771e-02
8.443215e+03	3.065126e-02
8.925684e+03	2.032909e-02
9.408154e+03	1.239678e-02
9.890623e+03	7.078062e-03
1.037309e+04	3.640727e-03
1.085556e+04	1.606801e-03
1.133803e+04	2.440711e-04
1.182050e+04	1.016963e-20
1.230297e+04	1.016963e-20
1.278544e+04	1.016963e-20
1.326791e+04	1.016963e-20
1.375038e+04	1.016963e-20
