# # p(y | x = 3.300000e-02)
# # y_val	p(y|x)
0.000000e+00	3.328225e-05
2.897812e+00	3.348050e-05
5.795625e+00	3.367974e-05
8.693437e+00	3.388000e-05
1.159125e+01	3.408126e-05
1.448906e+01	3.428353e-05
1.738687e+01	3.448683e-05
2.028469e+01	3.469114e-05
2.318250e+01	3.489648e-05
2.608031e+01	3.510285e-05
2.897812e+01	3.531025e-05
3.187594e+01	3.551869e-05
3.477375e+01	3.572817e-05
3.767156e+01	3.593869e-05
4.056937e+01	3.615026e-05
4.346718e+01	3.636289e-05
4.636500e+01	3.657657e-05
4.926281e+01	3.679131e-05
5.216062e+01	3.700711e-05
5.505843e+01	3.722399e-05
5.795625e+01	3.744193e-05
6.085406e+01	3.766095e-05
6.375187e+01	3.788106e-05
6.664968e+01	3.810224e-05
6.954750e+01	3.832451e-05
7.244531e+01	3.854788e-05
7.534312e+01	3.877234e-05
7.824093e+01	3.899790e-05
8.113874e+01	3.922457e-05
8.403656e+01	3.945234e-05
8.693437e+01	3.968122e-05
8.983218e+01	3.991123e-05
9.272999e+01	4.014235e-05
9.562781e+01	4.037459e-05
9.852562e+01	4.060796e-05
1.014234e+02	4.084247e-05
1.043212e+02	4.107811e-05
1.072191e+02	4.131489e-05
1.101169e+02	4.155282e-05
1.130147e+02	4.179189e-05
1.159125e+02	4.203212e-05
1.188103e+02	4.227350e-05
1.217081e+02	4.251604e-05
1.246059e+02	4.275975e-05
1.275037e+02	4.300462e-05
1.304016e+02	4.325067e-05
1.332994e+02	4.349790e-05
1.361972e+02	4.374630e-05
1.390950e+02	4.399589e-05
1.419928e+02	4.424667e-05
1.448906e+02	4.449864e-05
1.477884e+02	4.475181e-05
1.506862e+02	4.500619e-05
1.535841e+02	4.526176e-05
1.564819e+02	4.551855e-05
1.593797e+02	4.577655e-05
1.622775e+02	4.603577e-05
1.651753e+02	4.629621e-05
1.680731e+02	4.655788e-05
1.709709e+02	4.682077e-05
1.738687e+02	4.708490e-05
1.767666e+02	4.735027e-05
1.796644e+02	4.761689e-05
1.825622e+02	4.788475e-05
1.854600e+02	4.815386e-05
1.883578e+02	4.842422e-05
1.912556e+02	4.869585e-05
1.941534e+02	4.896874e-05
1.970512e+02	4.924289e-05
1.999490e+02	4.951832e-05
2.028469e+02	4.979502e-05
2.057447e+02	5.007301e-05
2.086425e+02	5.035228e-05
2.115403e+02	5.063284e-05
2.144381e+02	5.091469e-05
2.173359e+02	5.119783e-05
2.202337e+02	5.148228e-05
2.231315e+02	5.176804e-05
2.260294e+02	5.205510e-05
2.289272e+02	5.234348e-05
2.318250e+02	5.263318e-05
2.347228e+02	5.292419e-05
2.376206e+02	5.321654e-05
2.405184e+02	5.351021e-05
2.434162e+02	5.380522e-05
2.463140e+02	5.410157e-05
2.492119e+02	5.439927e-05
2.521097e+02	5.469831e-05
2.550075e+02	5.499870e-05
2.579053e+02	5.530045e-05
2.608031e+02	5.560356e-05
2.637009e+02	5.590803e-05
