# # p(y | x = 1.300000e+00)
# # y_val	p(y|x)
0.000000e+00	1.179055e-05
2.897812e+00	1.187132e-05
5.795625e+00	1.195257e-05
8.693437e+00	1.203431e-05
1.159125e+01	1.211655e-05
1.448906e+01	1.219929e-05
1.738687e+01	1.228252e-05
2.028469e+01	1.236626e-05
2.318250e+01	1.245050e-05
2.608031e+01	1.253524e-05
2.897812e+01	1.262050e-05
3.187594e+01	1.270627e-05
3.477375e+01	1.279255e-05
3.767156e+01	1.287935e-05
4.056937e+01	1.296667e-05
4.346718e+01	1.305451e-05
4.636500e+01	1.314288e-05
4.926281e+01	1.323178e-05
5.216062e+01	1.332120e-05
5.505843e+01	1.341116e-05
5.795625e+01	1.350165e-05
6.085406e+01	1.359268e-05
6.375187e+01	1.368425e-05
6.664968e+01	1.377636e-05
6.954750e+01	1.386902e-05
7.244531e+01	1.396223e-05
7.534312e+01	1.405599e-05
7.824093e+01	1.415030e-05
8.113874e+01	1.424518e-05
8.403656e+01	1.434060e-05
8.693437e+01	1.443660e-05
8.983218e+01	1.453315e-05
9.272999e+01	1.463028e-05
9.562781e+01	1.472797e-05
9.852562e+01	1.482624e-05
1.014234e+02	1.492508e-05
1.043212e+02	1.502450e-05
1.072191e+02	1.512451e-05
1.101169e+02	1.522510e-05
1.130147e+02	1.532627e-05
1.159125e+02	1.542804e-05
1.188103e+02	1.553039e-05
1.217081e+02	1.563335e-05
1.246059e+02	1.573690e-05
1.275037e+02	1.584105e-05
1.304016e+02	1.594580e-05
1.332994e+02	1.605117e-05
1.361972e+02	1.615714e-05
1.390950e+02	1.626373e-05
1.419928e+02	1.637093e-05
1.448906e+02	1.647875e-05
1.477884e+02	1.658719e-05
1.506862e+02	1.669626e-05
1.535841e+02	1.680595e-05
1.564819e+02	1.691627e-05
1.593797e+02	1.702723e-05
1.622775e+02	1.713882e-05
1.651753e+02	1.725105e-05
1.680731e+02	1.736393e-05
1.709709e+02	1.747744e-05
1.738687e+02	1.759161e-05
1.767666e+02	1.770643e-05
1.796644e+02	1.782190e-05
1.825622e+02	1.793803e-05
1.854600e+02	1.805482e-05
1.883578e+02	1.817227e-05
1.912556e+02	1.829039e-05
1.941534e+02	1.840918e-05
1.970512e+02	1.852864e-05
1.999490e+02	1.864878e-05
2.028469e+02	1.876959e-05
2.057447e+02	1.889109e-05
2.086425e+02	1.901327e-05
2.115403e+02	1.913614e-05
2.144381e+02	1.925970e-05
2.173359e+02	1.938395e-05
2.202337e+02	1.950890e-05
2.231315e+02	1.963456e-05
2.260294e+02	1.976091e-05
2.289272e+02	1.988798e-05
2.318250e+02	2.001575e-05
2.347228e+02	2.014423e-05
2.376206e+02	2.027344e-05
2.405184e+02	2.040336e-05
2.434162e+02	2.053400e-05
2.463140e+02	2.066537e-05
2.492119e+02	2.079747e-05
2.521097e+02	2.093030e-05
2.550075e+02	2.106387e-05
2.579053e+02	2.119818e-05
2.608031e+02	2.133323e-05
2.637009e+02	2.146902e-05
2.665987e+02	2.160557e-05
2.694965e+02	2.174287e-05
2.723944e+02	2.188092e-05
2.752922e+02	2.201973e-05
2.781900e+02	2.215930e-05
2.810878e+02	2.229964e-05
2.839856e+02	2.244074e-05
2.868834e+02	2.258262e-05
2.897812e+02	2.272528e-05
2.926790e+02	2.286871e-05
2.955769e+02	2.301293e-05
2.984747e+02	2.315793e-05
3.013725e+02	2.330372e-05
3.042703e+02	2.345030e-05
3.071681e+02	2.359768e-05
3.100659e+02	2.374586e-05
3.129637e+02	2.389484e-05
3.158615e+02	2.404462e-05
3.187594e+02	2.419522e-05
3.216572e+02	2.434663e-05
3.245550e+02	2.449886e-05
3.274528e+02	2.465190e-05
3.303506e+02	2.480577e-05
3.332484e+02	2.496047e-05
3.361462e+02	2.511599e-05
3.390440e+02	2.527235e-05
3.419419e+02	2.542955e-05
3.448397e+02	2.558759e-05
3.477375e+02	2.574648e-05
3.506353e+02	2.590621e-05
3.535331e+02	2.606679e-05
3.564309e+02	2.622823e-05
3.593287e+02	2.639053e-05
3.622265e+02	2.655368e-05
3.651244e+02	2.671771e-05
3.680222e+02	2.688260e-05
3.709200e+02	2.704837e-05
3.738178e+02	2.721502e-05
3.767156e+02	2.738254e-05
3.796134e+02	2.755095e-05
3.825112e+02	2.772025e-05
3.854090e+02	2.789043e-05
3.883069e+02	2.806152e-05
3.912047e+02	2.823350e-05
3.941025e+02	2.840638e-05
3.970003e+02	2.858017e-05
3.998981e+02	2.875487e-05
4.027959e+02	2.893048e-05
4.056937e+02	2.910701e-05
4.085915e+02	2.928446e-05
4.114893e+02	2.946283e-05
4.143872e+02	2.964213e-05
4.172850e+02	2.982236e-05
4.201828e+02	3.000353e-05
4.230806e+02	3.018564e-05
4.259784e+02	3.036869e-05
4.288762e+02	3.055269e-05
4.317740e+02	3.073763e-05
4.346718e+02	3.092353e-05
4.375697e+02	3.111039e-05
4.404675e+02	3.129822e-05
4.433653e+02	3.148700e-05
4.462631e+02	3.167676e-05
4.491609e+02	3.186749e-05
4.520587e+02	3.205920e-05
4.549565e+02	3.225188e-05
4.578543e+02	3.244555e-05
4.607522e+02	3.264022e-05
4.636500e+02	3.283587e-05
4.665478e+02	3.303252e-05
4.694456e+02	3.323017e-05
4.723434e+02	3.342882e-05
4.752412e+02	3.362848e-05
4.781390e+02	3.382915e-05
4.810368e+02	3.403084e-05
4.839347e+02	3.423355e-05
4.868325e+02	3.443728e-05
4.897303e+02	3.464204e-05
4.926281e+02	3.484783e-05
4.955259e+02	3.505465e-05
4.984237e+02	3.526251e-05
5.013215e+02	3.547142e-05
5.042193e+02	3.568137e-05
5.071172e+02	3.589237e-05
5.100150e+02	3.610443e-05
5.129128e+02	3.631755e-05
5.158106e+02	3.653173e-05
5.187084e+02	3.674698e-05
5.216062e+02	3.696329e-05
5.245040e+02	3.718068e-05
5.274018e+02	3.739915e-05
5.302997e+02	3.761871e-05
5.331975e+02	3.783935e-05
5.360953e+02	3.806108e-05
5.389931e+02	3.828390e-05
5.418909e+02	3.850782e-05
5.447887e+02	3.873285e-05
5.476865e+02	3.895898e-05
5.505843e+02	3.918622e-05
5.534822e+02	3.941458e-05
5.563800e+02	3.964406e-05
5.592778e+02	3.987466e-05
5.621756e+02	4.010638e-05
5.650734e+02	4.033924e-05
5.679712e+02	4.057323e-05
5.708690e+02	4.080837e-05
5.737668e+02	4.104464e-05
5.766647e+02	4.128206e-05
5.795625e+02	4.152064e-05
5.824603e+02	4.176036e-05
5.853581e+02	4.200125e-05
5.882559e+02	4.224330e-05
5.911537e+02	4.248652e-05
5.940515e+02	4.273092e-05
5.969493e+02	4.297648e-05
5.998471e+02	4.322323e-05
6.027450e+02	4.347116e-05
6.056428e+02	4.372028e-05
6.085406e+02	4.397060e-05
6.114384e+02	4.422211e-05
6.143362e+02	4.447482e-05
6.172340e+02	4.472873e-05
6.201318e+02	4.498386e-05
6.230296e+02	4.524020e-05
6.259275e+02	4.549775e-05
6.288253e+02	4.575653e-05
6.317231e+02	4.601653e-05
6.346209e+02	4.627776e-05
6.375187e+02	4.654023e-05
6.404165e+02	4.680394e-05
6.433143e+02	4.706888e-05
6.462121e+02	4.733508e-05
6.491100e+02	4.760252e-05
6.520078e+02	4.787122e-05
6.549056e+02	4.814118e-05
6.578034e+02	4.841241e-05
6.607012e+02	4.868490e-05
6.635990e+02	4.895866e-05
6.664968e+02	4.923370e-05
6.693946e+02	4.951002e-05
6.722925e+02	4.978763e-05
6.751903e+02	5.006652e-05
6.780881e+02	5.034671e-05
6.809859e+02	5.062819e-05
6.838837e+02	5.091097e-05
6.867815e+02	5.119507e-05
6.896793e+02	5.148047e-05
6.925771e+02	5.176718e-05
6.954750e+02	5.205522e-05
6.983728e+02	5.234457e-05
7.012706e+02	5.263526e-05
7.041684e+02	5.292727e-05
7.070662e+02	5.322062e-05
7.099640e+02	5.351531e-05
7.128618e+02	5.381135e-05
7.157596e+02	5.410873e-05
7.186575e+02	5.440746e-05
7.215553e+02	5.470755e-05
7.244531e+02	5.500901e-05
7.273509e+02	5.531183e-05
7.302487e+02	5.561601e-05
7.331465e+02	5.592158e-05
7.360443e+02	5.622851e-05
7.389421e+02	5.653684e-05
7.418400e+02	5.684655e-05
7.447378e+02	5.715765e-05
7.476356e+02	5.747014e-05
7.505334e+02	5.778404e-05
7.534312e+02	5.809934e-05
7.563290e+02	5.841604e-05
7.592268e+02	5.873416e-05
7.621246e+02	5.905370e-05
7.650225e+02	5.937465e-05
7.679203e+02	5.969704e-05
7.708181e+02	6.002085e-05
7.737159e+02	6.034609e-05
7.766137e+02	6.067278e-05
7.795115e+02	6.100090e-05
7.824093e+02	6.133047e-05
7.853071e+02	6.166150e-05
7.882049e+02	6.199397e-05
7.911028e+02	6.232791e-05
7.940006e+02	6.266331e-05
7.968984e+02	6.300018e-05
7.997962e+02	6.333853e-05
8.026940e+02	6.367834e-05
8.055918e+02	6.401964e-05
8.084896e+02	6.436243e-05
8.113874e+02	6.470670e-05
8.142853e+02	6.505247e-05
8.171831e+02	6.539974e-05
8.200809e+02	6.574850e-05
8.229787e+02	6.609878e-05
8.258765e+02	6.645056e-05
8.287743e+02	6.680386e-05
8.316721e+02	6.715868e-05
8.345699e+02	6.751503e-05
8.374678e+02	6.787290e-05
8.403656e+02	6.823230e-05
8.432634e+02	6.859324e-05
8.461612e+02	6.895572e-05
8.490590e+02	6.931975e-05
8.519568e+02	6.968532e-05
8.548546e+02	7.005245e-05
8.577524e+02	7.042113e-05
8.606503e+02	7.079138e-05
8.635481e+02	7.116319e-05
8.664459e+02	7.153658e-05
8.693437e+02	7.191154e-05
8.722415e+02	7.228807e-05
8.751393e+02	7.266619e-05
8.780371e+02	7.304590e-05
8.809349e+02	7.342720e-05
8.838328e+02	7.381009e-05
8.867306e+02	7.419459e-05
8.896284e+02	7.458069e-05
8.925262e+02	7.496839e-05
8.954240e+02	7.535771e-05
8.983218e+02	7.574865e-05
9.012196e+02	7.614121e-05
9.041174e+02	7.653539e-05
9.070153e+02	7.693120e-05
9.099131e+02	7.732865e-05
9.128109e+02	7.772773e-05
9.157087e+02	7.812846e-05
9.186065e+02	7.853083e-05
9.215043e+02	7.893485e-05
9.244021e+02	7.934053e-05
9.272999e+02	7.974786e-05
9.301978e+02	8.015686e-05
9.330956e+02	8.056752e-05
9.359934e+02	8.097986e-05
9.388912e+02	8.139387e-05
9.417890e+02	8.180956e-05
9.446868e+02	8.222693e-05
9.475846e+02	8.264599e-05
9.504824e+02	8.306674e-05
9.533803e+02	8.348919e-05
9.562781e+02	8.391334e-05
9.591759e+02	8.433919e-05
9.620737e+02	8.476675e-05
9.649715e+02	8.519602e-05
9.678693e+02	8.562700e-05
9.707671e+02	8.605971e-05
9.736649e+02	8.649414e-05
9.765627e+02	8.693030e-05
9.794606e+02	8.736819e-05
9.823584e+02	8.780782e-05
9.852562e+02	8.824919e-05
9.881540e+02	8.869230e-05
9.910518e+02	8.913716e-05
9.939496e+02	8.958378e-05
9.968474e+02	9.003215e-05
9.997452e+02	9.048228e-05
1.002643e+03	9.093417e-05
1.005541e+03	9.138783e-05
1.008439e+03	9.184327e-05
1.011336e+03	9.230048e-05
1.014234e+03	9.275947e-05
1.017132e+03	9.322025e-05
1.020030e+03	9.368281e-05
1.022928e+03	9.414716e-05
1.025826e+03	9.461331e-05
1.028723e+03	9.508126e-05
1.031621e+03	9.555102e-05
1.034519e+03	9.602258e-05
1.037417e+03	9.649595e-05
1.040315e+03	9.697114e-05
1.043212e+03	9.744815e-05
1.046110e+03	9.792698e-05
1.049008e+03	9.840763e-05
1.051906e+03	9.889012e-05
1.054804e+03	9.937444e-05
1.057701e+03	9.986060e-05
1.060599e+03	1.003486e-04
1.063497e+03	1.008385e-04
1.066395e+03	1.013301e-04
1.069293e+03	1.018237e-04
1.072191e+03	1.023191e-04
1.075088e+03	1.028164e-04
1.077986e+03	1.033155e-04
1.080884e+03	1.038165e-04
1.083782e+03	1.043194e-04
1.086680e+03	1.048241e-04
1.089577e+03	1.053307e-04
1.092475e+03	1.058392e-04
1.095373e+03	1.063496e-04
1.098271e+03	1.068619e-04
1.101169e+03	1.073761e-04
1.104066e+03	1.078922e-04
1.106964e+03	1.084102e-04
1.109862e+03	1.089300e-04
1.112760e+03	1.094518e-04
1.115658e+03	1.099755e-04
1.118556e+03	1.105011e-04
1.121453e+03	1.110287e-04
1.124351e+03	1.115581e-04
1.127249e+03	1.120895e-04
1.130147e+03	1.126228e-04
1.133045e+03	1.131581e-04
1.135942e+03	1.136952e-04
1.138840e+03	1.142344e-04
1.141738e+03	1.147754e-04
1.144636e+03	1.153184e-04
1.147534e+03	1.158634e-04
1.150431e+03	1.164103e-04
1.153329e+03	1.169591e-04
1.156227e+03	1.175100e-04
1.159125e+03	1.180628e-04
1.162023e+03	1.186175e-04
1.164921e+03	1.191742e-04
1.167818e+03	1.197329e-04
1.170716e+03	1.202936e-04
1.173614e+03	1.208562e-04
1.176512e+03	1.214209e-04
1.179410e+03	1.219875e-04
1.182307e+03	1.225561e-04
1.185205e+03	1.231267e-04
1.188103e+03	1.236993e-04
1.191001e+03	1.242739e-04
1.193899e+03	1.248505e-04
1.196796e+03	1.254291e-04
1.199694e+03	1.260097e-04
1.202592e+03	1.265923e-04
1.205490e+03	1.271769e-04
1.208388e+03	1.277636e-04
1.211286e+03	1.283523e-04
1.214183e+03	1.289429e-04
1.217081e+03	1.295357e-04
1.219979e+03	1.301304e-04
1.222877e+03	1.307272e-04
1.225775e+03	1.313260e-04
1.228672e+03	1.319268e-04
1.231570e+03	1.325297e-04
1.234468e+03	1.331347e-04
1.237366e+03	1.337416e-04
1.240264e+03	1.343507e-04
1.243161e+03	1.349618e-04
1.246059e+03	1.355749e-04
1.248957e+03	1.361901e-04
1.251855e+03	1.368073e-04
1.254753e+03	1.374266e-04
1.257651e+03	1.380480e-04
1.260548e+03	1.386715e-04
1.263446e+03	1.392970e-04
1.266344e+03	1.399246e-04
1.269242e+03	1.405543e-04
1.272140e+03	1.411860e-04
1.275037e+03	1.418198e-04
1.277935e+03	1.424557e-04
1.280833e+03	1.430937e-04
1.283731e+03	1.437338e-04
1.286629e+03	1.443760e-04
1.289526e+03	1.450203e-04
1.292424e+03	1.456667e-04
