# x_val	y_val	p(x,y)
0.000000e+00	0.000000e+00	2.436652e-06
0.000000e+00	2.897812e+00	2.453630e-06
0.000000e+00	5.795625e+00	2.470711e-06
0.000000e+00	8.693437e+00	2.487894e-06
0.000000e+00	1.159125e+01	2.505181e-06
0.000000e+00	1.448906e+01	2.522571e-06
0.000000e+00	1.738687e+01	2.540066e-06
0.000000e+00	2.028469e+01	2.557666e-06
0.000000e+00	2.318250e+01	2.575371e-06
0.000000e+00	2.608031e+01	2.593181e-06
0.000000e+00	2.897812e+01	2.611098e-06
0.000000e+00	3.187594e+01	2.629122e-06
0.000000e+00	3.477375e+01	2.647253e-06
0.000000e+00	3.767156e+01	2.665492e-06
0.000000e+00	4.056937e+01	2.683839e-06
0.000000e+00	4.346718e+01	2.702295e-06
0.000000e+00	4.636500e+01	2.720861e-06
0.000000e+00	4.926281e+01	2.739536e-06
0.000000e+00	5.216062e+01	2.758321e-06
0.000000e+00	5.505843e+01	2.777218e-06
0.000000e+00	5.795625e+01	2.796226e-06
0.000000e+00	6.085406e+01	2.815345e-06
0.000000e+00	6.375187e+01	2.834577e-06
0.000000e+00	6.664968e+01	2.853922e-06
0.000000e+00	6.954750e+01	2.873381e-06
0.000000e+00	7.244531e+01	2.892953e-06
0.000000e+00	7.534312e+01	2.912640e-06
0.000000e+00	7.824093e+01	2.932442e-06
0.000000e+00	8.113874e+01	2.952360e-06
0.000000e+00	8.403656e+01	2.972393e-06
0.000000e+00	8.693437e+01	2.992543e-06
0.000000e+00	8.983218e+01	3.012811e-06
0.000000e+00	9.272999e+01	3.033196e-06
0.000000e+00	9.562781e+01	3.053699e-06
0.000000e+00	9.852562e+01	3.074321e-06
0.000000e+00	1.014234e+02	3.095062e-06
0.000000e+00	1.043212e+02	3.115923e-06
0.000000e+00	1.072191e+02	3.136904e-06
0.000000e+00	1.101169e+02	3.158006e-06
0.000000e+00	1.130147e+02	3.179229e-06
0.000000e+00	1.159125e+02	3.200575e-06
0.000000e+00	1.188103e+02	3.222043e-06
0.000000e+00	1.217081e+02	3.243634e-06
0.000000e+00	1.246059e+02	3.265348e-06
0.000000e+00	1.275037e+02	3.287187e-06
0.000000e+00	1.304016e+02	3.309150e-06
0.000000e+00	1.332994e+02	3.331239e-06
0.000000e+00	1.361972e+02	3.353453e-06
0.000000e+00	1.390950e+02	3.375793e-06
0.000000e+00	1.419928e+02	3.398261e-06
0.000000e+00	1.448906e+02	3.420856e-06
0.000000e+00	1.477884e+02	3.443579e-06
0.000000e+00	1.506862e+02	3.466430e-06
0.000000e+00	1.535841e+02	3.489411e-06
0.000000e+00	1.564819e+02	3.512521e-06
0.000000e+00	1.593797e+02	3.535761e-06
0.000000e+00	1.622775e+02	3.559132e-06
0.000000e+00	1.651753e+02	3.582634e-06
