# y_val	p(y)
1.930043e+02	3.165103e-03
5.790129e+02	7.922901e-03
9.650215e+02	1.692113e-02
1.351030e+03	3.171189e-02
1.737039e+03	5.338067e-02
2.123047e+03	7.869135e-02
2.509056e+03	1.036977e-01
2.895064e+03	1.217753e-01
3.281073e+03	1.278417e-01
3.667082e+03	1.217246e-01
4.053090e+03	1.034542e-01
4.439099e+03	8.103475e-02
4.825107e+03	5.848339e-02
5.211116e+03	3.904641e-02
5.597124e+03	2.442810e-02
5.983133e+03	1.397920e-02
6.369142e+03	7.425818e-03
6.755150e+03	3.621608e-03
7.141159e+03	1.552118e-03
7.527167e+03	1.420238e-04
7.913176e+03	1.014456e-20
8.299185e+03	1.014456e-20
8.685193e+03	1.014456e-20
9.071202e+03	1.014456e-20
9.457210e+03	1.014456e-20
9.843219e+03	1.014456e-20
1.022923e+04	1.014456e-20
1.061524e+04	1.014456e-20
1.100124e+04	1.014456e-20
