# # p(y | x = 5.000000e+01)
# # y_val	p(y|x)
0.000000e+00	2.822926e-08
2.300799e+00	2.855777e-08
4.601598e+00	2.888993e-08
6.902396e+00	2.922576e-08
9.203195e+00	2.956531e-08
1.150399e+01	2.990860e-08
1.380479e+01	3.025570e-08
1.610559e+01	3.060662e-08
1.840639e+01	3.096142e-08
2.070719e+01	3.132013e-08
2.300799e+01	3.168280e-08
2.530879e+01	3.204945e-08
2.760959e+01	3.242015e-08
2.991038e+01	3.279492e-08
3.221118e+01	3.317382e-08
3.451198e+01	3.355687e-08
3.681278e+01	3.394413e-08
3.911358e+01	3.433565e-08
4.141438e+01	3.473145e-08
4.371518e+01	3.513160e-08
4.601598e+01	3.553613e-08
4.831677e+01	3.594508e-08
5.061757e+01	3.635851e-08
5.291837e+01	3.677646e-08
5.521917e+01	3.719898e-08
5.751997e+01	3.762611e-08
5.982077e+01	3.805790e-08
6.212157e+01	3.849441e-08
6.442237e+01	3.893566e-08
6.672316e+01	3.938173e-08
6.902396e+01	3.983265e-08
7.132476e+01	4.028848e-08
7.362556e+01	4.074926e-08
7.592636e+01	4.121505e-08
7.822716e+01	4.168590e-08
8.052796e+01	4.216186e-08
8.282876e+01	4.264298e-08
8.512955e+01	4.312931e-08
8.743035e+01	4.362092e-08
8.973115e+01	4.411784e-08
9.203195e+01	4.462014e-08
9.433275e+01	4.512787e-08
9.663355e+01	4.564109e-08
9.893435e+01	4.615984e-08
1.012351e+02	4.668420e-08
1.035359e+02	4.721421e-08
1.058367e+02	4.774993e-08
1.081375e+02	4.829143e-08
1.104383e+02	4.883875e-08
1.127391e+02	4.939196e-08
1.150399e+02	4.995112e-08
1.173407e+02	5.051628e-08
1.196415e+02	5.108751e-08
1.219423e+02	5.166487e-08
1.242431e+02	5.224843e-08
1.265439e+02	5.283823e-08
1.288447e+02	5.343436e-08
1.311455e+02	5.403686e-08
1.334463e+02	5.464581e-08
1.357471e+02	5.526126e-08
1.380479e+02	5.588330e-08
1.403487e+02	5.651197e-08
1.426495e+02	5.714735e-08
1.449503e+02	5.778950e-08
1.472511e+02	5.843850e-08
