# x_val	y_val	p(x,y)
0.000000e+00	0.000000e+00	3.976621e-07
0.000000e+00	2.300799e+00	4.007421e-07
0.000000e+00	4.601598e+00	4.038437e-07
0.000000e+00	6.902396e+00	4.069669e-07
0.000000e+00	9.203195e+00	4.101119e-07
0.000000e+00	1.150399e+01	4.132789e-07
0.000000e+00	1.380479e+01	4.164679e-07
0.000000e+00	1.610559e+01	4.196792e-07
0.000000e+00	1.840639e+01	4.229128e-07
0.000000e+00	2.070719e+01	4.261689e-07
0.000000e+00	2.300799e+01	4.294476e-07
0.000000e+00	2.530879e+01	4.327491e-07
0.000000e+00	2.760959e+01	4.360734e-07
0.000000e+00	2.991038e+01	4.394208e-07
0.000000e+00	3.221118e+01	4.427913e-07
0.000000e+00	3.451198e+01	4.461851e-07
0.000000e+00	3.681278e+01	4.496024e-07
0.000000e+00	3.911358e+01	4.530433e-07
0.000000e+00	4.141438e+01	4.565079e-07
0.000000e+00	4.371518e+01	4.599963e-07
0.000000e+00	4.601598e+01	4.635088e-07
0.000000e+00	4.831677e+01	4.670454e-07
0.000000e+00	5.061757e+01	4.706063e-07
0.000000e+00	5.291837e+01	4.741917e-07
0.000000e+00	5.521917e+01	4.778016e-07
0.000000e+00	5.751997e+01	4.814363e-07
0.000000e+00	5.982077e+01	4.850958e-07
0.000000e+00	6.212157e+01	4.887804e-07
0.000000e+00	6.442237e+01	4.924901e-07
0.000000e+00	6.672316e+01	4.962252e-07
0.000000e+00	6.902396e+01	4.999857e-07
0.000000e+00	7.132476e+01	5.037719e-07
0.000000e+00	7.362556e+01	5.075838e-07
0.000000e+00	7.592636e+01	5.114216e-07
0.000000e+00	7.822716e+01	5.152855e-07
0.000000e+00	8.052796e+01	5.191757e-07
0.000000e+00	8.282876e+01	5.230922e-07
0.000000e+00	8.512955e+01	5.270352e-07
0.000000e+00	8.743035e+01	5.310050e-07
0.000000e+00	8.973115e+01	5.350016e-07
0.000000e+00	9.203195e+01	5.390251e-07
0.000000e+00	9.433275e+01	5.430759e-07
0.000000e+00	9.663355e+01	5.471539e-07
0.000000e+00	9.893435e+01	5.512594e-07
0.000000e+00	1.012351e+02	5.553926e-07
0.000000e+00	1.035359e+02	5.595536e-07
0.000000e+00	1.058367e+02	5.637425e-07
0.000000e+00	1.081375e+02	5.679595e-07
0.000000e+00	1.104383e+02	5.722048e-07
0.000000e+00	1.127391e+02	5.764785e-07
0.000000e+00	1.150399e+02	5.807808e-07
0.000000e+00	1.173407e+02	5.851119e-07
0.000000e+00	1.196415e+02	5.894719e-07
0.000000e+00	1.219423e+02	5.938610e-07
0.000000e+00	1.242431e+02	5.982794e-07
0.000000e+00	1.265439e+02	6.027272e-07
0.000000e+00	1.288447e+02	6.072046e-07
0.000000e+00	1.311455e+02	6.117118e-07
0.000000e+00	1.334463e+02	6.162489e-07
0.000000e+00	1.357471e+02	6.208161e-07
0.000000e+00	1.380479e+02	6.254136e-07
0.000000e+00	1.403487e+02	6.300415e-07
0.000000e+00	1.426495e+02	6.347001e-07
0.000000e+00	1.449503e+02	6.393894e-07
0.000000e+00	1.472511e+02	6.441097e-07
0.000000e+00	1.495519e+02	6.488611e-07
0.000000e+00	1.518527e+02	6.536439e-07
0.000000e+00	1.541535e+02	6.584581e-07
0.000000e+00	1.564543e+02	6.633041e-07
0.000000e+00	1.587551e+02	6.681818e-07
0.000000e+00	1.610559e+02	6.730916e-07
0.000000e+00	1.633567e+02	6.780336e-07
0.000000e+00	1.656575e+02	6.830080e-07
0.000000e+00	1.679583e+02	6.880149e-07
0.000000e+00	1.702591e+02	6.930546e-07
0.000000e+00	1.725599e+02	6.981272e-07
0.000000e+00	1.748607e+02	7.032329e-07
0.000000e+00	1.771615e+02	7.083719e-07
0.000000e+00	1.794623e+02	7.135444e-07
0.000000e+00	1.817631e+02	7.187505e-07
0.000000e+00	1.840639e+02	7.239905e-07
0.000000e+00	1.863647e+02	7.292645e-07
0.000000e+00	1.886655e+02	7.345728e-07
0.000000e+00	1.909663e+02	7.399154e-07
0.000000e+00	1.932671e+02	7.452927e-07
0.000000e+00	1.955679e+02	7.507047e-07
0.000000e+00	1.978687e+02	7.561517e-07
0.000000e+00	2.001695e+02	7.616339e-07
0.000000e+00	2.024703e+02	7.671515e-07
0.000000e+00	2.047711e+02	7.727046e-07
0.000000e+00	2.070719e+02	7.782934e-07
0.000000e+00	2.093727e+02	7.839182e-07
0.000000e+00	2.116735e+02	7.895792e-07
0.000000e+00	2.139743e+02	7.952764e-07
0.000000e+00	2.162751e+02	8.010102e-07
0.000000e+00	2.185759e+02	8.067808e-07
