# y_val	p(y)
1.588741e+02	1.017077e-20
4.766224e+02	1.017077e-20
7.943706e+02	9.763936e-04
1.112119e+03	3.498744e-03
1.429867e+03	8.319688e-03
1.747615e+03	1.728013e-02
2.065364e+03	3.167177e-02
2.383112e+03	5.209467e-02
2.700860e+03	7.670793e-02
3.018608e+03	1.016975e-01
3.336357e+03	1.185098e-01
3.654105e+03	1.243783e-01
3.971853e+03	1.173401e-01
4.289601e+03	1.008432e-01
4.607350e+03	7.993206e-02
4.925098e+03	5.927523e-02
5.242846e+03	4.154758e-02
5.560594e+03	2.773568e-02
5.878343e+03	1.761577e-02
6.196091e+03	1.061828e-02
6.513839e+03	5.787167e-03
6.831587e+03	2.939352e-03
7.149336e+03	1.230663e-03
7.467084e+03	1.017077e-20
7.784832e+03	1.017077e-20
8.102580e+03	1.017077e-20
8.420329e+03	1.017077e-20
8.738077e+03	1.017077e-20
9.055825e+03	1.017077e-20
