# points_per_std	n_y	MI
1.000000e+02	1.042000e+03	2.630025e-01
1.081633e+02	1.127000e+03	2.635890e-01
1.163265e+02	1.212000e+03	2.624718e-01
1.244898e+02	1.297000e+03	2.627795e-01
1.326531e+02	1.382000e+03	2.629506e-01
1.408163e+02	1.467000e+03	2.630002e-01
1.489796e+02	1.552000e+03	2.628403e-01
1.571429e+02	1.637000e+03	2.625746e-01
1.653061e+02	1.722000e+03	2.625808e-01
1.734694e+02	1.807000e+03	2.626424e-01
1.816327e+02	1.892000e+03	2.627146e-01
1.897959e+02	1.977000e+03	2.627677e-01
1.979592e+02	2.062000e+03	2.628043e-01
2.061224e+02	2.147000e+03	2.629189e-01
2.142857e+02	2.232000e+03	2.630348e-01
2.224490e+02	2.317000e+03	2.630227e-01
2.306122e+02	2.402000e+03	2.631183e-01
2.387755e+02	2.487000e+03	2.632089e-01
2.469388e+02	2.572000e+03	2.632953e-01
2.551020e+02	2.657000e+03	2.630294e-01
2.632653e+02	2.742000e+03	2.630266e-01
2.714286e+02	2.827000e+03	2.630243e-01
2.795918e+02	2.912000e+03	2.630225e-01
2.877551e+02	2.997000e+03	2.630209e-01
2.959184e+02	3.082000e+03	2.632015e-01
3.040816e+02	3.167000e+03	2.631860e-01
3.122449e+02	3.252000e+03	2.631528e-01
3.204082e+02	3.337000e+03	2.631259e-01
3.285714e+02	3.422000e+03	2.630815e-01
3.367347e+02	3.507000e+03	2.630611e-01
3.448980e+02	3.592000e+03	2.630473e-01
3.530612e+02	3.677000e+03	2.630371e-01
3.612245e+02	3.762000e+03	2.630294e-01
3.693878e+02	3.847000e+03	2.630234e-01
3.775510e+02	3.932000e+03	2.630188e-01
3.857143e+02	4.017000e+03	2.630116e-01
3.938776e+02	4.102000e+03	2.623831e-01
4.020408e+02	4.187000e+03	2.625235e-01
4.102041e+02	4.272000e+03	2.626306e-01
4.183673e+02	4.357000e+03	2.627130e-01
4.265306e+02	4.442000e+03	2.627766e-01
4.346939e+02	4.527000e+03	2.628261e-01
4.428571e+02	4.612000e+03	2.628646e-01
4.510204e+02	4.697000e+03	2.628947e-01
4.591837e+02	4.782000e+03	2.629183e-01
4.673469e+02	4.867000e+03	2.629139e-01
4.755102e+02	4.952000e+03	2.629062e-01
4.836735e+02	5.037000e+03	2.628998e-01
4.918367e+02	5.122000e+03	2.628951e-01
5.000000e+02	5.207000e+03	2.628926e-01
